t,S,I
0.0,92,1
0.053024878753590896,91,2
0.05966270372008368,90,3
0.07612967082936471,89,4
0.10908586437964074,88,5
0.11800682785816631,87,6
0.1648002981209462,86,7
0.17759464114248621,85,8
0.1895317139844413,84,9
0.2059551606995378,83,10
0.24644618500784304,82,11
0.25187800013706846,81,12
0.28299538547390113,80,13
0.31349348471781335,79,14
0.3529575831329941,78,15
0.3582817324350328,77,16
0.38025268383860805,76,17
0.3827055634821454,75,18
0.4058695449292214,74,19
0.41053652516397776,73,20
0.42290778885196767,72,21
0.4543943101048941,71,22
0.4749414967484835,70,23
0.47526466448477217,69,24
0.48068326038458237,68,25
0.48875391133377916,67,26
0.4907353402060928,66,27
0.5608068796515192,65,28
0.5759234662775667,64,29
0.5780366121657031,63,30
0.5836147966363815,62,31
0.5960297248211199,61,32
0.6131835619097895,60,33
0.6178714425504646,59,34
0.6243149633257347,58,35
0.649514630153483,57,36
0.6495226665341878,56,37
0.6830283351494695,55,38
0.7034309464783993,54,39
0.7493441541511721,53,40
0.7679577199754766,52,41
0.7998184952295816,51,42
0.8084083881882445,50,43
0.8098810925989628,49,44
0.813244860865413,48,45
0.8147565403846468,47,46
0.8459894259904326,46,47
0.850180529340014,45,48
0.8822822527085172,44,49
0.8866013265582212,43,50
0.9100230684681956,42,51
0.9172359881195068,41,52
0.939836289990516,40,53
0.9951385970170717,39,54
1.000996186194479,38,55
1.0023518487182614,37,56
1.0859225890153263,36,57
1.112423112852044,35,58
1.188248138124913,34,59
1.2009369589068761,33,60
1.2101571254853507,32,61
1.2419767478683652,31,62
1.2434872828209416,30,63
1.2523186151041543,29,64
1.2630179773369656,28,65
1.2653404693155292,27,66
1.2654246166116818,26,67
1.2803369578739945,25,68
1.2903515959365086,24,69
1.2927229980357668,23,70
1.3559041067627589,22,71
1.37854614452828,21,72
1.4023800893914569,20,73
1.4081711512770867,19,74
1.5128119444467985,18,75
1.540597319340102,17,76
1.560236688808601,16,77
1.6057856420497147,15,78
1.871801605249746,14,79
2.2252579784904643,13,80
2.2277506818959982,12,81
2.231544701381089,11,82
2.3766018457540676,10,83
2.4329806610578877,9,84
2.5703549384603646,8,85
2.744246263598739,7,86
2.7967762009279853,6,87
2.8868912650646847,5,88
2.888729071095514,4,89
3.5026085470010067,3,90
3.91554671765829,2,91
4.117924239362595,1,92
6.003958868963225,0,93
