t,S,I
0.0,72,1
2.6938245553622164,71,2
5.462321884257946,70,3
10.478280681694494,69,4
11.807151120227314,68,5
13.699471674157339,67,6
20.597495189070724,66,7
21.074539490357257,65,8
35.3300407304078,64,9
41.55862691738614,63,10
45.02441492648483,62,11
56.936463634691535,61,12
57.282696631600814,60,13
63.36632222311857,59,14
71.31191564242232,58,15
71.66475732660462,57,16
73.90156500221693,56,17
79.79993527128929,55,18
80.14600692899843,54,19
81.78937876383915,53,20
81.88446173044899,52,21
81.99731018903067,51,22
82.75653315526337,50,23
84.39574985511757,49,24
84.61990686429361,48,25
84.86271258247945,47,26
84.90437959009242,46,27
85.34379898892706,45,28
85.64472540173325,44,29
85.94727501325477,43,30
85.95970018628296,42,31
86.23536935707416,41,32
86.28517377040231,40,33
86.30049458601844,39,34
86.30788049877248,38,35
86.44194501176553,37,36
86.54082806442123,36,37
86.58971877143702,35,38
86.60312656345278,34,39
86.63172425799625,33,40
86.72544255666845,32,41
86.76082859594666,31,42
86.78304067070569,30,43
86.82159902215338,29,44
86.86673339374822,28,45
86.87000501353097,27,46
87.00639598494543,26,47
87.00845667256338,25,48
87.07811766914274,24,49
87.18111642714776,23,50
87.24553583477501,22,51
87.27569973224585,21,52
87.29179065715454,20,53
87.29826449201059,19,54
87.35266225180635,18,55
87.35509518325628,17,56
87.43056127252606,16,57
87.4446902278735,15,58
87.46419357423608,14,59
87.49418203635605,13,60
87.60439722642523,12,61
87.7363398223129,11,62
88.04179203224648,10,63
88.2415507543259,9,64
88.29727857156134,8,65
88.59755004267501,7,66
88.6544571363586,6,67
88.69115300956842,5,68
89.18859967475885,4,69
89.21468411288092,3,70
89.43475834548467,2,71
89.69748203273463,1,72
90.19299717070668,0,73
