t,S,I
0.0,140,1
0.09751955667735615,139,2
0.10229696635363927,138,3
0.134176630036987,137,4
0.13611436958194592,136,5
0.14333398283298088,135,6
0.15423636975652744,134,7
0.1643021793287332,133,8
0.16819760045278273,132,9
0.1812900221199717,131,10
0.18359739645751894,130,11
0.18915757331407634,129,12
0.19174036543169234,128,13
0.2166521715831874,127,14
0.21732042129032708,126,15
0.23120744169400603,125,16
0.2388691454113213,124,17
0.2506600870364909,123,18
0.25703993404491843,122,19
0.2585251100774189,121,20
0.2595842054762776,120,21
0.2622049235627914,119,22
0.26808129684150944,118,23
0.26879278699311315,117,24
0.28078607860381544,116,25
0.2827391805845557,115,26
0.30668460770808553,114,27
0.3106901346228186,113,28
0.31121030258836846,112,29
0.31850346484146985,111,30
0.32933119005357,110,31
0.3328875893287254,109,32
0.3474035207090651,108,33
0.35492098117195914,107,34
0.35901374230443417,106,35
0.36683052265985966,105,36
0.36776709086485704,104,37
0.37221105088322726,103,38
0.37582973928379165,102,39
0.3806321575635876,101,40
0.3984953429801867,100,41
0.4038263787133419,99,42
0.4191641936057639,98,43
0.4202455301385221,97,44
0.42999568133084126,96,45
0.43153461790091946,95,46
0.4479908382373339,94,47
0.4631685393233563,93,48
0.4804129035832404,92,49
0.4893446386633662,91,50
0.4977359656666894,90,51
0.5030634178793674,89,52
0.5076019545069261,88,53
0.5110639312529022,87,54
0.5363107505432362,86,55
0.5441576716884535,85,56
0.545352936267693,84,57
0.5469060858412007,83,58
0.5719704453293541,82,59
0.5961172710287448,81,60
0.5973994203759263,80,61
0.6085362379577844,79,62
0.6118769469445956,78,63
0.6259770296517766,77,64
0.6261817312546439,76,65
0.6384677795084379,75,66
0.655174928856046,74,67
0.663701001775078,73,68
0.669733656524185,72,69
0.6727768273410815,71,70
0.6737724786742221,70,71
0.6776669579328847,69,72
0.6869690719735585,68,73
0.6893350513993709,67,74
0.6966460510690206,66,75
0.7002760026984449,65,76
0.7179639886988199,64,77
0.7414342884775326,63,78
0.7559203134198388,62,79
0.7665698405920265,61,80
0.7822312427379922,60,81
0.7829819259984566,59,82
0.7979099972793605,58,83
0.8106561277084967,57,84
0.8213474064801403,56,85
0.8245331176900266,55,86
0.8835651834995581,54,87
0.9127267584723873,53,88
0.921610728445927,52,89
0.9357814042662803,51,90
0.959412963358893,50,91
0.9617922466185715,49,92
0.9844857197500299,48,93
0.9924972778538442,47,94
0.9979440413841553,46,95
1.0106543963664643,45,96
1.0166454308405815,44,97
1.0248557589571707,43,98
1.0593544698201902,42,99
1.0594353293760672,41,100
1.0705588331206721,40,101
1.1361923195636352,39,102
1.1546352839573735,38,103
1.2149488592745548,37,104
1.2386681873045775,36,105
1.2725897466679195,35,106
1.2912634523820288,34,107
1.3236352301699044,33,108
1.3614180844218562,32,109
1.3866733153484752,31,110
1.473236901676634,30,111
1.4780023107460132,29,112
1.5171239351303452,28,113
1.5699851539200362,27,114
1.662189750820586,26,115
1.6742309288811374,25,116
1.6797900663098626,24,117
1.9217508760963948,23,118
1.9472405118649696,22,119
2.0232721433563623,21,120
2.049882365294946,20,121
2.097138007394271,19,122
2.1436674596482237,18,123
2.1450412952948827,17,124
2.15512329957405,16,125
2.207369940871787,15,126
2.2278841378619387,14,127
2.238983925537162,13,128
2.4532213848476236,12,129
2.495698471193615,11,130
2.530875210350543,10,131
2.5738849992236834,9,132
2.655955665706617,8,133
2.7162858418527884,7,134
2.8126899207543534,6,135
2.92286764575406,5,136
3.2666874616196333,4,137
3.28749823253902,3,138
3.9534482414906313,2,139
4.114172439596404,1,140
4.180310564147368,0,141
