t,S,I
0.0,117,1
1.0429436015878553,116,2
5.011178153888855,115,3
8.240213207720599,114,4
10.928205569412754,113,5
15.864855279550998,112,6
20.787493304866018,111,7
22.05658075085092,110,8
27.1332652259186,109,9
29.160198621431707,108,10
33.79643445840074,107,11
34.14243453597816,106,12
36.198960806509106,105,13
36.23367405229574,104,14
38.985932623255486,103,15
39.57281932618089,102,16
40.24542095000485,101,17
48.9472666859491,100,18
57.33275234748396,99,19
60.38779327883554,98,20
66.55328780058508,97,21
69.3562817968947,96,22
75.59426078371382,95,23
75.85108339478323,94,24
80.58518896245538,93,25
84.50392567630719,92,26
88.17981161773322,91,27
89.73300697780606,90,28
94.76692289325926,89,29
100.69324564146548,88,30
101.78795691330942,87,31
102.62473690534472,86,32
104.04460687978575,85,33
104.12339653964099,84,34
104.99915896506735,83,35
105.22768206480852,82,36
106.15663686450699,81,37
106.66788680290581,80,38
106.79652962778164,79,39
107.20753094473541,78,40
107.6543460801764,77,41
107.71089608338242,76,42
107.77047556556819,75,43
108.0137360386206,74,44
108.02235750185133,73,45
108.1982543063374,72,46
108.20293049316712,71,47
108.33951033827151,70,48
108.39861090412995,69,49
108.46394294246431,68,50
109.02407158838056,67,51
109.08977593832803,66,52
109.18244937272796,65,53
109.21335589308704,64,54
109.24514022539037,63,55
109.30029561433011,62,56
109.30956124676061,61,57
109.32931374513859,60,58
109.41072139901294,59,59
109.44580259053248,58,60
109.44666501260181,57,61
109.48466924957698,56,62
109.56615230727073,55,63
109.57915394355042,54,64
109.58056691991106,53,65
109.5897290725342,52,66
109.61955053090323,51,67
109.65422002511052,50,68
109.67153071932687,49,69
109.71183615549008,48,70
109.72201906425606,47,71
109.74055636606086,46,72
109.75534875636022,45,73
109.76688787955736,44,74
109.79999594496557,43,75
109.81663343444363,42,76
109.81811584602107,41,77
109.84475342657363,40,78
109.95566928155215,39,79
110.00336160967719,38,80
110.07483358674767,37,81
110.0753872093931,36,82
110.08208556447036,35,83
110.10917914399167,34,84
110.37669905514218,33,85
110.38561646674144,32,86
110.41035069745385,31,87
110.46110511692198,30,88
110.47539375233075,29,89
110.57113789934402,28,90
110.60210843881568,27,91
110.6081790249072,26,92
110.6422619567921,25,93
110.6824870480823,24,94
110.71261920902633,23,95
110.74804431165404,22,96
110.75188707579758,21,97
110.80165067946264,20,98
110.96042156556175,19,99
110.97143440019185,18,100
111.01465784230156,17,101
111.09674632485367,16,102
111.1728291414349,15,103
111.24371185370926,14,104
111.32830741855234,13,105
111.49124284235715,12,106
111.5970412501694,11,107
111.71028754430426,10,108
112.04044880753293,9,109
112.07795726038059,8,110
112.2636744561934,7,111
112.54627451306466,6,112
112.60588518016426,5,113
112.81682972671214,4,114
112.83277023639519,3,115
113.04471698857226,2,116
113.54876326318829,1,117
113.59376016431577,0,118
