t,S,I
0.0,65,1
2.71030358080799,64,2
21.103849815231882,63,3
23.955277029918957,62,4
25.183134985166074,61,5
26.63739383237819,60,6
46.09668248471647,59,7
49.73902651873462,58,8
54.476958276432505,57,9
61.32903802078965,56,10
62.87831253475829,55,11
68.13466621780061,54,12
77.78770364768613,53,13
86.48053257775882,52,14
87.29634972277647,51,15
89.85822333899372,50,16
90.80152911246314,49,17
91.22782571128062,48,18
92.73425062957463,47,19
92.82361965608303,46,20
94.33878136585237,45,21
94.47722840721178,44,22
94.97847461691582,43,23
97.25870289400078,42,24
98.32603744000835,41,25
98.73324762597217,40,26
99.08018414841733,39,27
99.17309538776368,38,28
99.33994193298686,37,29
99.45333931489097,36,30
99.51936224876667,35,31
99.5464750703931,34,32
99.60654602146201,33,33
99.67747836261782,32,34
99.7202605155784,31,35
99.72256915230228,30,36
99.78663207116533,29,37
99.7922838373352,28,38
99.80572775267846,27,39
99.8136293581771,26,40
99.89881277638771,25,41
99.924719589175,24,42
100.01513469707075,23,43
100.18007128773901,22,44
100.23290487384347,21,45
100.25304007260083,20,46
100.27849928274335,19,47
100.37394664059327,18,48
100.52481935246973,17,49
100.6378155126417,16,50
100.66954451418695,15,51
100.68436882948164,14,52
100.68749252117341,13,53
100.73283608983064,12,54
100.9622892737985,11,55
100.96790293278009,10,56
101.03664219472971,9,57
101.17960911604101,8,58
101.27237998154429,7,59
101.51715260165884,6,60
101.55317634596864,5,61
101.71292157723744,4,62
101.92185749778228,3,63
103.1813196617993,2,64
104.88689786221124,1,65
107.46215405296265,0,66
