t,S,I
0.0,94,1
0.06383269029375685,93,2
0.11503733839929318,92,3
0.13099725225981151,91,4
0.21968631834549207,90,5
0.22894384489882383,89,6
0.23521554125572017,88,7
0.2723383609936727,87,8
0.27285384030598336,86,9
0.2860925400033205,85,10
0.292386195650681,84,11
0.3091056066397055,83,12
0.31271138320319497,82,13
0.31458912323697363,81,14
0.3262080199632644,80,15
0.3316306927944269,79,16
0.34252089050011836,78,17
0.36471166567866675,77,18
0.38114754146642316,76,19
0.39356686935390484,75,20
0.40276725125372637,74,21
0.4478812666805621,73,22
0.4615092640547705,72,23
0.520547278463143,71,24
0.529939024709102,70,25
0.6103346065028281,69,26
0.6135664770242752,68,27
0.6136006010027057,67,28
0.634676216288089,66,29
0.6357284468806288,65,30
0.6548671182769417,64,31
0.6704474881432468,63,32
0.676260434299297,62,33
0.684664293171512,61,34
0.7106248546542573,60,35
0.7164265831720803,59,36
0.7252589247960854,58,37
0.7427621898752006,57,38
0.7582456933111748,56,39
0.7691342322807783,55,40
0.8009454165693967,54,41
0.8209606380145563,53,42
0.8313429179388723,52,43
0.846808552849882,51,44
0.8531134983388688,50,45
0.8770402956433917,49,46
0.9104235875370593,48,47
0.9230420828144636,47,48
0.9325214428727754,46,49
0.945647552893102,45,50
0.975083068107508,44,51
1.0040496626317612,43,52
1.0544362015694193,42,53
1.058251141377512,41,54
1.0833282328634244,40,55
1.092360296270691,39,56
1.1174475200553626,38,57
1.117687052709376,37,58
1.1608252964232695,36,59
1.17067101407624,35,60
1.1877421024371855,34,61
1.1994271499332336,33,62
1.2030481544824345,32,63
1.2444548651509872,31,64
1.468873450666944,30,65
1.5158285641712643,29,66
1.5339846135130815,28,67
1.5726982222042367,27,68
1.6816762907511538,26,69
1.7927880968546301,25,70
1.8710555856991644,24,71
1.8946634960070339,23,72
1.933222399381616,22,73
1.983655897334253,21,74
1.9911872934057107,20,75
2.0181254811866998,19,76
2.096273755216124,18,77
2.09628969974682,17,78
2.21808566303166,16,79
2.316545098417375,15,80
2.3255338519590323,14,81
2.335673559619708,13,82
2.487807028992013,12,83
2.515687159803909,11,84
2.727388437690225,10,85
2.9288870918746333,9,86
2.987045530362376,8,87
3.075900363079229,7,88
3.230527293906414,6,89
3.356333991537222,5,90
3.6127573457401816,4,91
4.005755748545887,3,92
4.2210096018399,2,93
4.978033950783352,1,94
5.925253079987518,0,95
