t,S,I
0.0,114,1
0.5855639617215623,113,2
0.6016358138116183,112,3
0.6359225281881865,111,4
0.6641056673320866,110,5
0.6652968550155118,109,6
0.7292828766580715,108,7
0.7324596478847588,107,8
0.7533341845028916,106,9
0.8196462286560797,105,10
0.8226899411664121,104,11
0.8514444939896005,103,12
0.8607513835132993,102,13
0.881977992206539,101,14
0.8960609769570932,100,15
0.8969815337604791,99,16
0.9021579540445258,98,17
0.9045835569813312,97,18
0.908686255910016,96,19
0.9130745258350452,95,20
0.9222355329022465,94,21
0.9427509158094803,93,22
0.9497982939995246,92,23
0.9498296955411168,91,24
0.957050443326902,90,25
0.9613137100295506,89,26
0.9697144083341326,88,27
0.973466337781585,87,28
0.9825447915044281,86,29
0.9899791607424225,85,30
0.9927004541460506,84,31
1.0034770790226493,83,32
1.0166811614941185,82,33
1.0480832309287558,81,34
1.0634931456503853,80,35
1.0738234047046031,79,36
1.0816522317339488,78,37
1.1031722199977754,77,38
1.1091750985854478,76,39
1.116436719566564,75,40
1.1312666926745873,74,41
1.141259359131446,73,42
1.1751576538318635,72,43
1.180597457604479,71,44
1.1813996985147341,70,45
1.1818193938593302,69,46
1.2081514301608802,68,47
1.2135635665224347,67,48
1.230157453525462,66,49
1.2610590709567742,65,50
1.267242728471786,64,51
1.2738727483077816,63,52
1.277392899548087,62,53
1.2891873449696252,61,54
1.3438316871970672,60,55
1.3687500644408637,59,56
1.3736001191896297,58,57
1.3882220085078487,57,58
1.403875127080492,56,59
1.4203437117701956,55,60
1.4248955999299573,54,61
1.4268784093281843,53,62
1.4384828221626789,52,63
1.4535354836984864,51,64
1.4544250718096272,50,65
1.5007150796168718,49,66
1.5743048389684922,48,67
1.5775572722652123,47,68
1.5973577820137894,46,69
1.6174271589072609,45,70
1.630004195596203,44,71
1.6596459639751973,43,72
1.6642728332867314,42,73
1.7200504940145886,41,74
1.853713379052866,40,75
1.8683510162018955,39,76
1.874705611958209,38,77
1.9389371876322445,37,78
1.9425376653172817,36,79
1.94873546911023,35,80
1.9834731716880316,34,81
2.057497919931203,33,82
2.0780389921926163,32,83
2.0966949808443385,31,84
2.1371771979415657,30,85
2.189638777091979,29,86
2.2796707043179536,28,87
2.294874319683238,27,88
2.3726769547199242,26,89
2.3890054116204147,25,90
2.4321232581203667,24,91
2.465024634903601,23,92
2.4964763364461877,22,93
2.496488261098833,21,94
2.55794717866813,20,95
2.570436900519809,19,96
2.576333976980672,18,97
2.6211883372607376,17,98
2.6606809880747946,16,99
2.7893452900204516,15,100
2.860218768520341,14,101
2.8623417122911934,13,102
2.8802037358048436,12,103
2.95722782265559,11,104
3.0110750638805137,10,105
3.0348997122649597,9,106
3.219259116983629,8,107
3.4422672883220593,7,108
3.579543230114085,6,109
3.6897610350711036,5,110
3.7675790787772265,4,111
4.188716832666681,3,112
4.366549860910348,2,113
4.538485316685441,1,114
8.851093552477495,0,115
