t,S,I
0.0,28,1
0.7002988818564091,27,2
0.7524507907959336,26,3
0.7765619500123806,25,4
0.8471997717446731,24,5
0.8959460493515847,23,6
1.2055854630342968,22,7
1.3250264575634378,21,8
1.3961390538964047,20,9
1.4330979648508608,19,10
1.4554693100919702,18,11
1.6330636513710592,17,12
1.6498828388310753,16,13
1.6514684846058811,15,14
2.102839061859684,14,15
2.1178405311005957,13,16
2.2109538766286327,12,17
2.2220901577424335,11,18
2.254050183457957,10,19
2.279043819431149,9,20
2.470403909452293,8,21
2.520712466732088,7,22
2.57871155829327,6,23
2.62947823960153,5,24
2.806366215361263,4,25
3.011430426375898,3,26
3.3168738910106175,2,27
3.70312843405295,1,28
4.394083592764372,0,29
