t,S,I
0.0,21,1
18.11329823952885,20,2
46.51574090102062,19,3
59.20075632684348,18,4
110.49289381999864,17,5
122.03091772675647,16,6
132.45924773431582,15,7
135.07350806587388,14,8
137.27526862813852,13,9
138.80424011802006,12,10
139.39321306299303,11,11
139.46868927406925,10,12
139.56813647644734,9,13
139.58528610965737,8,14
139.70131258509699,7,15
140.21864902253705,6,16
140.2231062162829,5,17
140.49311205201948,4,18
140.5747608937508,3,19
141.1106148692144,2,20
142.66647361759152,1,21
143.155827793393,0,22
