t,S,I
0.0,98,1
2.6225908792572485,97,2
2.8337828527535924,96,3
5.409304235362212,95,4
13.290492322762827,94,5
18.133631427775928,93,6
22.801103602680758,92,7
26.18856196039231,91,8
32.52477875034842,90,9
40.91412796959438,89,10
41.94598681015012,88,11
42.94869647070576,87,12
44.54377429428106,86,13
48.11939367117114,85,14
51.25891456083171,84,15
51.27729559250345,83,16
52.91345433210182,82,17
56.03644181332926,81,18
62.81705900919989,80,19
67.72654416881372,79,20
68.2965115271891,78,21
70.09344225455175,77,22
71.10353852240513,76,23
73.47702657854387,75,24
74.54789075105296,74,25
77.19865789081743,73,26
80.02464728076988,72,27
80.46190438140967,71,28
80.88662847474433,70,29
81.01999331201749,69,30
81.92602837322768,68,31
82.04592187866639,67,32
82.20970148835094,66,33
82.33598838370499,65,34
82.8256813391986,64,35
83.02815813294468,63,36
83.0546878140879,62,37
83.27110686856379,61,38
83.37287503528579,60,39
83.47158989185897,59,40
83.47391749844478,58,41
83.57113926394474,57,42
83.80596891547407,56,43
83.87334700611721,55,44
83.88390907066903,54,45
83.89626595313547,53,46
83.9051435704055,52,47
84.01449270447351,51,48
84.05095580632202,50,49
84.0595176994034,49,50
84.07160584943007,48,51
84.13459228689243,47,52
84.23781814390952,46,53
84.24958755267497,45,54
84.25151860863426,44,55
84.29916743210417,43,56
84.45936981510275,42,57
84.48916303182385,41,58
84.49511193738455,40,59
84.5069025368929,39,60
84.52268247568477,38,61
84.54200786186703,37,62
84.60030655802412,36,63
84.64627691272877,35,64
84.69473926115614,34,65
84.73400553688742,33,66
84.77114483308124,32,67
84.79873919696284,31,68
84.82942331351686,30,69
84.85191782985753,29,70
84.88688656891294,28,71
84.9023914008089,27,72
84.94017654707572,26,73
84.99603846472414,25,74
85.02396263818368,24,75
85.121625481464,23,76
85.15792559715462,22,77
85.22575414348627,21,78
85.26060501342704,20,79
85.44818556107495,19,80
85.47090256901149,18,81
85.52690463261133,17,82
85.76017513273929,16,83
85.76912444877614,15,84
85.81184415951601,14,85
85.83963982497384,13,86
85.98422785055871,12,87
86.51116412025722,11,88
86.52990057119528,10,89
86.68391087938618,9,90
86.76245058915401,8,91
86.78260621147462,7,92
86.88539466572135,6,93
87.74776337171009,5,94
87.79566461956193,4,95
87.83250703790232,3,96
88.06235032535116,2,97
88.93487380435808,1,98
90.14960187867793,0,99
