t,S,I
0.0,54,1
2.698250033376536,53,2
12.008507489346307,52,3
21.368157108274893,51,4
31.30207939669851,50,5
36.23480543387465,49,6
47.18332260263429,48,7
49.22734191344899,47,8
58.8949497245894,46,9
60.73078657325286,45,10
64.92417810559371,44,11
65.90752700060175,43,12
80.38559378968641,42,13
82.04116561241682,41,14
83.73872460690356,40,15
86.92109771343927,39,16
87.22718494949008,38,17
87.33858590949994,37,18
87.89393951458354,36,19
88.22125105200358,35,20
88.66722054617136,34,21
88.82954147094274,33,22
89.0263380210418,32,23
89.03203703997089,31,24
89.03524359829802,30,25
89.24554220388208,29,26
89.48628750146423,28,27
89.70564277870297,27,28
89.81832617673827,26,29
89.89875779831226,25,30
90.11999605152228,24,31
90.12122105400886,23,32
90.13585859204001,22,33
90.31416193557688,21,34
90.36868434221205,20,35
90.3953356984935,19,36
90.40125983183486,18,37
90.40163926380525,17,38
90.50211299668587,16,39
90.50926907863861,15,40
90.65271147263752,14,41
90.68704146092925,13,42
90.79265477615581,12,43
90.83780015735411,11,44
90.83947909047471,10,45
90.86328013502599,9,46
90.89495479532656,8,47
91.1117306898524,7,48
91.11176369148231,6,49
91.24534843743652,5,50
91.8278318595182,4,51
91.98560445173477,3,52
91.99075244675409,2,53
92.25492773884609,1,54
93.35796224141819,0,55
