infectee,infectors
nbg	,['SEED']
oon	,['nbg\t']
nrb	,['nbg\t']
grg	,['nbg\t']
ggg	,['grg\t']
grb	,['ggg\t']
gbb	,['grb\t']
brn	,['grg\t']
grr	,['grb\t']
bng	,['grb\t']
rnb	,['grg\t']
rbr	,['grb\t']
bgn	,['bng\t']
bgr	,['bgn\t']
rng	,['bgr\t']
bbb	,['bgr\t']
rrr	,['bbb\t']
gpn	,['bbb\t']
ryn	,['bbb\t']
brr	,['bbb\t']
rgn	,['bgr\t']
