t,S,I,R,run_id
0.0,39,1,0,1
0.2950167921053288,39,0,1,1
0.0,39,1,0,2
0.11873969079454107,39,0,1,2
0.0,39,1,0,3
1.620268847318179,39,0,1,3
0.0,39,1,0,4
0.12257556222664143,38,2,0,4
0.9666744464554786,37,3,0,4
1.1845936008705247,36,4,0,4
1.2573983212263862,36,3,1,4
1.5575215867540542,35,4,1,4
1.572698044466318,35,3,2,4
1.8250208338103582,34,4,2,4
2.035945689727269,34,3,3,4
2.321098290760117,34,2,4,4
3.718077976799571,34,1,5,4
4.806529918683065,34,0,6,4
0.0,39,1,0,5
2.360053474024897,38,2,0,5
2.6601524242561667,38,1,1,5
3.643672062159078,38,0,2,5
