network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Name,Sex,Number litters conceived where female might have mated again with a sire of an earlier successful litter,Number litters sired by a male who sired an earlier successful litter
Network_358,24,34,0.1732675237829154,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,oke,female, , 
Network_358,25,33,0.16861606026014136,0.0008887707884375517,29,36,585,0.9285714285714286,0.006198006394771222,ome,male, , 
Network_358,26,33,0.16861606026014136,0.0008887707884375517,29,36,585,0.9285714285714286,0.006198006394771222,par,female,2.0,0.0
Network_358,27,35,0.17447671814676785,0.006971591013301691,29,36,585,0.9285714285714286,0.006198006394771222,puc,female, , 
Network_358,20,34,0.1732675237829152,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,mp,female,2.0,0.0
Network_358,21,33,0.16874623688652207,0.0008185833911546887,29,36,585,0.9285714285714286,0.006198006394771222,mrph,female,2.0,0.0
Network_358,22,34,0.17326752378291535,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,nav,female,4.0,0.0
Network_358,23,34,0.17024070847952252,0.006258639165896062,29,36,585,0.9285714285714286,0.006198006394771222,nod,male, , 
Network_358,28,28,0.1443902939392198,0.0002714047495831177,28,36,585,0.9285714285714286,0.006198006394771222,rub,male, , 
Network_358,29,34,0.17326752378291538,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,sco,male, , 
Network_358,1,34,0.17024070847952252,0.006258639165896062,29,36,585,0.9285714285714286,0.006198006394771222,ali,female,1.0,0.0
Network_358,3,34,0.1732675237829153,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,bail,female,2.0,0.0
Network_358,2,33,0.16884172908448689,0.0007446917655389253,29,36,585,0.9285714285714286,0.006198006394771222,amar,female,1.0,0.0
Network_358,5,8,0.04121707534720492,0.0,8,36,585,0.9285714285714286,0.006198006394771222,bm,female, , 
Network_358,4,33,0.168841729084487,0.0007446917655389253,29,36,585,0.9285714285714286,0.006198006394771222,bern,female, , 
Network_358,7,33,0.16874623688652207,0.0008185833911546887,29,36,585,0.9285714285714286,0.006198006394771222,csn,female,1.0,0.0
Network_358,6,33,0.16845359260467316,0.0009384555368889036,29,36,585,0.9285714285714286,0.006198006394771222,cr,female,1.0,0.0
Network_358,9,31,0.15855161769204054,0.0008265236673669013,29,36,585,0.9285714285714286,0.006198006394771222,foz,male, , 
Network_358,8,32,0.16451022721927686,0.00044176599753057257,29,36,585,0.9285714285714286,0.006198006394771222,cuj,male, , 
Network_358,11,33,0.168841729084487,0.0007446917655389253,29,36,585,0.9285714285714286,0.006198006394771222,gol,female,2.0,0.0
Network_358,10,35,0.17447671814676788,0.006971591013301691,29,36,585,0.9285714285714286,0.006198006394771222,ger,female,2.0,0.0
Network_358,13,35,0.17447671814676785,0.006971591013301691,29,36,585,0.9285714285714286,0.006198006394771222,hg,female,3.0,0.0
Network_358,12,35,0.17447671814676782,0.006971591013301691,29,36,585,0.9285714285714286,0.006198006394771222,hem,female, , 
Network_358,15,33,0.16832921281134255,0.0010022942036687465,29,36,585,0.9285714285714286,0.006198006394771222,jj,female,1.0,0.0
Network_358,14,35,0.17447671814676793,0.006971591013301691,29,36,585,0.9285714285714286,0.006198006394771222,hml,female, , 
Network_358,17,34,0.1732675237829153,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,ldv,male, , 
Network_358,16,32,0.16438005059289607,0.0005119533948134354,29,36,585,0.9285714285714286,0.006198006394771222,kip,female, , 
Network_358,33,34,0.17326752378291532,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,whh,female, , 
Network_358,18,32,0.16408955418686766,0.0006238852643354378,29,36,585,0.9285714285714286,0.006198006394771222,linc,male, , 
Network_358,31,34,0.1732675237829152,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,sx,female,1.0,0.0
Network_358,30,34,0.17326752378291538,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,sein,female,1.0,0.0
Network_358,36,33,0.1683292128113426,0.0010022942036687465,29,36,585,0.9285714285714286,0.006198006394771222,yet,male, , 
Network_358,35,30,0.15411436593304217,0.0005124456103718777,29,36,585,0.9285714285714286,0.006198006394771222,wr,female,1.0,0.0
Network_358,34,34,0.17326752378291527,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,who,female,1.0,0.0
Network_358,19,34,0.17326752378291543,0.0010532236663629152,29,36,585,0.9285714285714286,0.006198006394771222,mali,female,1.0,0.0
Network_358,32,30,0.15085938126205237,0.004889752088518692,29,36,585,0.9285714285714286,0.006198006394771222,ua,female,1.0,0.0
