network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,David's Score,David's Score rank,Glicko rating,Glicko rank,I&SI rank
Network_730,ev,3,0.15720598987296977,0.04242424242424242,2,12,24,0.36363636363636365,,36.7,2.0,2669.0,2.0,2.0
Network_730,gm,3,0.2020187349604386,0.013636363636363636,2,12,24,0.36363636363636365,,39.0,1.0,2686.0,1.0,1.0
Network_730,ak,6,0.3990632217993181,0.22424242424242424,3,12,24,0.36363636363636365,,11.3,3.0,2326.0,3.0,3.3
Network_730,ip,2,0.10635665510471365,0.022727272727272728,2,12,24,0.36363636363636365,,-23.1,12.0,1895.0,12.0,11.0
Network_730,dw,5,0.35283007612527983,0.07424242424242423,3,12,24,0.36363636363636365,,-5.7,7.0,2112.0,5.5,7.0
Network_730,kz,6,0.4217287835924517,0.15151515151515152,3,12,24,0.36363636363636365,,-6.5,8.0,2112.0,5.5,9.7
Network_730,ps,5,0.3218951995313496,0.14696969696969694,3,12,24,0.36363636363636365,,-18.6,11.0,1973.0,11.0,12.0
Network_730,mp,5,0.3401353061057698,0.09393939393939392,3,12,24,0.36363636363636365,,-13.5,10.0,2012.0,10.0,8.0
Network_730,gx,3,0.24354392107692724,0.0,3,12,24,0.36363636363636365,,3.6,4.0,2238.0,4.0,3.7
Network_730,oz,5,0.32140684485822946,0.1712121212121212,3,12,24,0.36363636363636365,,-13.5,9.0,2049.0,8.0,9.3
Network_730,gv,3,0.24083142903147203,0.004545454545454545,3,12,24,0.36363636363636365,,-5.2,6.0,2014.0,9.0,5.0
Network_730,iz,2,0.1471154658783665,0.0,2,12,24,0.36363636363636365,,-4.4,5.0,2109.0,7.0,6.0
