network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_734,bbb	,4,0.08472363223621227,0.00443609022556391,4,21,98,0.4666666666666667,0.08294019451299174
Network_734,rgn	,6,0.12913589723125482,0.012959482038429405,5,21,98,0.4666666666666667,0.08294019451299174
Network_734,bgn	,8,0.18733721707332074,0.010824979114452798,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,bng	,8,0.1807886680798995,0.012305764411027566,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,ggg	,14,0.30296746169705874,0.05583542188805346,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,grr	,7,0.1742303624496829,0.006409774436090225,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,nrb	,7,0.16017833303180687,0.009509189640768589,6,21,98,0.4666666666666667,0.08294019451299174
Network_734,oon	,12,0.2697960473441349,0.03665413533834586,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,rnb	,11,0.2528743410893567,0.024933166248955717,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,bgr	,8,0.1824975680145619,0.013258145363408521,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,brr	,11,0.23835327347573979,0.03969298245614035,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,grg	,10,0.2228070069980776,0.02486424394319131,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,rng	,7,0.14601105043017176,0.017543859649122806,6,21,98,0.4666666666666667,0.08294019451299174
Network_734,brn	,11,0.24048834448902107,0.0358375104427736,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,gbb	,18,0.35622467680502956,0.1534356725146199,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,grb	,10,0.24029415473623533,0.023072263993316623,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,nbg	,12,0.26481343238368443,0.03959899749373433,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,rrr	,7,0.15060534739070666,0.014411027568922305,6,21,98,0.4666666666666667,0.08294019451299174
Network_734,gpn	,4,0.11275259788285466,0.0,4,21,98,0.4666666666666667,0.08294019451299174
Network_734,rbr	,12,0.2686061965010528,0.04159774436090226,7,21,98,0.4666666666666667,0.08294019451299174
Network_734,ryn	,9,0.20641165066909192,0.01755639097744361,7,21,98,0.4666666666666667,0.08294019451299174
