network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_21,Ant394,51,0.10030981318129831,0.0026973106285309214,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,394.0,151.18200000000002,330.0,0.0,N,C,C,F,115.818,0.363636,0.818182,124.0,102.54545,44.818182,3.727
Network_21,Ant501,48,0.091274212716933,0.0033416131560258053,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,501.0,158.619,246.0,0.0,C,C,C,F,22.4545,0.0,0.0,118.81818,209.0,158.27273,2.0909999999999997
Network_21,Ant324,51,0.09982372133842758,0.002148423202521126,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,324.0,148.003,351.0,9.0,F,F,F, ,0.272727,3.18182,0.0,5.0,64.727273,420.81818,0.0
Network_21,Ant482,50,0.09954939518242409,0.0015962654493622888,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,482.0,178.40400000000002,330.0,0.0,C,N,N,N,81.0909,0.0909091,0.818182,132.72727,142.72727,88.181818,4.0
Network_21,Ant621,62,0.12059040104485075,0.004034000413267423,42,80,2269,0.7180379746835444,0.1994598387913203,,,,,,,,,,,,,,,,
Network_21,Ant507,45,0.08852847581972732,0.0012637594372255229,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,507.0,144.475,40.0,0.0,F,F,F, ,8.909089999999999,3.0,0.272727,19.090909,130.0,699.27273,0.09091
Network_21,Ant137,55,0.10808866833757258,0.0026712136328838464,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,137.0,140.80100000000002,330.0,0.0,N,C,N, ,449.36400000000003,0.0909091,4.72727,176.81818,128.36364,39.363636,9.727
Network_21,Ant356,58,0.1137079279693543,0.0031874886423901945,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,356.0,214.704,246.0,15.0,F,F,F,F,0.636364,166.0,0.272727,9.0909091,65.363636,681.27273,0.0
Network_21,Ant153,65,0.1263390129406766,0.004151706104172754,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,153.0,215.928,190.0,0.0,C,C,C,F,50.0909,0.0,0.181818,82.545455,155.09091,122.90908999999999,1.636
Network_21,Ant260,70,0.13556343309209345,0.005292593968660329,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,260.0,236.053,400.0,0.0,F,F,F, ,3.8181800000000004,32.6364,1.63636,28.818182,137.72727,927.27273,0.3636
Network_21,Ant289,58,0.1149123769778852,0.002842077601342743,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,289.0,154.651,330.0,0.0,F,F,F, ,11.8182,1.81818,3.72727,17.363636,97.818182,358.0,0.09091
Network_21,Ant218,46,0.0909614435522664,0.0019304510027469968,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,218.0,172.699,351.0,0.0,N,C,C,C,75.1818,0.0,1.18182,164.81818,129.27273,34.454545,6.636
Network_21,Ant156,50,0.09215109344436803,0.003809455355118771,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,156.0,173.046,40.0,0.0,N,N,N,N,372.18199999999996,0.181818,1.9090900000000002,230.09091,88.636364,26.454545,21.55
Network_21,Ant159,48,0.09419164182430893,0.0016238077487778309,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,159.0,153.264,40.0,0.0,N,N,N, ,159.455,0.0,0.181818,145.36364,85.727273,22.818182,11.18
Network_21,Ant158,63,0.12243606011165788,0.004335802745993809,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,158.0,149.40200000000002,40.0,0.0,C,F,F, ,128.0,0.545455,1.27273,53.0,131.90909,178.09091,0.4545
Network_21,Ant268,52,0.09972474636383985,0.0033758940818951573,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,268.0,163.67,71.0,0.0,C,N,C,C,61.6364,0.0,1.9090900000000002,100.0,98.636364,74.272727,4.545
Network_21,Ant219,23,0.041302171117984725,0.0003962293435739537,23,80,2269,0.7180379746835444,0.1994598387913203,4.0,219.0,286.895,1453.0,0.0,Q,Q,Q,Q,76.8182,0.0,0.0909091,303.63636,77.090909,10.090909,0.0
Network_21,Ant176,47,0.09112918345590428,0.002490467263566696,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,176.0,142.44299999999998,351.0,36.0,F,F,F,F,2.18182,4.09091,0.0,4.2727273,41.0,355.54545,0.0
Network_21,Ant139,43,0.08308829292872609,0.0015820235456821135,41,80,2269,0.7180379746835444,0.1994598387913203,4.0,139.0,150.546,330.0,0.0,N,N,N,N,447.455,0.0909091,2.45455,159.36364,75.090909,18.636364,13.91
Network_21,Ant560,54,0.10770181324511512,0.0020406250139171074,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,560.0,212.93400000000003,316.0,0.0,F,F,F,F,6.36364,63.9091,0.545455,30.727272999999997,121.63636000000001,626.90909,0.7273
Network_21,Ant207,63,0.12225744703726722,0.004458815106209523,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,207.0,201.91099999999997,337.0,0.0,C,C,N,C,58.5455,0.0909091,3.0,128.45455,238.45455,195.90909,5.545
Network_21,Ant390,48,0.09628597804586751,0.0014609938918138108,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,390.0,163.444,330.0,0.0,N,N,N,N,161.091,0.363636,3.36364,151.45455,64.454545,14.818182,11.73
Network_21,Ant564,72,0.13721370739413802,0.007171579800884005,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,564.0,136.077,246.0,0.0,C,C,F,F,107.0,0.181818,93.2727,115.27273000000001,196.0,165.0,1.182
Network_21,Ant55,70,0.13321605554720917,0.0065782302128195675,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,55.0,161.645,330.0,0.0,C,C,F,F,31.2727,0.363636,5.72727,80.454545,183.81818,125.63636000000001,1.455
Network_21,Ant540,51,0.0996896952532428,0.002305820195747592,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,540.0,148.93,372.0,0.0,C,C,N,N,85.9091,0.0,0.0909091,97.272727,126.81818,86.545455,1.091
Network_21,Ant202,66,0.12810185412419242,0.0047121352654086015,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,202.0,137.80100000000002,330.0,0.0,F,C,C,F,11.1818,0.0,14.6364,54.727273,203.45455,302.63636,0.4545
Network_21,Ant115,57,0.111962814902036,0.0027820706741256006,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,115.0,124.338,71.0,0.0,C,F,F,F,30.9091,0.818182,50.2727,37.636364,143.72727,88.181818,0.09091
Network_21,Ant4,60,0.11765965597278714,0.0035679919233731696,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,4.0,197.063,246.0,0.0,C,F,C,F,31.4545,8.81818,3.18182,75.545455,167.90909,184.27273,1.7269999999999999
Network_21,Ant117,71,0.1348797650745351,0.007138953744466673,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,117.0,160.46200000000002,190.0,0.0,C,C,C,F,88.4545,0.272727,3.45455,128.09091,198.18182,179.0,6.727
Network_21,Ant242,64,0.12102672145830012,0.005715750344800395,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,242.0,149.482,330.0,0.0,N,N,N,C,229.0,0.0,1.18182,231.18182000000002,101.45455,21.272727,13.0
Network_21,Ant209,50,0.09838556424941124,0.0018494574834487017,42,80,2269,0.7180379746835444,0.1994598387913203,4.0,209.0,183.175,176.0,0.0,F,F,F, ,3.0,3.09091,0.0,34.363636,163.27273,398.63636,0.1818
