t,S,I,R,run_id
0.0,72,1,0,1
0.0026339206117858022,71,2,0,1
0.09562957190226344,70,3,0,1
0.11974976797734183,69,4,0,1
0.1206756743324099,68,5,0,1
0.17470357331829928,68,4,1,1
0.2482827205843226,67,5,1,1
0.2546134806546366,66,6,1,1
0.2991406020093083,65,7,1,1
0.3040371514644229,64,8,1,1
0.31509642898516366,63,9,1,1
0.3344003205279764,62,10,1,1
0.345710720496185,61,11,1,1
0.36730042060254825,60,12,1,1
0.3718218310360689,59,13,1,1
0.38567021532813583,58,14,1,1
0.3942428414339775,57,15,1,1
0.4004816881669448,57,14,2,1
0.4153286115527573,56,15,2,1
0.41625035831944435,56,14,3,1
0.4293358821540797,55,15,3,1
0.4477577729172427,54,16,3,1
0.4485263346772911,53,17,3,1
0.4556481051429,52,18,3,1
0.463920876228707,51,19,3,1
0.46668579677474353,50,20,3,1
0.4749367758672222,50,19,4,1
0.4787207766975462,49,20,4,1
0.49550114948256685,48,21,4,1
0.49854288584575884,47,22,4,1
0.49899212244314334,47,21,5,1
0.5047627753084214,46,22,5,1
0.5105344316492975,45,23,5,1
0.5225482354859244,44,24,5,1
0.5381342066591988,43,25,5,1
0.5384787363467086,43,24,6,1
0.5385077840076391,42,25,6,1
0.5402341884676622,41,26,6,1
0.5432794152408575,40,27,6,1
0.5452355914915072,39,28,6,1
0.5481265795972846,38,29,6,1
0.5543592953771346,37,30,6,1
0.5552022526320326,36,31,6,1
0.5554378850115518,35,32,6,1
0.5617950965227655,34,33,6,1
0.5619216196687248,33,34,6,1
0.569849781161379,33,33,7,1
0.5710677836897609,32,34,7,1
0.5752637778228312,31,35,7,1
0.589132896845828,31,34,8,1
0.5929681899442695,31,33,9,1
0.5933737648360875,30,34,9,1
0.6156138977071658,29,35,9,1
0.6176070574329762,29,34,10,1
0.6303497467548532,28,35,10,1
0.6348785669667539,27,36,10,1
0.638015347225194,27,35,11,1
0.6594493175846785,26,36,11,1
0.6878000385366164,25,37,11,1
0.7107577631098067,24,38,11,1
0.7165974249491761,23,39,11,1
0.7515334991788065,23,38,12,1
0.7762113264103626,23,37,13,1
0.7829783527239272,22,38,13,1
0.7985272889216699,21,39,13,1
0.8425898432845216,20,40,13,1
0.8553169290628199,19,41,13,1
0.8757338593156366,19,40,14,1
0.8795112140750633,18,41,14,1
0.8816410821301067,17,42,14,1
0.8850325254665824,16,43,14,1
0.8855401143379322,16,42,15,1
0.9074168293682552,16,41,16,1
0.9117027809340564,15,42,16,1
0.9188963151567685,15,41,17,1
0.9224825143250968,14,42,17,1
0.9818350060746516,14,41,18,1
0.9929830279909435,13,42,18,1
1.0035208906297486,12,43,18,1
1.0132801532383071,12,42,19,1
1.0276166235272166,12,41,20,1
1.0645368160407778,12,40,21,1
1.1260135724640248,12,39,22,1
1.134137308302304,12,38,23,1
1.1436250784791855,12,37,24,1
1.1534033273798432,12,36,25,1
1.1609693808522128,12,35,26,1
1.1670048107021234,12,34,27,1
1.195996834273475,11,35,27,1
1.2101856864566805,10,36,27,1
1.2142077941890759,9,37,27,1
1.2155095680716463,8,38,27,1
1.2254328644784305,7,39,27,1
1.2481125544760285,7,38,28,1
1.27916323718446,7,37,29,1
1.341899227500296,7,36,30,1
1.3530657418430274,7,35,31,1
1.3764919589011577,6,36,31,1
1.376808022333795,6,35,32,1
1.395387663373979,5,36,32,1
1.4317576605024478,5,35,33,1
1.4566659483512399,5,34,34,1
1.4595005523182867,5,33,35,1
1.5004040813932034,5,32,36,1
1.5455290395201164,5,31,37,1
1.5729196496552227,4,32,37,1
1.5757785588414968,3,33,37,1
1.6323834624473006,2,34,37,1
1.6413478513919482,2,33,38,1
1.6470119019844611,2,32,39,1
1.66071353490758,2,31,40,1
1.6884388603137732,1,32,40,1
1.700757941622869,1,31,41,1
1.7096579905847222,1,30,42,1
1.7212846637219004,1,29,43,1
1.728960736344658,1,28,44,1
1.7406672694674878,1,27,45,1
1.7561767592650497,1,26,46,1
1.8071166443372852,1,25,47,1
1.8290487300285734,1,24,48,1
1.8939877913883079,1,23,49,1
1.9063618961497297,1,22,50,1
1.909790025665231,1,21,51,1
1.9695498747463995,1,20,52,1
1.973031905804699,1,19,53,1
1.9736642367519706,1,18,54,1
2.039625374889476,1,17,55,1
2.0427535714234186,1,16,56,1
2.0436687279055894,1,15,57,1
2.0514424301303373,1,14,58,1
2.067008707341132,1,13,59,1
2.1463235465116863,1,12,60,1
2.274147366595828,1,11,61,1
2.3119299540603206,1,10,62,1
2.5352662764962384,1,9,63,1
2.7585109747896386,1,8,64,1
2.8355295854617872,1,7,65,1
2.8848040103428114,1,6,66,1
2.9238902748191102,1,5,67,1
2.9676498776204747,1,4,68,1
3.0105453375894067,1,3,69,1
3.2222838985580986,1,2,70,1
4.324305990347987,1,1,71,1
9.053719296284601,1,0,72,1
0.0,72,1,0,2
0.07316691485541887,71,2,0,2
0.22045252735970405,70,3,0,2
0.31939860731410835,69,4,0,2
0.35457010481562046,68,5,0,2
0.36465224311542355,67,6,0,2
0.36789189183076315,67,5,1,2
0.3894815101952511,66,6,1,2
0.4136403712478197,65,7,1,2
0.4224794856070214,64,8,1,2
0.43606279701233336,64,7,2,2
0.44297113180437336,64,6,3,2
0.44476873720279775,63,7,3,2
0.46959677210979495,62,8,3,2
0.5618678480543506,62,7,4,2
0.6240583113344563,61,8,4,2
0.6982114605785901,60,9,4,2
0.7006668891769953,59,10,4,2
0.7313120377597175,58,11,4,2
0.7640866936218592,57,12,4,2
0.8211743196806476,56,13,4,2
0.8386416807560716,56,12,5,2
0.8490574289476533,55,13,5,2
0.8572349585316207,54,14,5,2
0.8596001692263543,53,15,5,2
0.865479713314183,52,16,5,2
0.8878310575887332,51,17,5,2
0.9013819357674776,51,16,6,2
0.9037753039922486,50,17,6,2
0.9405934372967258,49,18,6,2
