t,S,I,R,run_id
0.0,130,1,0,1
0.0011446094715584787,129,2,0,1
0.01174273351372007,128,3,0,1
0.013941990257004714,127,4,0,1
0.02037707236372223,126,5,0,1
0.022446980947287642,125,6,0,1
0.022821406960405362,124,7,0,1
0.037687101847310396,123,8,0,1
0.04861788732003715,122,9,0,1
0.050324331413226425,121,10,0,1
0.05305796074101874,120,11,0,1
0.05341843373946036,119,12,0,1
0.05405026995680944,118,13,0,1
0.055953320942952696,117,14,0,1
0.05714421429357805,116,15,0,1
0.05723711719206274,115,16,0,1
0.058265348184558884,114,17,0,1
0.05888823365173028,113,18,0,1
0.05946650302088415,112,19,0,1
0.0599279470200273,111,20,0,1
0.05994175269736252,110,21,0,1
0.0604709920527125,109,22,0,1
0.06221792898350593,108,23,0,1
0.0624949303589578,107,24,0,1
0.0650873141111797,106,25,0,1
0.0659907943815755,105,26,0,1
0.06775561118498,104,27,0,1
0.06802225751203236,103,28,0,1
0.06904788890621798,102,29,0,1
0.07188866993591275,101,30,0,1
0.07484599435128392,100,31,0,1
0.07528337802244894,99,32,0,1
0.07676003282001592,99,31,1,1
0.07678384842994805,98,32,1,1
0.07709602526921266,97,33,1,1
0.07719985539338946,96,34,1,1
0.07797100794540046,95,35,1,1
0.07880848111911823,94,36,1,1
0.07919714276799796,93,37,1,1
0.07973260867701634,92,38,1,1
0.07990829342878718,91,39,1,1
0.08019060646029433,90,40,1,1
0.08118904093955598,89,41,1,1
0.08128119918598735,88,42,1,1
0.0817253400952878,87,43,1,1
0.0822533742819192,86,44,1,1
0.08286150877920709,85,45,1,1
0.08403170830787092,84,46,1,1
0.0843077395229586,83,47,1,1
0.08452626542101166,82,48,1,1
0.0863078011246987,81,49,1,1
0.08698010469417604,80,50,1,1
0.08881207536720852,79,51,1,1
0.09024491657544013,78,52,1,1
0.09097566482162142,77,53,1,1
0.09160504157648736,76,54,1,1
0.09292287615599504,75,55,1,1
0.09408661620210672,74,56,1,1
0.09409255680011566,73,57,1,1
0.09531459600963534,72,58,1,1
0.09593924548257605,71,59,1,1
0.09624457775014854,70,60,1,1
0.09711911940969727,69,61,1,1
0.09780720574313156,68,62,1,1
0.09804464895437077,67,63,1,1
0.0986799551484167,66,64,1,1
0.0994821696000663,65,65,1,1
0.10068445614339616,64,66,1,1
0.1010190919442725,63,67,1,1
0.10107389835368404,62,68,1,1
0.10130446951570335,61,69,1,1
0.10138865971839586,60,70,1,1
0.1025901332440819,59,71,1,1
0.10311163997328308,58,72,1,1
0.10389980581302562,57,73,1,1
0.1045978165770808,56,74,1,1
0.10480979693236862,55,75,1,1
0.10521376703569776,54,76,1,1
0.10525838609260499,53,77,1,1
0.10546917369527564,52,78,1,1
0.10588630923421069,51,79,1,1
0.10589697725241348,50,80,1,1
0.10684319961223802,49,81,1,1
0.10737345814796732,48,82,1,1
0.10793056012635685,47,83,1,1
0.1079314947860072,46,84,1,1
0.10842092304793897,45,85,1,1
0.10906071410542724,44,86,1,1
0.10940214943952029,43,87,1,1
0.1094794420703017,42,88,1,1
0.1095605719356814,41,89,1,1
0.10982562647687756,41,88,2,1
0.11019974239594392,40,89,2,1
0.11141671028917428,39,90,2,1
0.11190408085854196,38,91,2,1
0.11206714304626003,37,92,2,1
0.1123480514411496,36,93,2,1
0.1135934510972829,35,94,2,1
0.11372945418535371,34,95,2,1
0.11456270332869568,33,96,2,1
0.1147882578584923,32,97,2,1
0.11523759502742005,31,98,2,1
0.11535977586382402,30,99,2,1
0.11644599072558676,29,100,2,1
0.11670045805688731,28,101,2,1
0.11697021975199055,27,102,2,1
0.11803879357339507,26,103,2,1
0.1186138518252956,25,104,2,1
0.11938862508536294,24,105,2,1
0.12302733431905107,23,106,2,1
0.12314645080396681,22,107,2,1
0.12345502673845421,21,108,2,1
0.12461497296697853,20,109,2,1
0.1255383584248315,19,110,2,1
0.1257195052374444,18,111,2,1
0.12905746143086222,17,112,2,1
0.13033549977756193,16,113,2,1
0.1305722661032775,15,114,2,1
0.13058834428450147,14,115,2,1
0.13181584162069954,13,116,2,1
0.13235466174528301,12,117,2,1
0.13324953459797145,11,118,2,1
0.13665516095191527,10,119,2,1
0.1367274305406379,9,120,2,1
0.13841127764466393,8,121,2,1
0.14087130150202942,8,120,3,1
0.14531800783631094,7,121,3,1
0.14660983467696478,6,122,3,1
0.1471634783064984,6,121,4,1
0.14968624357755853,5,122,4,1
