network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_741,bbb	,12,0.24293457615179329,0.024628237259816207,8,21,110,0.5238095238095238,0.184113511659808
Network_741,ggg	,14,0.25849724543373565,0.06162109820004556,8,21,110,0.5238095238095238,0.184113511659808
Network_741,grb	,14,0.27320478450978386,0.04321048834206729,8,21,110,0.5238095238095238,0.184113511659808
Network_741,grg	,11,0.23563708551970203,0.013089352168299536,8,21,110,0.5238095238095238,0.184113511659808
Network_741,rbr	,13,0.26928166423983013,0.02312049062049062,8,21,110,0.5238095238095238,0.184113511659808
Network_741,rnb	,10,0.20537252205189746,0.01469127363864206,8,21,110,0.5238095238095238,0.184113511659808
Network_741,bgn	,9,0.16778240780358356,0.02269233690286322,7,21,110,0.5238095238095238,0.184113511659808
Network_741,gpn	,4,0.08195247100858132,0.0025793650793650793,4,21,110,0.5238095238095238,0.184113511659808
Network_741,grr	,6,0.12668977687004757,0.004110465557833979,6,21,110,0.5238095238095238,0.184113511659808
Network_741,oon	,14,0.27889500294379377,0.034914369256474516,8,21,110,0.5238095238095238,0.184113511659808
Network_741,bgr	,8,0.1471135726679733,0.014910192147034252,7,21,110,0.5238095238095238,0.184113511659808
Network_741,brr	,12,0.23197999108436274,0.03345446950710109,8,21,110,0.5238095238095238,0.184113511659808
Network_741,gbb	,16,0.27686952879899585,0.10007120072909546,8,21,110,0.5238095238095238,0.184113511659808
Network_741,bng	,12,0.23270216911005762,0.03992310321257689,8,21,110,0.5238095238095238,0.184113511659808
Network_741,nrb	,11,0.24579267831470142,0.0068088782562466775,8,21,110,0.5238095238095238,0.184113511659808
Network_741,rng	,12,0.24000702842564536,0.023394281157439054,8,21,110,0.5238095238095238,0.184113511659808
Network_741,brn	,7,0.1451622977768788,0.007082289055973265,7,21,110,0.5238095238095238,0.184113511659808
Network_741,nbg	,13,0.25660751320391406,0.045668717247664616,8,21,110,0.5238095238095238,0.184113511659808
Network_741,rgn	,7,0.15420221436307927,0.0028907496012759173,7,21,110,0.5238095238095238,0.184113511659808
Network_741,rrr	,11,0.2421782209329655,0.006702551834130782,8,21,110,0.5238095238095238,0.184113511659808
Network_741,ryn	,4,0.08352383068499326,0.0007518796992481202,4,21,110,0.5238095238095238,0.184113511659808
