network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,weight,svl
Network_1021,BGS-0425,7,1.2149484781754225e-18,3.3652470932678243e-07,6,2886,9149,0.002197664935966496,0.8873757564188377,F,45.0,39.0
Network_1021,BGS-10,3,2.9355872724494004e-06,0.0,3,2886,9149,0.002197664935966496,0.8873757564188377,F,66.5,45.0
Network_1021,BGS-1000,17,9.056625186925029e-18,0.0007258894973415819,8,2886,9149,0.002197664935966496,0.8873757564188377,F,4.966666667,19.2
Network_1021,BGS-1001,13,1.5002724080814733e-18,0.00032568745188728184,8,2886,9149,0.002197664935966496,0.8873757564188377,F,4.65,19.55
Network_1021,BGS-1002,7,2.9348799996238118e-18,4.7419077918452846e-05,6,2886,9149,0.002197664935966496,0.8873757564188377,M,5.7,20.5
Network_1021,BGS-1003,8,3.849431251011581e-18,0.00039067428143176643,6,2886,9149,0.002197664935966496,0.8873757564188377,M,7.4,21.05
Network_1021,BGS-1004,11,1.7450456620654508e-17,0.0003678995040086281,6,2886,9149,0.002197664935966496,0.8873757564188377,M,8.0,37.55
Network_1021,BGS-1005,6,4.559506424626054e-18,0.0,6,2886,9149,0.002197664935966496,0.8873757564188377,F,5.6,20.0
Network_1021,BGS-1006,6,2.1537221787946578e-18,0.0,6,2886,9149,0.002197664935966496,0.8873757564188377,M,6.85,21.7
Network_1021,BGS-1007,7,8.045867319368506e-18,0.017125949955033314,7,2886,9149,0.002197664935966496,0.8873757564188377,M,10.2,24.46666667
Network_1021,BGS-1008,8,5.561298512384037e-18,5.058875110760071e-05,7,2886,9149,0.002197664935966496,0.8873757564188377,F,4.8,20.5
Network_1021,BGS-1009,13,8.189412095510685e-18,0.0017440579157457494,7,2886,9149,0.002197664935966496,0.8873757564188377,F,26.375,30.325
Network_1021,BGS-1010,20,2.6928844260936866e-17,0.011679873257810768,7,2886,9149,0.002197664935966496,0.8873757564188377,F,7.9,22.33333333
Network_1021,BGS-1011,10,6.189822198657762e-18,0.0007288265648580525,7,2886,9149,0.002197664935966496,0.8873757564188377,M,8.05,22.5
Network_1021,BGS-1012,5,4.692108249132305e-19,9.67503562202212e-06,5,2886,9149,0.002197664935966496,0.8873757564188377,F,5.7,21.0
Network_1021,BGS-1013,5,8.595868556722356e-19,9.67503562202212e-06,5,2886,9149,0.002197664935966496,0.8873757564188377,M,5.7,40.5
Network_1021,BGS-1014,5,9.305257178017939e-19,9.67503562202212e-06,5,2886,9149,0.002197664935966496,0.8873757564188377,M,5.0,19.3
Network_1021,BGS-1015,13,3.1961586068364014e-18,0.003926242251004649,6,2886,9149,0.002197664935966496,0.8873757564188377,F,8.333333333,22.2
Network_1021,BGS-1016,10,7.17181874440411e-18,0.00010902397984977391,7,2886,9149,0.002197664935966496,0.8873757564188377,M,6.4,22.175
Network_1021,BGS-1017,1,1.7014358593000823e-19,0.0,1,2886,9149,0.002197664935966496,0.8873757564188377,M,8.6,22.8
Network_1021,BGS-1018,6,6.197377309484724e-19,0.00021375865780060778,2,2886,9149,0.002197664935966496,0.8873757564188377,M,28.25,37.075
Network_1021,BGS-1019,2,-4.0227310174074816e-19,0.0,2,2886,9149,0.002197664935966496,0.8873757564188377,M,6.3,19.0
Network_1021,BGS-1021,4,1.5530076178208092e-18,0.000343255203513318,3,2886,9149,0.002197664935966496,0.8873757564188377,M,21.75,31.2
Network_1021,BGS-1022,2,4.0788498780234323e-19,0.0,2,2886,9149,0.002197664935966496,0.8873757564188377,M,6.4,20.2
Network_1021,BGS-1023,8,2.043313776033859e-18,0.00014394009756658443,7,2886,9149,0.002197664935966496,0.8873757564188377,F,5.8,20.1
Network_1021,BGS-1024,19,1.8370237391465722e-17,0.0008181184396007134,7,2886,9149,0.002197664935966496,0.8873757564188377,F,7.8,22.0
Network_1021,BGS-1025,4,2.563056565562069e-19,0.0010002884486834476,2,2886,9149,0.002197664935966496,0.8873757564188377,F,42.95,38.85
Network_1021,BGS-1026,9,1.1290640568114254e-18,0.00012992023723852752,7,2886,9149,0.002197664935966496,0.8873757564188377,F,4.5,19.0
Network_1021,BGS-1027,15,2.4631270746910537e-18,0.00020833965873289786,8,2886,9149,0.002197664935966496,0.8873757564188377,F,9.1,21.65
Network_1021,BGS-1028,16,2.3674313189935494e-18,0.0005813783381480457,8,2886,9149,0.002197664935966496,0.8873757564188377,F,6.5,20.675
Network_1021,BGS-1031,9,5.853881169689526e-18,0.0002480670236582147,6,2886,9149,0.002197664935966496,0.8873757564188377,F,8.45,22.7
Network_1021,BGS-1032,7,0.0003036789877145952,0.0015338315501529987,3,2886,9149,0.002197664935966496,0.8873757564188377,F,38.55,31.2
Network_1021,BGS-1033,2,1.2280570435697799e-05,0.0,2,2886,9149,0.002197664935966496,0.8873757564188377,F,4.5,18.5
Network_1021,BGS-1035,2,1.2280570435697118e-05,0.0,2,2886,9149,0.002197664935966496,0.8873757564188377,F,4.5,19.5
Network_1021,BGS-1038,2,1.1794458538461837e-09,0.0,2,2886,9149,0.002197664935966496,0.8873757564188377,M,6.1,19.3
Network_1021,BGS-1039,2,1.1794458528317753e-09,0.0,2,2886,9149,0.002197664935966496,0.8873757564188377,M,5.7,18.5
Network_1021,BGS-1040,1,2.101466486687215e-20,0.0,1,2886,9149,0.002197664935966496,0.8873757564188377,M,7.5,19.7
Network_1021,BGS-1041,13,8.196342728523643e-18,0.0021779401724658725,7,2886,9149,0.002197664935966496,0.8873757564188377,F,5.65,18.8
Network_1021,BGS-1042,1,6.260111924070287e-20,0.0,1,2886,9149,0.002197664935966496,0.8873757564188377,F,9.2,22.5
Network_1021,BGS-1044,1,3.753443233545051e-19,0.0,1,2886,9149,0.002197664935966496,0.8873757564188377,F,10.0,23.3
