network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,David's Score,David's Score rank,Glicko rating,Glicko rank,I&SI rank
Network_727,ev,10,0.34639327291687244,0.05535353535353535,6,12,47,0.7121212121212122,,23.6,1.0,2711.0,1.0,1.2
Network_727,gm,11,0.36971705128404164,0.07717171717171717,6,12,47,0.7121212121212122,,19.8,2.0,2617.0,2.0,1.7
Network_727,ak,10,0.33577688827448393,0.07060606060606062,6,12,47,0.7121212121212122,,3.3,3.0,2337.0,3.0,3.8
Network_727,dw,8,0.30047263371812405,0.011717171717171715,6,12,47,0.7121212121212122,,0.2,4.0,2276.0,4.0,7.1
Network_727,kz,6,0.24191966976131798,0.00202020202020202,6,12,47,0.7121212121212122,,-3.2,5.0,2057.0,7.0,8.2
Network_727,gv,5,0.19335773112951862,0.00303030303030303,5,12,47,0.7121212121212122,,-3.7,6.0,2008.0,9.0,4.1
Network_727,ip,9,0.31877828831140154,0.038989898989898984,6,12,47,0.7121212121212122,,-4.9,8.0,2014.0,8.0,9.1
Network_727,iz,6,0.2290340639472636,0.008686868686868687,5,12,47,0.7121212121212122,,-3.8,7.0,2175.0,5.0,5.6
Network_727,ps,9,0.3121917862849872,0.04636363636363636,6,12,47,0.7121212121212122,,-8.2,10.0,1898.0,12.0,10.9
Network_727,mp,8,0.2990717654665594,0.015353535353535354,6,12,47,0.7121212121212122,,-9.7,12.0,2003.0,10.0,9.8
Network_727,oz,6,0.23951593680252276,0.00202020202020202,6,12,47,0.7121212121212122,,-7.0,11.0,1903.0,11.0,11.2
Network_727,gx,6,0.21453910016021996,0.01414141414141414,5,12,47,0.7121212121212122,,-6.5,9.0,2066.0,6.0,5.2
