t,S,I,R,run_id
0.0,36,1,0,1
0.20075489045241823,36,0,1,1
0.0,36,1,0,2
0.2024131899070192,35,2,0,2
0.4082369881196185,34,3,0,2
0.4428371750652684,33,4,0,2
0.4814119855156784,33,3,1,2
0.6736069037644747,32,4,1,2
0.7184457513076952,31,5,1,2
0.7416668884379019,30,6,1,2
0.7815798819457295,29,7,1,2
0.7902217618396162,29,6,2,2
0.8344773342535369,29,5,3,2
1.5959833413549438,29,4,4,2
2.000164774518436,28,5,4,2
2.0879345703145655,27,6,4,2
2.1218412746130344,26,7,4,2
2.223405873769933,26,6,5,2
2.2668553601166725,25,7,5,2
2.2822432489840545,25,6,6,2
2.304562299178691,24,7,6,2
2.314743938804807,24,6,7,2
2.363812644178603,23,7,7,2
2.4156513656803718,23,6,8,2
2.4341066580353874,23,5,9,2
2.4557694069415175,23,4,10,2
3.3483996982085165,22,5,10,2
3.399029121735279,21,6,10,2
3.4128437817043484,21,5,11,2
3.548636615725427,21,4,12,2
3.603089074961569,21,3,13,2
3.9657013736304023,21,2,14,2
4.641030726097554,21,1,15,2
5.092617823311555,21,0,16,2
0.0,36,1,0,3
0.14229198222341294,35,2,0,3
0.17223166843253881,34,3,0,3
0.25923795902826796,33,4,0,3
0.31736425855322026,32,5,0,3
0.3214481210001857,32,4,1,3
0.32745922690162543,31,5,1,3
0.47013399982873966,30,6,1,3
0.4836358695834867,29,7,1,3
0.5150981794172451,29,6,2,3
0.602507575910229,28,7,2,3
0.614918989617678,27,8,2,3
0.690469604822367,27,7,3,3
0.8021450364141365,26,8,3,3
0.8348334764735753,25,9,3,3
0.9195825368298282,24,10,3,3
0.9365643388215811,23,11,3,3
0.9871640170511211,22,12,3,3
1.0463215773805057,21,13,3,3
1.0715062130110322,20,14,3,3
1.0811301837938234,20,13,4,3
1.1123383328862408,20,12,5,3
1.2075836559748268,19,13,5,3
1.2313181704602845,19,12,6,3
1.24549839152206,19,11,7,3
1.336678240549652,19,10,8,3
1.3457566716912037,19,9,9,3
1.3727620248946386,18,10,9,3
1.44026677427278,17,11,9,3
1.5633584725309473,16,12,9,3
1.6029923435010496,15,13,9,3
1.6367150966886364,14,14,9,3
1.7141679849726899,13,15,9,3
1.727278989339699,13,14,10,3
1.7715657996930287,12,15,10,3
1.793150915554259,12,14,11,3
1.9547158186932487,12,13,12,3
1.9558993155664948,12,12,13,3
1.9784619644416153,12,11,14,3
2.0048341951548054,12,10,15,3
2.0578360030032696,11,11,15,3
2.362570678458829,11,10,16,3
2.488124907736356,11,9,17,3
2.714171607163298,11,8,18,3
2.836407679452725,11,7,19,3
3.288376748821726,11,6,20,3
3.484679795650875,11,5,21,3
3.7362488272965124,11,4,22,3
3.925795408402168,11,3,23,3
3.976980689548403,11,2,24,3
4.960997287824203,11,1,25,3
5.4142068426959975,11,0,26,3
0.0,36,1,0,4
0.2687836213023143,36,0,1,4
0.0,36,1,0,5
0.03208326769242575,35,2,0,5
0.05598605669357004,34,3,0,5
0.16831364660618472,33,4,0,5
0.2647004654203851,33,3,1,5
0.32466747743742275,33,2,2,5
0.7879486251600101,33,1,3,5
0.864157142626368,32,2,3,5
1.0811622366822808,32,1,4,5
1.2649858063731965,32,0,5,5
