time,infector,infectee,run_id
0.0,,D52,1
0.2883966721755015,D52,G6M,1
1.2264327766999827,G6M,D37,1
2.1825233377915967,D37,63M,1
2.3318586385811875,G6M,D34,1
3.3557119394266914,D34,D22M,1
3.417878772969725,G6M,D53,1
4.962759711304652,D34,7M,1
5.094872768722597,63M,B67,1
5.131216850862834,D22M,D31,1
5.8454561642688,D34,D6M,1
5.997131557876448,D22M,B35,1
6.2643556170646715,D31,D2M,1
6.641926622845122,63M,D41,1
6.749057682619858,D41,47M,1
7.408077919742451,G6M,D33,1
7.864510345273878,47M,B34,1
8.393156782460778,D41,G11M,1
10.092667347672323,G11M,D45,1
0.0,,47M,2
1.8312259519972607,47M,D33,2
1.8502496121004592,47M,B35,2
2.6350248859743273,D33,7M,2
4.288909963899383,47M,B67,2
5.1335372978980915,47M,D41,2
5.29626009034745,B35,G6M,2
5.518439241296676,47M,D34,2
5.938967424254077,D34,D2M,2
6.294553076181504,D41,D22M,2
6.709206174384636,7M,D37,2
7.299278475675668,D22M,B34,2
7.740680428996174,G6M,D31,2
8.366028097377027,D34,D6M,2
8.519066544359049,D31,G11M,2
9.459830614271546,D41,63M,2
10.117673445770707,G6M,D52,2
10.328668729422496,G6M,D53,2
12.495348875680264,D2M,D45,2
0.0,,D33,3
0.2641096183461871,D33,D2M,3
0.39810910468782446,D33,D6M,3
0.7497085570076611,D6M,B70,3
0.7530914297252488,D2M,D52,3
0.8586470728719403,D2M,B67,3
0.8977053902890486,D2M,D31,3
1.7065110431408814,D6M,D53,3
2.6724909818927896,D53,G6M,3
2.8399304573204573,D53,G11M,3
3.0973130127316635,D2M,D41,3
3.5032562622456647,B67,47M,3
3.6804162108936556,D31,7M,3
3.6900379167493855,D2M,D37,3
3.698442414236517,D2M,B34,3
4.293339432741701,G6M,B35,3
4.622880695444897,D53,43M,3
4.895717390518801,D52,63M,3
5.139953887354487,D33,D22M,3
9.205083482188947,G6M,D34,3
0.0,,D52,4
0.279879885525166,D52,63M,4
1.0886317894809003,D52,G11M,4
2.394545904599473,D52,D2M,4
3.189134114249754,63M,D31,4
3.8091000930957826,D2M,D34,4
4.3901147284516835,D52,G6M,4
4.628604337982801,G6M,B67,4
4.792477750305227,G11M,D33,4
5.1650922509441175,D2M,D37,4
5.439013855965329,D31,7M,4
5.72989179829057,G6M,D41,4
5.929937955878039,D33,D22M,4
6.058122511944971,G6M,B35,4
7.487250665768324,G11M,B34,4
8.959749629528677,B34,D6M,4
9.17801392866225,D6M,D53,4
11.200455899612058,B34,47M,4
0.0,,D53,5
4.1377401389019965,D53,G11M,5
4.18742453790227,G11M,D31,5
4.77574859025903,G11M,B35,5
4.834606995059882,G11M,D52,5
4.984026699542505,B35,G6M,5
5.440285934634208,B35,7M,5
5.652238717023656,D53,43M,5
5.718755369571148,D31,D22M,5
5.895476535989594,D53,D6M,5
6.191883659645264,D22M,D37,5
6.344248634379311,B35,D2M,5
6.3763219074700945,G6M,B67,5
6.940316773108048,G6M,D41,5
7.719781573014082,7M,D33,5
7.9334218026806225,7M,D34,5
8.721314802558112,D34,63M,5
10.277455013668828,B35,47M,5
11.128008189923609,G6M,B34,5
19.048848118317437,D2M,D45,5
