network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Name,Sex,Number litters conceived where female might have mated again with a sire of an earlier successful litter,Number litters sired by a male who sired an earlier successful litter
Network_359,24,33,0.18599905328636565,0.00799199636250455,23,35,509,0.8554621848739495,0.13372109408842245,oke,female, , 
Network_359,25,15,0.08847107947743497,0.00023594857354448145,15,35,509,0.8554621848739495,0.13372109408842245,ome,male, , 
Network_359,26,27,0.15954313923779953,0.0017318074483482773,23,35,509,0.8554621848739495,0.13372109408842245,par,female,2.0,0.0
Network_359,27,33,0.18667642961799136,0.007446858380817507,23,35,509,0.8554621848739495,0.13372109408842245,puc,female, , 
Network_359,20,31,0.17923386435012684,0.004095166425406062,23,35,509,0.8554621848739495,0.13372109408842245,mp,female,2.0,0.0
Network_359,21,30,0.1725421399808692,0.004558226997255864,23,35,509,0.8554621848739495,0.13372109408842245,mrph,female,2.0,0.0
Network_359,22,31,0.17897328592076722,0.0040590443720034865,23,35,509,0.8554621848739495,0.13372109408842245,nav,female,4.0,0.0
Network_359,23,23,0.13495641756952012,0.0016115585053041454,22,35,509,0.8554621848739495,0.13372109408842245,nod,male, , 
Network_359,28,23,0.1346523209379409,0.0012857079596436775,22,35,509,0.8554621848739495,0.13372109408842245,rub,male, , 
Network_359,29,22,0.13105256536856996,0.0006456768837610502,22,35,509,0.8554621848739495,0.13372109408842245,sco,male, , 
Network_359,1,31,0.17897328592076722,0.0040590443720034865,23,35,509,0.8554621848739495,0.13372109408842245,ali,female,1.0,0.0
Network_359,3,33,0.18806389806468932,0.006005543520436737,23,35,509,0.8554621848739495,0.13372109408842245,bail,female,2.0,0.0
Network_359,2,31,0.17897328592076722,0.0040590443720034865,23,35,509,0.8554621848739495,0.13372109408842245,amar,female,1.0,0.0
Network_359,4,22,0.13015376815915097,0.0006844732420179989,22,35,509,0.8554621848739495,0.13372109408842245,bern,female, , 
Network_359,7,30,0.1743415751852623,0.0034095404621518857,23,35,509,0.8554621848739495,0.13372109408842245,csn,female,1.0,0.0
Network_359,6,26,0.15184128368266578,0.002488627006882895,22,35,509,0.8554621848739495,0.13372109408842245,cr,female,1.0,0.0
Network_359,9,32,0.18175814335190824,0.006656268915868345,23,35,509,0.8554621848739495,0.13372109408842245,foz,male, , 
Network_359,8,34,0.1909466258195189,0.00872666375492595,23,35,509,0.8554621848739495,0.13372109408842245,cuj,male, , 
Network_359,11,33,0.1880638980646893,0.006005543520436737,23,35,509,0.8554621848739495,0.13372109408842245,gol,female,2.0,0.0
Network_359,10,31,0.17754323051866924,0.005346281362291752,23,35,509,0.8554621848739495,0.13372109408842245,ger,female,2.0,0.0
Network_359,13,31,0.1784231120959597,0.004579058205414449,23,35,509,0.8554621848739495,0.13372109408842245,hg,female,3.0,0.0
Network_359,12,33,0.1865591357480428,0.007573707847261839,23,35,509,0.8554621848739495,0.13372109408842245,hem,female, , 
Network_359,15,26,0.15348375430260422,0.0013343019841508565,22,35,509,0.8554621848739495,0.13372109408842245,jj,female,1.0,0.0
Network_359,14,34,0.19094662581951888,0.00872666375492595,23,35,509,0.8554621848739495,0.13372109408842245,hml,female, , 
Network_359,17,32,0.18093351527914409,0.007225056880243628,23,35,509,0.8554621848739495,0.13372109408842245,ldv,male, , 
Network_359,16,31,0.17625036913494188,0.006459841418017678,23,35,509,0.8554621848739495,0.13372109408842245,kip,female, , 
Network_359,33,34,0.19094662581951885,0.00872666375492595,23,35,509,0.8554621848739495,0.13372109408842245,whh,female, , 
Network_359,32,25,0.14403498844725082,0.0027231436229343702,22,35,509,0.8554621848739495,0.13372109408842245,ua,female,1.0,0.0
Network_359,31,30,0.17448815532228082,0.0033761869791722452,23,35,509,0.8554621848739495,0.13372109408842245,sx,female,1.0,0.0
Network_359,30,31,0.1794354980587556,0.003917929684852994,23,35,509,0.8554621848739495,0.13372109408842245,sein,female,1.0,0.0
Network_359,36,28,0.16526201351769398,0.00193472495073102,23,35,509,0.8554621848739495,0.13372109408842245,yet,male, , 
Network_359,35,25,0.14654487838234226,0.0015161637783347903,22,35,509,0.8554621848739495,0.13372109408842245,wr,female,1.0,0.0
Network_359,34,30,0.173476788870818,0.003892926545029555,23,35,509,0.8554621848739495,0.13372109408842245,who,female,1.0,0.0
Network_359,19,33,0.18667642961799136,0.007446858380817507,23,35,509,0.8554621848739495,0.13372109408842245,mali,female,1.0,0.0
Network_359,18,24,0.13994167376507913,0.0027614324850261775,22,35,509,0.8554621848739495,0.13372109408842245,linc,male, , 
