t,S,I,R,run_id
0.0,13,1,0,1
0.6290545326369962,12,2,0,1
0.9273859457271036,12,1,1,1
1.142729481682867,11,2,1,1
1.507177238602016,11,1,2,1
1.8538990731488088,11,0,3,1
0.0,13,1,0,2
0.5439806774241075,12,2,0,2
0.5765471068584698,12,1,1,2
1.169312533852921,11,2,1,2
1.1902236392958334,11,1,2,2
1.3501520592183383,10,2,2,2
1.417151553139496,9,3,2,2
1.4639984639783115,8,4,2,2
1.5326580701345842,7,5,2,2
1.653105154497353,6,6,2,2
1.666483894273696,5,7,2,2
1.7009618651095806,5,6,3,2
1.8453186648328572,5,5,4,2
1.9176523651591286,4,6,4,2
1.929741659798732,3,7,4,2
1.9606908658636422,3,6,5,2
2.0345330075931765,3,5,6,2
2.443562086491757,3,4,7,2
2.504747525766922,2,5,7,2
2.5646061726198806,2,4,8,2
3.204525072303003,2,3,9,2
3.471311438139557,2,2,10,2
3.7693151185689704,2,1,11,2
4.731369149323782,2,0,12,2
0.0,13,1,0,3
0.9944258487087958,13,0,1,3
0.0,13,1,0,4
0.12511484063213535,13,0,1,4
0.0,13,1,0,5
0.14314396813659366,13,0,1,5
