network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,David's Score,David's Score rank,Glicko rating,Glicko rank,I&SI rank
Network_729,ev,10,0.30154009607776444,0.014718614718614718,8,12,57,0.8636363636363636,,36.7,2.0,2669.0,2.0,2.0
Network_729,gm,9,0.27281629237277416,0.012878787878787877,8,12,57,0.8636363636363636,,39.0,1.0,2686.0,1.0,1.0
Network_729,ak,10,0.3015400960777646,0.014718614718614716,8,12,57,0.8636363636363636,,11.3,3.0,2326.0,3.0,3.3
Network_729,dw,11,0.32480103136814165,0.02261904761904762,8,12,57,0.8636363636363636,,-5.7,7.0,2112.0,5.5,7.0
Network_729,kz,9,0.2758318947760291,0.010173160173160173,8,12,57,0.8636363636363636,,-6.5,8.0,2112.0,5.5,9.7
Network_729,ip,11,0.3248010313681415,0.02261904761904762,8,12,57,0.8636363636363636,,-23.1,12.0,1895.0,12.0,11.0
Network_729,gx,11,0.32480103136814154,0.02261904761904762,8,12,57,0.8636363636363636,,3.6,4.0,2238.0,4.0,3.7
Network_729,iz,10,0.30125311442503694,0.014285714285714284,8,12,57,0.8636363636363636,,-4.4,5.0,2109.0,7.0,6.0
Network_729,ps,8,0.24684582357830315,0.007142857142857142,8,12,57,0.8636363636363636,,-18.6,11.0,1973.0,11.0,12.0
Network_729,mp,9,0.2758318947760291,0.010173160173160173,8,12,57,0.8636363636363636,,-13.5,10.0,2012.0,10.0,8.0
Network_729,oz,8,0.24989128247903764,0.004545454545454545,8,12,57,0.8636363636363636,,-13.5,9.0,2049.0,8.0,9.3
Network_729,gv,8,0.2468458235783032,0.007142857142857142,8,12,57,0.8636363636363636,,-5.2,6.0,2014.0,9.0,5.0
