network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_474,T4280,0,9.599278883574577e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3109,1,1.0053396598586148e-17,0.0,1,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3067,0,-1.5209627485560054e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2048,0,1.2911044374974841e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3063,0,-8.724035428899983e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3060,0,7.427099701048297e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3061,0,1.1203413226056435e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3101,0,-9.222757843194558e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2042,0,-1.0312078628594424e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2041,0,-7.456841706211625e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2047,0,1.786472376609738e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3104,0,7.970342814277186e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3107,0,9.222283486511491e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3069,0,-1.4587655840070585e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2565,0,4.3790333940274375e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2566,0,-1.7789841457199488e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T2569,0,-5.613428989891188e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4720,0,1.5247625733808642e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4721,0,3.7063046701747964e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3615,0,1.6038526053346074e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3614,0,-7.072353242275799e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4256,0,-7.471664535664934e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3616,0,1.5137833909786063e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4250,0,-1.3785823481329645e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4251,0,2.3916227812633386e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4252,0,1.3549532655801324e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4158,0,-1.1218797976585938e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4157,0,3.9814730886526315e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4155,0,4.3085736955651074e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4154,0,1.3506633852716066e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4153,0,1.0112932684412166e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4259,0,1.3886046687982384e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4151,0,4.3352255510161375e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4150,0,1.5204236995386444e-19,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3584,0,4.568263746970397e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3583,0,3.3002304620564854e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T3108,1,2.537731040495098e-18,0.0,1,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4614,0,4.890024313930942e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4615,0,2.2567923030941773e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4616,0,-1.2622132821126923e-17,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4617,0,4.303578536732825e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
Network_474,T4610,0,4.242928093249281e-18,0.0,0,749,12,4.283786581752497e-05,0.9027777777777777
