network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,weight,svl
Network_1020,BGS-0425,7,3.3773317524401757e-10,1.9583858080299845e-07,6,3157,14462,0.0029029982660697673,0.8582429566016013,F,45.0,39.0
Network_1020,BGS-1,1,-3.2323769699450066e-19,0.0,1,3157,14462,0.0029029982660697673,0.8582429566016013,,,
Network_1020,BGS-10,4,4.499270781510351e-05,0.0004293719038255043,3,3157,14462,0.0029029982660697673,0.8582429566016013,F,66.5,45.0
Network_1020,BGS-1000,21,1.684261642260161e-10,0.00039683690828218825,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,4.966666667,19.2
Network_1020,BGS-1001,19,2.129749447167062e-10,0.0003521719640516054,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,4.65,19.55
Network_1020,BGS-1002,9,2.033181371425335e-10,3.758998530506752e-06,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,5.7,20.5
Network_1020,BGS-1003,11,2.62027538251463e-10,0.00037547176981325323,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,7.4,21.05
Network_1020,BGS-1004,23,3.073545232052911e-10,0.0010033021316472699,10,3157,14462,0.0029029982660697673,0.8582429566016013,M,8.0,37.55
Network_1020,BGS-1005,8,1.9705014034357744e-10,1.9805519136338043e-07,8,3157,14462,0.0029029982660697673,0.8582429566016013,F,5.6,20.0
Network_1020,BGS-1006,9,8.35705403066375e-10,0.0004356225475212037,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.85,21.7
Network_1020,BGS-1007,12,2.1700321668973624e-08,0.014048860649001942,9,3157,14462,0.0029029982660697673,0.8582429566016013,M,10.2,24.46666667
Network_1020,BGS-1008,11,1.1804717037360387e-09,2.0402141534916967e-06,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,4.8,20.5
Network_1020,BGS-1009,17,5.484976538543929e-09,0.006050029823087917,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,26.375,30.325
Network_1020,BGS-1010,26,1.2626607732314065e-09,0.006513676057434489,10,3157,14462,0.0029029982660697673,0.8582429566016013,F,7.9,22.33333333
Network_1020,BGS-1011,14,1.184260357273817e-09,0.0023291066396704994,9,3157,14462,0.0029029982660697673,0.8582429566016013,M,8.05,22.5
Network_1020,BGS-1012,5,1.0131378597226836e-09,1.0478495427237218e-06,5,3157,14462,0.0029029982660697673,0.8582429566016013,F,5.7,21.0
Network_1020,BGS-1013,5,1.0131378587947621e-09,1.0478495427237218e-06,5,3157,14462,0.0029029982660697673,0.8582429566016013,M,5.7,40.5
Network_1020,BGS-1014,5,1.0131378610105873e-09,1.0478495427237218e-06,5,3157,14462,0.0029029982660697673,0.8582429566016013,M,5.0,19.3
Network_1020,BGS-1015,19,2.7158239081992797e-08,0.017237333295334004,8,3157,14462,0.0029029982660697673,0.8582429566016013,F,8.333333333,22.2
Network_1020,BGS-1016,14,6.989971858582674e-10,5.422580821755039e-05,9,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.4,22.175
Network_1020,BGS-1017,1,1.702409695774481e-07,0.0,1,3157,14462,0.0029029982660697673,0.8582429566016013,M,8.6,22.8
Network_1020,BGS-1018,9,-1.1162202720847839e-19,0.00031907688058582654,4,3157,14462,0.0029029982660697673,0.8582429566016013,M,28.25,37.075
Network_1020,BGS-1019,7,2.184554301416615e-18,7.566286390885725e-06,5,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.3,19.0
Network_1020,BGS-1021,6,1.3569751305739178e-11,0.005672073927964591,4,3157,14462,0.0029029982660697673,0.8582429566016013,M,21.75,31.2
Network_1020,BGS-1022,3,1.3114642340711974e-12,0.0,3,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.4,20.2
Network_1020,BGS-1023,14,5.7906582281560856e-11,0.00015685489340192048,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,5.8,20.1
Network_1020,BGS-1024,19,1.5065770982845981e-09,0.0010387589703060882,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,7.8,22.0
Network_1020,BGS-1025,9,3.9260954690916924e-11,0.0022557814728609666,4,3157,14462,0.0029029982660697673,0.8582429566016013,F,42.95,38.85
Network_1020,BGS-1026,10,3.355053901374296e-11,4.842796603521705e-06,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,4.5,19.0
Network_1020,BGS-1027,15,4.7399952518940686e-11,3.191488083131037e-05,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,9.1,21.65
Network_1020,BGS-1028,17,7.016124145888035e-11,0.0008603292399127046,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,6.5,20.675
Network_1020,BGS-1029,1,3.461085172583353e-15,0.0,1,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.6,21.0
Network_1020,BGS-1031,10,1.8503580981432684e-09,0.0006483190063973747,8,3157,14462,0.0029029982660697673,0.8582429566016013,F,8.45,22.7
Network_1020,BGS-1032,11,0.00041829503773694525,0.036431878333704926,5,3157,14462,0.0029029982660697673,0.8582429566016013,F,38.55,31.2
Network_1020,BGS-1033,5,1.4444950152559085e-05,0.0,5,3157,14462,0.0029029982660697673,0.8582429566016013,F,4.5,18.5
Network_1020,BGS-1034,1,5.054896874926524e-19,0.0,1,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.7,19.7
Network_1020,BGS-1035,5,1.4444950152558235e-05,0.0,5,3157,14462,0.0029029982660697673,0.8582429566016013,F,4.5,19.5
Network_1020,BGS-1036,1,2.5410387000027667e-18,0.0,1,3157,14462,0.0029029982660697673,0.8582429566016013,F,11.8,26.5
Network_1020,BGS-1038,8,1.3364536085837484e-05,0.0,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.1,19.3
Network_1020,BGS-1039,8,1.3364536085837418e-05,0.0,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,5.7,18.5
Network_1020,BGS-1040,5,2.0345479380667955e-06,0.0,5,3157,14462,0.0029029982660697673,0.8582429566016013,M,7.5,19.7
Network_1020,BGS-1041,16,2.09683597307566e-09,0.00022879191039395258,8,3157,14462,0.0029029982660697673,0.8582429566016013,F,5.65,18.8
Network_1020,BGS-1042,4,4.57423740328905e-12,0.0,4,3157,14462,0.0029029982660697673,0.8582429566016013,F,9.2,22.5
Network_1020,BGS-1043,2,1.5479823532216686e-18,0.0,2,3157,14462,0.0029029982660697673,0.8582429566016013,F,6.1,20.1
Network_1020,BGS-1044,2,-5.766242380931172e-19,2.008600828748702e-07,1,3157,14462,0.0029029982660697673,0.8582429566016013,F,10.0,23.3
Network_1020,BGS-1045,7,1.1964109512493179e-05,9.668225770589394e-05,6,3157,14462,0.0029029982660697673,0.8582429566016013,M,7.1,20.4
Network_1020,BGS-1046,0,1.9264381387468202e-19,0.0,0,3157,14462,0.0029029982660697673,0.8582429566016013,M,5.35,18.5
Network_1020,BGS-1047,8,2.6684843307895643e-08,0.0,8,3157,14462,0.0029029982660697673,0.8582429566016013,F,5.5,20.5
Network_1020,BGS-1048,8,2.668484330793037e-08,0.0,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,7.3,22.0
Network_1020,BGS-1049,12,4.187705596106937e-11,0.00011739637184189732,9,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.733333333,22.3
Network_1020,BGS-1055,3,6.238124404690179e-11,0.0,3,3157,14462,0.0029029982660697673,0.8582429566016013,M,8.7,22.9
Network_1020,BGS-1056,2,-1.9734625894754078e-18,0.0,2,3157,14462,0.0029029982660697673,0.8582429566016013,M,9.15,24.175
Network_1020,BGS-1058,24,2.733343908700972e-08,0.04021607468593133,8,3157,14462,0.0029029982660697673,0.8582429566016013,F,9.05,23.6
Network_1020,BGS-1060,21,8.339905262732632e-11,0.0015311182679165676,9,3157,14462,0.0029029982660697673,0.8582429566016013,M,10.68,24.175
Network_1020,BGS-1061,17,4.8290483136803876e-11,0.0004179961898637801,9,3157,14462,0.0029029982660697673,0.8582429566016013,F,6.7,21.5
Network_1020,BGS-1062,12,0.0003236714444405982,0.0069033551284066776,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,7.95,21.5
Network_1020,BGS-1063,9,1.3716647985323904e-05,2.119427610985368e-06,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,5.0,18.0
Network_1020,BGS-1065,2,9.174251639228595e-15,0.0,2,3157,14462,0.0029029982660697673,0.8582429566016013,F,28.0,36.5
Network_1020,BGS-1066,4,9.191498926456484e-15,0.0010326216860597078,2,3157,14462,0.0029029982660697673,0.8582429566016013,M,8.033333333,22.63333333
Network_1020,BGS-1067,4,0.00018041456164528006,0.0013624219759819365,3,3157,14462,0.0029029982660697673,0.8582429566016013,F,6.9,21.95
Network_1020,BGS-1068,12,1.3801930983056963e-05,0.0011391712173049325,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,11.45,29.3
Network_1020,BGS-1069,10,1.3776526118191957e-05,0.00010675039132803076,8,3157,14462,0.0029029982660697673,0.8582429566016013,,,
Network_1020,BGS-1070,10,1.3776526118192525e-05,0.00010675039132803076,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,7.0,20.6
Network_1020,BGS-1071,10,1.3776526118191864e-05,0.00010675039132803076,8,3157,14462,0.0029029982660697673,0.8582429566016013,M,6.0,19.6
Network_1020,BGS-1072,11,1.108875971525503e-09,0.000760238918607178,7,3157,14462,0.0029029982660697673,0.8582429566016013,F,10.2,25.05
Network_1020,BGS-1073,4,1.1564149403092757e-12,1.1988455484682804e-06,3,3157,14462,0.0029029982660697673,0.8582429566016013,M,8.1,21.7
