network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_215,Ant621,108,0.08533053132818434,0.0022331688727329924,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,621.0,207.894,204.0,0.0,F,F,F,F,2.90909,10.1818,0.363636,227.72727000000003,291.81818,676.36364,1.636
Network_215,Ant620,122,0.09328007002993678,0.00385141383829807,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,620.0,175.02599999999998,71.0,0.0,N,N,N,N,390.455,0.0,1.9090900000000002,994.36364,220.81817999999998,85.090909,29.18
Network_215,Ant673,104,0.08062532717872217,0.0027866021023515834,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,673.0,175.14,78.0,0.0,N,N,N,N,472.545,0.0,0.0,653.90909,173.54545,72.0,8.182
Network_215,Ant356,93,0.07031696818523639,0.0017926701881887056,69,164,8042,0.6016758940595541,0.3178634511611287,78.0,356.0,149.013,5.0,0.0,N,N,N, ,767.909,0.0,0.181818,936.72727,91.454545,23.454545,18.09
Network_215,Ant353,117,0.09135531550430886,0.003607932874937819,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,353.0,166.373,176.0,0.0,C,F,F, ,34.6364,0.0,1.81818,293.0,271.81818,323.36364,1.0
Network_215,Ant118,84,0.06357528242542282,0.0015875941038962526,70,164,8042,0.6016758940595541,0.3178634511611287,78.0,118.0,179.739,260.0,18.0,F,F,F,C,1.36364,14.3636,2.27273,137.54545,220.09091,616.0,0.0
Network_215,Ant540,123,0.09646432550316594,0.003641028969346099,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,540.0,168.6,246.0,0.0,C, , , ,114.818,2.18182,2.45455,635.72727,319.45455,292.0,5.909
Network_215,Ant227,131,0.10207551832984911,0.004363223361553021,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,227.0,177.192,64.0,0.0,N,C,F,F,50.5455,0.272727,2.18182,574.18182,299.81818,144.63636,7.636
Network_215,Ant113,120,0.09388393851300982,0.003460979505802059,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,113.0,160.59,120.0,0.0,C,F,F,F,68.7273,3.72727,77.6364,366.63636,329.54545,358.72727000000003,2.0
Network_215,Ant161,99,0.07735318374378482,0.0022254026581225426,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,161.0,208.09599999999998,14.0,0.0,N,N,N,N,121.0,0.636364,0.818182,1056.9091,237.09091,74.0,37.09
Network_215,Ant195,93,0.07474645779644895,0.0012183692879022736,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,195.0,164.59599999999998,183.0,0.0,C,F,F,C,3.36364,1.63636,3.18182,373.81818,355.90909,287.27272999999997,0.4545
Network_215,Ant196,123,0.0947316572257987,0.0048034884336726515,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,196.0,181.648,211.0,11.0,F,F,F,F,1.0,8.090910000000001,0.0,312.72727000000003,447.0,831.72727,0.3636
Network_215,Ant190,94,0.07352037389304171,0.0019005111973441052,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,190.0,149.482,5.0,0.0,N,N,N,N,410.63599999999997,0.0,0.0,647.09091,138.0,51.181818,8.0
Network_215,Ant198,90,0.0696522402494498,0.002459105650949901,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,198.0,160.112,183.0,26.0,F, , , ,7.090910000000001,21.4545,3.18182,131.36364,196.18182,520.18182,0.0
Network_215,Ant929,112,0.08665960866256543,0.0027497368677924347,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,929.0,171.71200000000002,40.0,0.0,N,N,N,N,247.545,0.0,0.0,802.18182,250.18182000000002,101.72726999999999,6.909
Network_215,Ant492,95,0.07565593257873594,0.0013635963844596166,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,492.0,165.02700000000002,141.0,49.0,F,F,F,F,16.2727,117.455,4.45455,157.09091,220.36364,574.81818,0.5455
Network_215,Ant326,74,0.05518549144602724,0.0012490371782440657,66,164,8042,0.6016758940595541,0.3178634511611287,78.0,326.0,158.64700000000002,99.0,57.0,F,F,F, ,0.0,0.0909091,0.181818,52.0,105.81818,394.54545,0.09091
Network_215,Ant324,49,0.04031569046207917,0.00024583640230934717,49,164,8042,0.6016758940595541,0.3178634511611287,78.0,324.0,140.05700000000002,64.0,0.0,C,F, , ,95.0909,0.0,0.0,255.45455,116.63636000000001,54.090908999999996,0.1818
Network_215,Ant260,109,0.08260779659210732,0.003869363041562757,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,260.0,165.19400000000002,190.0,74.0,F,F,F,F,0.0909091,15.2727,1.18182,114.45455,189.63636,748.63636,0.09091
Network_215,Ant650,116,0.09017593412607344,0.01547008247079487,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,650.0,163.918,85.0,0.0,C,F,F,F,44.0909,2.54545,0.0,499.18182,298.90909,339.81818,2.545
Network_215,Ant552,116,0.09297434994775707,0.0024796380653484065,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,552.0,158.079,78.0,2.0,C, , , ,14.1818,14.8182,73.1818,301.45455,376.18182,385.36364,3.364
Network_215,Ant120,81,0.05999495192201906,0.0011249395625783428,69,164,8042,0.6016758940595541,0.3178634511611287,78.0,120.0,182.483,14.0,0.0,N,N,N,N,308.27299999999997,0.0,0.727273,901.72727,89.636364,37.727273,58.82
Network_215,Ant250,81,0.06057834824517176,0.0016195360013175387,69,164,8042,0.6016758940595541,0.3178634511611287,78.0,250.0,181.604,57.0,0.0,N,N, , ,674.273,0.0,0.272727,895.27273,97.363636,33.181818,27.09
Network_215,Ant124,128,0.0994949525894332,0.004433395690626155,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,124.0,141.905,99.0,0.0,C,F,C,F,15.3636,44.3636,60.8182,574.18182,343.63636,239.45455,9.363999999999999
Network_215,Ant261,112,0.08536712493620405,0.0033700529994306603,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,261.0,172.2,40.0,0.0,N,N,N,N,279.72700000000003,0.0,0.0909091,895.8181800000001,127.63636000000001,35.545455,29.55
Network_215,Ant126,69,0.053155188368407665,0.0008927550423207998,66,164,8042,0.6016758940595541,0.3178634511611287,78.0,126.0,130.115,40.0,0.0,N,N,C,F,344.545,0.0,0.181818,616.54545,143.81818,41.454545,5.455
Network_215,Ant127,99,0.07721088997655126,0.001972647255664842,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,127.0,142.44299999999998,14.0,0.0,N,C, , ,341.727,0.727273,0.0,702.81818,270.0,157.27273,2.545
Network_215,Ant24,90,0.07237281490233394,0.0012799204818601474,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,24.0,177.37,211.0,0.0,C,F,F,C,13.3636,0.818182,0.909091,179.45455,228.63636,238.90909,1.545
Network_215,Ant252,129,0.10004569947230425,0.004325971229270209,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,252.0,227.37,5.0,0.0,N,N, , ,846.6360000000001,0.0,0.363636,1130.1818,267.63636,83.727273,11.55
Network_215,Ant26,103,0.08054982512010486,0.0019183744402636758,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,26.0,192.315,78.0,0.0,N,N,N,N,266.63599999999997,1.63636,3.8181800000000004,954.72727,169.45455,59.81818199999999,26.09
Network_215,Ant27,96,0.0745456899039243,0.0019164925837827321,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,27.0,169.49900000000002,64.0,0.0,N,N,N,N,699.818,0.0909091,0.545455,1009.5455,171.63636,54.272727,30.91
Network_215,Ant20,102,0.0812767915083757,0.0020209323349595887,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,20.0,159.201,57.0,0.0,C,F,F,F,301.36400000000003,1.18182,2.09091,539.36364,288.18182,176.27273,10.64
Network_215,Ant23,94,0.0716244668923965,0.002158254898603808,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,23.0,151.053,155.0,224.0,F,F,F,F,2.45455,12.0909,0.181818,186.45455,217.36364,735.18182,0.7273
Network_215,Ant29,121,0.09584187523145438,0.002987399704963816,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,29.0,187.003,99.0,0.0,C,N,N,N,8.45455,0.636364,1.54545,611.90909,411.0,321.27272999999997,1.909
Network_215,Ant482,126,0.09572351084585497,0.006198280017789144,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,482.0,196.657,183.0,0.0,C,C, , ,106.63600000000001,15.6364,0.545455,488.63635999999997,218.0,286.27272999999997,5.364
Network_215,Ant264,118,0.09265131805251112,0.0032288657753625767,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,264.0,163.808,92.0,0.0,N,N,N, ,32.5455,0.636364,0.545455,589.54545,263.27272999999997,158.18182,10.55
Network_215,Ant838,69,0.052013202343579756,0.0005450590256771814,63,164,8042,0.6016758940595541,0.3178634511611287,78.0,838.0,128.6,50.0,0.0,N,N,N,C,499.18199999999996,0.181818,2.36364,510.36364000000003,82.454545,29.363636,12.45
Network_215,Ant257,83,0.06288653779957026,0.0015193874790330832,70,164,8042,0.6016758940595541,0.3178634511611287,78.0,257.0,141.028,92.0,32.0,F,F,F, ,1.81818,6.72727,0.272727,79.454545,158.72727,446.54545,0.0
Network_215,Ant137,120,0.09191879841619056,0.0041486537028215245,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,137.0,214.555,40.0,0.0,N,N,N,F,21.0,0.0,0.0909091,631.54545,257.18182,177.27273,8.818
Network_215,Ant159,123,0.09552719833376483,0.004939357566306067,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,159.0,175.285,162.0,1.0,C,C,F,F,123.273,0.454545,0.363636,742.63636,394.27272999999997,276.36364,4.909
Network_215,Ant135,100,0.07807996739481943,0.002420651536423439,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,135.0,145.344,113.0,10.0,F,F,F,F,8.45455,6.27273,9.45455,240.63636,349.45455,450.18182,2.0909999999999997
Network_215,Ant332,110,0.08660416593636937,0.00276837137026129,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,332.0,203.38400000000001,204.0,1.0,F,F,F,C,14.1818,4.72727,0.545455,312.36364,364.27272999999997,521.09091,3.091
Network_215,Ant334,96,0.07545180422372916,0.0021430239958007517,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,334.0,149.003,64.0,0.0,C,F, , ,38.9091,11.1818,23.5455,374.45455,330.36364,242.36364,3.545
Network_215,Ant131,112,0.08506287961760656,0.0038091526223905645,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,131.0,176.695,113.0,0.0,N,N,N,N,293.27299999999997,3.27273,6.27273,929.45455,234.90909,112.72726999999999,26.55
Network_215,Ant647,79,0.059585342894459756,0.001230805059110375,70,164,8042,0.6016758940595541,0.3178634511611287,78.0,647.0,153.942,113.0,35.0,F,F,F,C,0.0,11.3636,2.18182,97.727273,180.18182,499.18182,0.0
Network_215,Ant646,93,0.07089117178114739,0.0022427608481084024,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,646.0,177.291,169.0,34.0,F,F, , ,4.72727,39.9091,5.45455,119.81818,160.90909,519.54545,1.091
Network_215,Ant139,143,0.10865525669352856,0.006472208782904165,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,139.0,134.952,14.0,0.0,N, , , ,587.455,0.545455,0.0,1120.0,370.45455,157.90909,17.27
Network_215,Ant560,109,0.08542640320727807,0.0023900380665561197,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,560.0,151.222,92.0,0.0,F,F, , ,1.72727,1.45455,0.636364,166.63636,214.72727000000003,378.81818,0.2727
Network_215,Ant564,81,0.06286889492728188,0.0013188179130407844,69,164,8042,0.6016758940595541,0.3178634511611287,78.0,564.0,166.412,99.0,0.0,N, , , ,81.0,0.0,0.363636,710.72727,159.36364,56.545455000000004,11.45
Network_215,Ant242,111,0.08414027503325126,0.003246835284492726,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,242.0,183.69799999999998,14.0,0.0,N,N,N, ,774.727,1.0,0.0909091,862.8181800000001,102.27273000000001,31.545455,15.36
Network_215,Ant245,64,0.04604424892275924,0.000661556611217438,60,164,8042,0.6016758940595541,0.3178634511611287,78.0,245.0,140.688,14.0,0.0,N,N, , ,470.18199999999996,0.0,0.0,825.18182,45.181818,17.0,25.82
Network_215,Ant51,78,0.05741662129791398,0.0008924074235775546,68,164,8042,0.6016758940595541,0.3178634511611287,78.0,51.0,155.92600000000002,50.0,0.0,N,N,N,C,549.909,1.0,2.45455,1049.0909,102.36364,39.363636,50.64
Network_215,Ant52,96,0.07431715158056927,0.0018039425776311775,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,52.0,187.97099999999998,169.0,0.0,N,N,N,N,384.909,0.727273,0.0,724.0,172.27273,72.090909,63.0
Network_215,Ant55,99,0.0771714911933951,0.002712036215857554,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,55.0,200.532,211.0,24.0,F,F,F,F,3.72727,42.9091,2.27273,128.27273,176.45455,588.63636,0.8182
Network_215,Ant54,99,0.07477814227856423,0.002210649626130101,71,164,8042,0.6016758940595541,0.3178634511611287,78.0,54.0,153.47,57.0,0.0,N,N,N,N,246.636,0.0,1.18182,943.90909,139.45455,53.81818199999999,18.09
Network_215,Ant57,89,0.06748153238138056,0.0013259934840449488,69,164,8042,0.6016758940595541,0.3178634511611287,78.0,57.0,174.734,120.0,0.0,N,N,N,N,155.81799999999998,0.454545,2.90909,829.81818,182.72727,77.454545,15.91
Network_215,Ant140,88,0.06643230968614808,0.0014851098989960832,69,164,8042,0.6016758940595541,0.3178634511611287,78.0,140.0,151.486,71.0,0.0,N,N,N,N,454.63599999999997,0.0,0.0,807.0,87.181818,26.545455,25.18
