network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Group,T,M,N,P,SCI,SCIw,ave_agg,male_age,ave_ramting,std_T,std_M,std_N,std_P,std_SCI,std_SCIw,std_ave_agg,std_male_age,std_ave_remating
Network_715,4M,10,0.33434304112386154,0.3421010213270274,4,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,2.0,10.0,2.5,0.08,2.3026315790000003,2.54081398,4.0,5.0,1.4,0.7692307690000001,2.040816327,0.799543118,0.48922895899999996,0.407469918,0.24939719800000001,-0.13817208,1.037116076,-8.598632103
Network_715,108F,3,0.13338143766026067,0.01130424099464347,3,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,C11M,5,0.21450863635527895,0.03560541163261199,4,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,5.0,5.0,3.6,0.27777777800000003,5.0,7.296538821,8.777777777999999,1.0,1.2,1.9230769230000002,1.020408163,1.15134209,1.698711665,0.884791821,0.541548201,0.633438239,-0.9383431170000001,-8.818186917
Network_715,8007M,5,0.21734988929490162,0.03621739294008202,4,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,4.0,7.0,4.0,0.14285714300000002,4.788273616000001,5.1088941839999995,1.333333333,5.0,2.285714286,0.869565217,1.029411765,1.204764295,0.840933527,0.8134926570000001,0.542013978,-0.8004287840000001,0.693380372,-7.18726214
Network_715,B25M,8,0.31984752948798967,0.1376979560073324,4,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,4.0,8.0,2.875,0.17391304300000002,4.341085271,3.069666498,1.222222222,1.0,3.5,1.5384615380000002,1.6326530609999999,0.919474586,1.063541216,0.7681913490000001,0.470181384,-0.586782731,-0.9383431170000001,-6.293306556
Network_715,25F,3,0.14053014289342436,0.006235827664399093,3,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,B17M,7,0.3051913700285279,0.07188540876621372,4,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,9.0,7.0,3.142857143,0.409090909,5.212765957,4.593457713,1.5555555559999998,1.0,2.4285714290000002,3.461538462,1.428571429,1.00513992,2.501738997,0.922442537,0.564592805,-0.532949453,-0.9383431170000001,-7.4694930589999995
Network_715,55M,4,0.18222797024224235,0.024287519776241585,3,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,3.0,6.0,4.833333333,0.10344827599999999,6.237623762,9.172039651,0.222222222,6.0,1.333333333,0.6521739129999999,0.882352941,1.455756857,0.608951864,1.0597266440000002,0.706074786,-0.9057483609999999,1.1012511790000001,-8.232539686
Network_715,30F,1,0.05820290303576966,0.0,1,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,46F,6,0.26458692222528896,0.06761282290694057,4,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,67M,4,0.16378495592652725,0.03372789859410825,3,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,4.0,4.0,4.0,0.25,4.137931034,3.39869281,2.777777778,5.0,3.0,1.5384615380000002,0.816326531,1.279268989,1.528840498,0.732241507,0.448177822,-0.33556076700000004,1.037116076,-6.842193591
Network_715,52F,2,0.08419141776933596,0.0027739984882842023,2,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,58F,1,0.05820290303576944,0.0,1,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,60F,5,0.24218908127042565,0.0374006210671403,4,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,62F,1,0.0582029030357696,0.0,1,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,A27F,5,0.23130227680777707,0.042922895735810374,4,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,B31M,3,0.15197004940668812,0.0070374816593304,3,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,1.0,3.0,3.0,0.111111111,6.7741935479999995,6.7699115039999995,2.0,1.0,2.333333333,0.384615385,0.6122448979999999,0.959451742,0.6794846659999999,1.198750209,0.7337104659999999,-0.46117174899999996,-0.9383431170000001,-7.574042971
Network_715,B33F,5,0.2328644229420299,0.04426059312613935,4,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,B34F,7,0.2824704732876029,0.10109840165567721,4,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,9M,2,0.11170462637367658,0.0019160997732426306,2,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,0.0,0.0, , , , ,0.111111111,6.0, ,0.0,0.0, , , , ,-0.65762637,1.081442886, 
Network_715,B55F,10,0.3592099677451595,0.27686678883715593,4,22,49,0.21212121212121213,0.15126007550249976,FEMALE,,,,,,,,,,,,,,,,,,,
Network_715,C14M,1,0.06253177231347914,0.0,1,22,49,0.21212121212121213,0.15126007550249976,MALE,17.0,1.0,1.0,3.0,0.333333333,10.0,30.0,0.0,1.0,1.0,0.384615385,0.204081633,0.959451742,2.038453998,1.769583642,1.083096402,-0.784171418,-0.9383431170000001,-9.037741731
