network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_738,bnn	,9,0.16586913753079766,0.011873874128776088,8,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nrg	,9,0.18208996825344145,0.00409557762498939,8,19,113,0.6608187134502924,-0.04320610242524822
Network_738,bnr	,13,0.24332970742586119,0.023449245017872468,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nbn	,6,0.12039229121285402,0.0005941770647653001,6,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nng	,11,0.19817602383957142,0.01938479095341841,8,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nnr	,13,0.24848248875809217,0.01739359043280612,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,gnb	,13,0.24696280312097962,0.019268077601410933,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,gnn	,14,0.25988014864794934,0.029702958624527258,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nbb	,17,0.30070127926207846,0.04931080176178216,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,ngb	,14,0.2623416497435315,0.023815418423261563,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,ngg	,12,0.23281036071613992,0.013943355119825711,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,ngn	,10,0.19875030770733113,0.006806156806156807,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,ngr	,14,0.26961524037142154,0.015339435437474654,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nnb	,7,0.1317972432164887,0.0049592564298446655,7,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nrn	,13,0.2461195257037795,0.01975615161889672,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nrr	,17,0.29501208703640897,0.06830890605400411,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,rnr	,11,0.21057303662434174,0.011137754765205744,9,19,113,0.6608187134502924,-0.04320610242524822
Network_738,gnr	,7,0.12734793439304518,0.004858104858104858,7,19,113,0.6608187134502924,-0.04320610242524822
Network_738,nbr	,16,0.29138690395714345,0.035087334597138524,9,19,113,0.6608187134502924,-0.04320610242524822
