t,S,I,R,run_id
0.0,10,1,0,1
0.3450951082398134,9,2,0,1
0.3533824453012286,8,3,0,1
0.3895173857102645,7,4,0,1
0.39782640336067654,6,5,0,1
0.5260721127345545,5,6,0,1
0.5719154218452571,4,7,0,1
0.7504269025668007,3,8,0,1
0.8020597622617929,2,9,0,1
0.9298239161515811,1,10,0,1
0.9413046351636327,0,11,0,1
2.91332039322819,0,10,1,1
3.4262958177764666,0,9,2,1
4.542032928920685,0,8,3,1
7.420689181092209,0,7,4,1
7.437209825996401,0,6,5,1
17.48188563808851,0,5,6,1
18.05984229968167,0,4,7,1
18.568334715084834,0,3,8,1
19.4863352365298,0,2,9,1
20.490600439837824,0,1,10,1
23.194881440680117,0,0,11,1
0.0,10,1,0,2
0.35174161329106923,9,2,0,2
0.5170914166044706,8,3,0,2
0.5223468288475996,7,4,0,2
0.5804176565062958,6,5,0,2
0.5868861363851456,5,6,0,2
0.615802946963505,4,7,0,2
0.6881733093284738,3,8,0,2
0.7162402401094735,2,9,0,2
0.8138182358418713,2,8,1,2
0.8308268613359001,1,9,1,2
0.8371601070064217,1,8,2,2
0.8441394898813179,1,7,3,2
0.9236536639934227,0,8,3,2
1.8066923532792367,0,7,4,2
3.3322228348520566,0,6,5,2
3.785825967837597,0,5,6,2
5.212323872854315,0,4,7,2
16.411904664496674,0,3,8,2
21.780072040788774,0,2,9,2
25.01444050167272,0,1,10,2
25.02841001714769,0,0,11,2
0.0,10,1,0,3
0.09110834062113111,9,2,0,3
0.3454953719112208,8,3,0,3
0.41219316987682364,7,4,0,3
0.49211354660449824,6,5,0,3
0.8985288846879012,5,6,0,3
0.9234465330538625,4,7,0,3
0.9438857411439258,3,8,0,3
0.9589944596413318,2,9,0,3
1.0750838987032216,1,10,0,3
1.093793673332574,0,11,0,3
1.9970996115381032,0,10,1,3
6.630757107106832,0,9,2,3
7.55567181152996,0,8,3,3
7.889478484940657,0,7,4,3
8.264173363509288,0,6,5,3
10.208140339152592,0,5,6,3
14.839760364048724,0,4,7,3
18.779363468869025,0,3,8,3
18.902348460973947,0,2,9,3
30.851665481614024,0,1,10,3
33.80265512628777,0,0,11,3
0.0,10,1,0,4
0.10512717819123195,9,2,0,4
0.36993709615204046,8,3,0,4
0.6572093142057585,7,4,0,4
0.7096261809091512,6,5,0,4
0.7276401711282309,5,6,0,4
0.7578093431478544,4,7,0,4
0.8985638946739546,3,8,0,4
0.9397369941256156,2,9,0,4
1.0413195639976667,1,10,0,4
1.1909118291377432,0,11,0,4
1.8552028142491337,0,10,1,4
2.580170505898573,0,9,2,4
4.1192301850380515,0,8,3,4
5.016592243721313,0,7,4,4
6.0972131374564755,0,6,5,4
6.215545815444501,0,5,6,4
7.0280047066411795,0,4,7,4
7.712366585641931,0,3,8,4
10.061051194017454,0,2,9,4
11.728846693034027,0,1,10,4
15.09523685456047,0,0,11,4
0.0,10,1,0,5
0.31761202551145173,9,2,0,5
0.4462553771559969,8,3,0,5
0.4546596359343281,7,4,0,5
0.4967271266000453,6,5,0,5
0.50727144341069,5,6,0,5
0.534984585430914,4,7,0,5
0.5457188089517214,3,8,0,5
0.6243743224805909,2,9,0,5
0.7308036462513463,1,10,0,5
0.7374258436117027,0,11,0,5
2.8512577806451582,0,10,1,5
6.708102380722694,0,9,2,5
7.487406664112321,0,8,3,5
8.060198296541802,0,7,4,5
8.706475823112044,0,6,5,5
10.216341672885463,0,5,6,5
11.136651019242793,0,4,7,5
11.73759292656232,0,3,8,5
14.3791140967556,0,2,9,5
21.983186730286803,0,1,10,5
52.005088775946916,0,0,11,5
