network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Infected_Ever,Number_Days_with_RFID_Data,Average_Adjusted_Group_Size,Eigenvector_Centrality,Feeders_Visited_per_Day,Feeding_Bouts_per_Day,Instances_of_Aggression_per_Day,Number_of_Captures,Num_Unique_Indivs_w_which_Interacted_Aggressively,Relative_Dominance,Sex,Time_on_Feeders_per_Day_in_Minutes,Weighted_Degree
Network_438,2551-79129,25,0.1348588092606136,0.003953039569300592,17,117,1027,0.15134099616858238,0.5891424805616717,N,64,0.08638478,0.243610678,0.015625,31.625,4.828125,1,0.265625,-0.016361417,F,6.8403645829999995,0.8132739
Network_438,2551-79128,26,0.13084704374892842,0.010157239805306766,17,117,1027,0.15134099616858238,0.5891424805616717,N,14,0.064660617,0.010433868,0.28571428600000004,8.428571429,0.642857143,2,0.35714285700000004,0.098652172,M,1.292857143,0.10853848199999999
Network_438,2581-25015,13,0.07679349766261859,0.000693727332447917,12,117,1027,0.15134099616858238,0.5891424805616717,N,6,0.068643496,0.007458411999999999,0.333333333,25.0,2.0,1,0.833333333,0.220210132,M,12.65694445,0.079219761
Network_438,2581-25017,26,0.1250860382172235,0.007744372706063295,16,117,1027,0.15134099616858238,0.5891424805616717,N,21,0.09731005,0.013966612,0.19047619,7.714285714,2.4761904759999998,1,0.80952381,0.025474105,M,3.501587302,0.251261427
Network_438,2581-25013,39,0.18134535008601715,0.015004697969550536,17,117,1027,0.15134099616858238,0.5891424805616717,N,123,0.093390525,0.308391924,0.024390244,23.99186992,3.032520325,2,0.203252033,-0.026991165,M,4.981233062,1.0244134059999999
Network_438,2551-79154,7,0.04256526092720395,5.9970014992503744e-06,7,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.060701872000000004,0.001641602,0.2,15.2,0.2,1,0.2,0.116695655,M,3.475,0.031621637
Network_438,2551-79155,5,0.004957734054357259,0.0,5,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.075128323,4.36e-05,0.2,1.0,0.0,1,0.0,-0.083304345,M,0.18333333300000001,0.017878826
Network_438,2551-79123,19,0.02399738624385856,0.0027965219362441835,15,117,1027,0.15134099616858238,0.5891424805616717,N,16,0.07838449,0.002717243,0.0625,10.875,3.25,1,0.875,0.178543465,F,3.316666667,0.752171057
Network_438,2551-79152,13,0.012868247284563955,0.0005903867874367957,12,117,1027,0.15134099616858238,0.5891424805616717,N,10,0.075822789,0.00038155400000000004,0.1,5.6,1.6,1,0.5,-0.001195659,M,1.766666667,0.197120148
Network_438,2581-25021,6,0.004271488948029662,0.0006095688426904685,5,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.073364265,7.55e-05,0.4,2.6,0.2,1,0.2,0.116695655,M,0.9883333329999999,0.160713847
Network_438,2581-25022,0,-5.937557428928876e-19,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.08119658099999999,0.0,0.5,2.0,0.0,1,0.0,-0.083304345,M,1.8083333330000002,0.0
Network_438,2551-79151,6,0.007963141996431755,0.00010058548833478521,6,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.091587855,0.000214633,0.5,1.0,0.0,1,0.0,-0.083304345,M,0.6166666670000001,0.06326586599999999
Network_438,2581-25024,11,0.06218917679252576,4.006261626987243e-05,11,117,1027,0.15134099616858238,0.5891424805616717,N,7,0.0835578,0.008431919,0.14285714300000002,16.14285714,1.142857143,1,0.428571429,-0.251720508,F,7.88452381,0.096715693
Network_438,2581-25026,15,0.08110247907845707,0.0005636910034606154,13,117,1027,0.15134099616858238,0.5891424805616717,N,8,0.080914923,0.009595412,0.25,7.75,2.0,3,0.75,-0.12803263,M,3.475,0.080965123
Network_438,2581-25027,2,0.002643792824416091,0.0,2,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.045256486,2.78e-05,0.4,3.8,0.4,1,0.4,-0.373826097,M,0.956666667,0.014271256000000001
Network_438,2281-94430,29,0.13149828902741664,0.005108221921342523,16,117,1027,0.15134099616858238,0.5891424805616717,N,63,0.049275837999999995,0.009017256999999999,0.047619048,17.3015873,0.7777777779999999,1,0.23809523800000001,-0.137938582,M,4.185714285,0.34480025700000005
Network_438,2581-25029,12,0.07502135043548858,0.0,12,117,1027,0.15134099616858238,0.5891424805616717,N,3,0.09221968,0.008315972,0.333333333,15.66666667,4.0,1,2.0,0.28162314899999996,F,5.175,0.046117307999999996
Network_438,2281-94436,13,0.02955432450300749,0.008800499754327588,9,117,1027,0.15134099616858238,0.5891424805616717,N,135,0.07000796,0.001200128,0.014814815,18.4,2.718518519,2,0.074074074,-0.043537840999999994,M,11.14487654,0.5579249079999999
Network_438,2281-94437,15,0.04704299334649544,0.011885593778245338,10,117,1027,0.15134099616858238,0.5891424805616717,N,133,0.070241074,0.001360249,0.015037594,20.07518797,2.4285714290000002,2,0.067669173,-0.08733998,M,8.76867168,0.50713896
