network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_46,Ant621,118,0.11023536312755176,0.0037707131789303716,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,621.0,255.63299999999998,190.0,0.0,C,C,C,N,1.36364,0.818182,0.454545,538.81818,346.09091,153.63636,11.36
Network_46,Ant665,68,0.0648691379410062,0.0008123617721189936,64,131,5960,0.6999412800939518,0.2641602438043945,,,,,,,,,,,,,,,,
Network_46,Ant356,85,0.08177456275885435,0.001262135608800461,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,356.0,183.199,40.0,0.0,N,N,N,N,51.0,0.363636,0.909091,601.09091,67.272727,18.818182,26.45
Network_46,Ant540,18,0.012536421183906368,5.523459997615566e-05,18,131,5960,0.6999412800939518,0.2641602438043945,18.0,540.0,180.41299999999998,176.0,1.0,C,F, , ,75.6364,43.9091,8.81818,714.90909,537.36364,289.81818,17.91
Network_46,Ant227,106,0.09890585566747241,0.003164352808804175,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,227.0,162.78799999999998,78.0,0.0,C,C,C,C,17.9091,70.3636,0.545455,387.54545,219.72727000000003,125.63636000000001,1.545
Network_46,Ant114,99,0.09492646733789728,0.0019732068305574977,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,114.0,144.81,57.0,0.0,N,N,C, ,560.182,0.0909091,88.8182,400.36364,74.727273,15.818182,3.455
Network_46,Ant112,113,0.10607743594872397,0.0032723070779519066,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,112.0,139.517,50.0,0.0,N,C,F, ,160.273,0.181818,0.454545,361.90909,165.27273,67.636364,0.7273
Network_46,Ant195,99,0.09319115428943923,0.0023914414506416054,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,195.0,223.081,176.0,0.0,C,C,C,C,3.27273,136.0,0.272727,291.27272999999997,375.09091,267.81818,0.6364
Network_46,Ant191,127,0.11542999246557942,0.007108178023119735,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,191.0,150.987,64.0,0.0,C, , , ,119.09100000000001,44.8182,17.6364,857.09091,439.0,232.27272999999997,10.36
Network_46,Ant518,90,0.08432907547315717,0.0023802029611405266,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,518.0,167.69299999999998,85.0,0.0,C,C,C, ,16.7273,2.63636,1.36364,248.72727000000003,212.90909,139.63636,0.4545
Network_46,Ant492,91,0.08732818938572547,0.0016161868939605381,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,492.0,196.987,197.0,0.0,N,N,N,N,1.54545,0.0909091,0.909091,541.63636,95.818182,19.545455,28.73
Network_46,Ant324,105,0.09720640913901403,0.003922162540832169,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,324.0,129.634,50.0,0.0,N,N,C,C,474.727,0.363636,0.545455,324.45455,108.18182,56.81818199999999,2.545
Network_46,Ant329,108,0.09973399434924202,0.003892776299662674,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,329.0,154.30200000000002,113.0,36.0,F, , , ,1.18182,51.6364,0.0,277.72727000000003,406.27272999999997,321.63636,0.3636
Network_46,Ant650,108,0.10212059921392629,0.002864528883410953,70,131,5960,0.6999412800939518,0.2641602438043945,,,,,,,,,,,,,,,,
Network_46,Ant556,88,0.08408606532846165,0.001498102625901857,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,556.0,154.616,64.0,0.0,N,N,N,N,65.2727,0.363636,2.0,436.63635999999997,58.454544999999996,17.909091,7.727
Network_46,Ant552,90,0.0861888731478036,0.001564020865953689,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,552.0,166.111,40.0,0.0,N,N,N,N,178.18200000000002,0.727273,4.63636,807.72727,104.90908999999999,21.0,71.45
Network_46,Ant252,94,0.0901597122051877,0.0017342130181843736,70,131,5960,0.6999412800939518,0.2641602438043945,18.0,252.0,168.71599999999998,40.0,0.0,N, , , ,50.9091,0.0,1.9090900000000002,456.09090999999995,158.18182,46.818182,1.545
