network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Group,T,M,N,P,SCI,SCIw,ave_agg,male_age,ave_ramting,std_T,std_M,std_N,std_P,std_SCI,std_SCIw,std_ave_agg,std_male_age,std_ave_remating
Network_705,C3,12,0.3690020858645733,0.3155145797010262,5,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,0.0,9.0,1.222222222,0.0,4.733876018,3.02262926,20.22222222,1.0,3.666666667,0.0,1.451612903,0.941752026,0.0,0.862188359,0.758877987,2.2997261940000002,-0.90015575,-2.790913873
Network_705,66F,1,0.059009550637034794,0.0,1,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,B18,10,0.34289523959396223,0.15159410872861165,5,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,10.0,10.0,2.9,0.344827586,5.753424657999999,4.172982391000001,8.888888889,1.0,4.9,3.333333333,1.5384615380000002,1.051785948,2.11733146,1.0161853509999998,0.642970664,0.124909959,-0.9383431170000001,-2.2507905669999997
Network_705,B35,2,0.11384418377090862,0.0015135878912968697,2,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,B67,3,0.15626844359611225,0.006395236457155962,3,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,J5,7,0.265289943708466,0.05644357808100497,5,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,4.0,7.0,4.428571429,0.129032258,5.0,5.225313309,6.666666667,1.0,2.142857143,0.754716981,1.4,0.902940016,0.623475976,1.04465361,0.65958106,-0.241376368,-0.9295803359999999,-4.771739995
Network_705,C16,6,0.2515465249074211,0.12714354457732507,5,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,E3,1,0.04022645932831475,0.0,1,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,0.0,1.0,5.0,0.0,6.0,22.0,13.22222222,4.0,1.0,0.0,0.2,1.019448406,0.0,1.253584332,0.7914972709999999,0.330559604,0.710855551,-5.7746281360000005
Network_705,H39,7,0.2727134221602569,0.051241065627030534,5,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,0.0,7.0,5.0,0.0,5.316455696,9.756927155,0.444444444,1.0,1.285714286,0.0,1.4,1.019448406,0.0,1.1107709270000001,0.701326696,-0.78423085,-0.9295803359999999,-5.523906101000001
Network_705,G2,8,0.2828587707889482,0.09206053091502009,5,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,8.0,8.0,3.5,0.28571428600000004,6.4,6.969457881,14.22222222,1.0,2.5,1.7777777780000001,1.126760563,1.018358157,1.727725076,1.044867632,0.769942035,0.213265695,-0.921229125,-5.536564091
Network_705,E23,2,0.10424335715845823,0.0023608403725362786,2,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,E25,6,0.2654813599447446,0.05306947050325103,5,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,B15,3,0.12736461136372318,0.0029239766081871343,3,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,0.0,3.0,4.666666667,0.0,6.0,7.361797752999999,2.888888889,3.0,1.333333333,0.0,0.6,0.9514851790000001,0.0,1.253584332,0.7914972709999999,-0.570966589,0.16404358900000002,-5.482119095
Network_705,E32,4,0.20268938738419265,0.012805539069728956,4,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,E33,5,0.2451136472093963,0.02188038668258827,5,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,67M,2,0.06049755335576515,0.0027367802221603395,2,20,50,0.2631578947368421,-0.021494536940686815,MALE,7.0,8.0,2.0,6.0,0.666666667,4.444444444,4.0,5.555555556,7.0,2.0,1.509433962,0.4,1.2233380870000001,3.221292542,0.9285809859999999,0.586294275,-0.338314668,2.351291438,-4.897101013
Network_705,E39,4,0.16875255196804545,0.05041880299878234,3,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,E46,6,0.2654813599447444,0.05306947050325103,5,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,E48,5,0.20955440236368644,0.06856604810165182,4,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
Network_705,J34,6,0.2654813599447444,0.05306947050325103,5,20,50,0.2631578947368421,-0.021494536940686815,FEMALE,,,,,,,,,,,,,,,,,,,
