network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Mass,MeanWing,MeanTS,Sex,StressCort,Color,MicrobialDiv
Network_319,Tag5,8,0.3009913957275015,0.03919642857142856,5,17,53,0.3897058823529412,0.1619963842975206,16.5,116.67,97.0,M,111.55,4.585903574,28.74805
Network_319,Tag6,10,0.3428090602023848,0.07317460317460318,5,17,53,0.3897058823529412,0.1619963842975206,17.0,115.0,85.75,M,14.1,-1.027763733,39.781455
Network_319,Tag2,8,0.26553146818926515,0.09496031746031745,5,17,53,0.3897058823529412,0.1619963842975206,16.5,118.67,89.5,M,85.78,2.5807243730000002,36.481182000000004
Network_319,Tag8,3,0.13494997925738766,0.0,3,17,53,0.3897058823529412,0.1619963842975206,17.0,117.83,88.5,M,28.26,-0.014606764,40.485937
Network_319,Tag9,9,0.2909431874569299,0.13609126984126985,5,17,53,0.3897058823529412,0.1619963842975206,17.5,118.0,94.5,M,27.24,0.238277971,37.57168
Network_319,Tag55,5,0.21739196858215137,0.0035714285714285713,5,17,53,0.3897058823529412,0.1619963842975206,22.5,118.33,87.0,F,32.15,-2.305266946,36.548481
Network_319,Tag23,3,0.12964592477692138,0.0011904761904761904,3,17,53,0.3897058823529412,0.1619963842975206,17.5,121.67,84.85,F,15.75,-2.642731593,34.079158
Network_319,Tag17,4,0.17987261812353697,0.0011904761904761904,4,17,53,0.3897058823529412,0.1619963842975206,16.0,121.17,83.5,M,26.82,-1.671400136,36.717665999999994
Network_319,Tag15,4,0.11822858660708165,0.1261904761904762,3,17,53,0.3897058823529412,0.1619963842975206,16.6,116.5,92.5,M,73.55,3.240081969,34.292013
Network_319,Tag12,9,0.3033333048569878,0.1030753968253968,5,17,53,0.3897058823529412,0.1619963842975206,18.0,119.83,90.05,M,37.78,0.596452222,37.49883
Network_319,Tag10,1,0.015960832138071056,0.0,1,17,53,0.3897058823529412,0.1619963842975206,18.5,118.0,76.35,F,30.74,0.14187216,34.109413
Network_319,Tag11,4,0.14560840130170405,0.0016666666666666668,4,17,53,0.3897058823529412,0.1619963842975206,20.5,118.83,82.5,F,26.78,-1.7374647619999999,36.117672
Network_319,Tag52,4,0.17987261812353697,0.0011904761904761904,4,17,53,0.3897058823529412,0.1619963842975206,18.25,118.17,80.6,F, ,0.10152707,39.064318
Network_319,Tag53,7,0.26405160304918557,0.02156746031746032,5,17,53,0.3897058823529412,0.1619963842975206,19.75,115.0,75.5,F,47.38,-2.006672356,39.23853
Network_319,Tag51,10,0.3466384917080731,0.07267857142857141,5,17,53,0.3897058823529412,0.1619963842975206,16.25,120.0, ,M,56.11,0.5569764, 
Network_319,Tag18,6,0.22025448323281097,0.019841269841269837,5,17,53,0.3897058823529412,0.1619963842975206,17.0,115.0,92.25,M,38.19,3.246824282,40.926320000000004
Network_319,Tag19,11,0.3520012829342285,0.12941468253968255,5,17,53,0.3897058823529412,0.1619963842975206,17.0,114.17,81.5,F,49.36,-3.8827337330000002,36.426678
