t,S,I,R,run_id
0.0,16,1,0,1
0.11065974845895238,15,2,0,1
0.18243948407076843,14,3,0,1
0.30567979745163854,13,4,0,1
0.3985465636299203,12,5,0,1
0.4459823638073906,11,6,0,1
0.4475554511271828,10,7,0,1
0.48951680577101764,9,8,0,1
0.6324817327720995,8,9,0,1
0.8211504788823636,8,8,1,1
0.9564094790560094,7,9,1,1
1.1966445359245985,7,8,2,1
1.2265377689188959,6,9,2,1
1.3575474769033173,5,10,2,1
1.3834370441563264,4,11,2,1
1.9565193712280005,3,12,2,1
2.207455285930843,2,13,2,1
2.384010164578438,1,14,2,1
2.5789728882440284,1,13,3,1
2.580035754677636,1,12,4,1
2.5945890728111585,1,11,5,1
3.23101780340017,1,10,6,1
3.3821332178415413,0,11,6,1
3.651805665069249,0,10,7,1
3.7104830508678948,0,9,8,1
4.155942921963229,0,8,9,1
4.225259352891867,0,7,10,1
4.317996450169317,0,6,11,1
6.8834913364607395,0,5,12,1
9.377616276194974,0,4,13,1
11.721309297656944,0,3,14,1
12.626227659323062,0,2,15,1
16.932860299027595,0,1,16,1
19.228603972403327,0,0,17,1
0.0,16,1,0,2
0.8083630297648473,15,2,0,2
0.830980914511384,14,3,0,2
0.8424392280672385,13,4,0,2
1.037288969114312,12,5,0,2
1.0909766751632541,11,6,0,2
1.1748219107720346,10,7,0,2
1.176915029352731,9,8,0,2
1.1779047087592462,8,9,0,2
1.2636701578809215,7,10,0,2
1.2825445307370869,7,9,1,2
1.321067691997394,6,10,1,2
1.4436951274744614,5,11,1,2
1.9475284315256687,4,12,1,2
2.514355294659718,3,13,1,2
2.6359516888560535,2,14,1,2
2.65711677580126,1,15,1,2
3.0607350508378577,0,16,1,2
3.1452340752125854,0,15,2,2
3.6140463954830304,0,14,3,2
3.759616664976435,0,13,4,2
4.2670901478631205,0,12,5,2
7.270602092005129,0,11,6,2
8.14523140618478,0,10,7,2
8.53221110126487,0,9,8,2
11.220768091054572,0,8,9,2
16.09232869724925,0,7,10,2
16.172975280442508,0,6,11,2
18.066634728005365,0,5,12,2
21.7298792510514,0,4,13,2
22.982191115138843,0,3,14,2
24.04207102806554,0,2,15,2
25.685143719465007,0,1,16,2
31.059575627653352,0,0,17,2
0.0,16,1,0,3
0.4380732993226243,15,2,0,3
0.5238015088485047,14,3,0,3
0.5312036136860455,13,4,0,3
0.6433212078691924,12,5,0,3
0.6961915835816129,11,6,0,3
0.7375692294325449,10,7,0,3
0.7932293704515238,9,8,0,3
0.7987567245334894,8,9,0,3
0.8154822307309166,7,10,0,3
1.0754349356529458,6,11,0,3
1.1068869347975683,5,12,0,3
1.288484032206181,4,13,0,3
1.4183111991711157,3,14,0,3
1.6051536010812844,2,15,0,3
1.7089534546183676,2,14,1,3
1.999503360763095,1,15,1,3
2.290087130312128,0,16,1,3
3.30880379445491,0,15,2,3
3.3401846229375525,0,14,3,3
5.657525028825042,0,13,4,3
5.705585138169231,0,12,5,3
8.642658079913318,0,11,6,3
10.309946284516922,0,10,7,3
11.116574687750578,0,9,8,3
12.547514056202644,0,8,9,3
14.308256652932632,0,7,10,3
15.004923402277681,0,6,11,3
15.343974984910993,0,5,12,3
18.949853101078745,0,4,13,3
19.391083621612783,0,3,14,3
24.743790685138443,0,2,15,3
26.962740750223237,0,1,16,3
32.366525360237304,0,0,17,3
0.0,16,1,0,4
0.1356445489808376,15,2,0,4
0.2755098746385748,14,3,0,4
0.3406333020487826,13,4,0,4
0.36317102902084697,12,5,0,4
0.3961714630330726,11,6,0,4
0.5045292002365946,10,7,0,4
0.674628384586142,9,8,0,4
0.768892287611795,8,9,0,4
0.7701650048617975,7,10,0,4
0.8980906833906616,6,11,0,4
0.9071484559360954,5,12,0,4
1.0635257036120995,4,13,0,4
1.094821383067942,3,14,0,4
1.2141134307681505,3,13,1,4
1.3329087178986683,2,14,1,4
2.2366897431554795,1,15,1,4
2.7171952301743785,1,14,2,4
2.7476621968869512,1,13,3,4
4.762597638044598,1,12,4,4
7.549532460183206,1,11,5,4
13.035698095222621,1,10,6,4
14.182206787153468,1,9,7,4
14.475769551352142,1,8,8,4
14.915426682205771,1,7,9,4
15.317051823873538,1,6,10,4
15.460306665809416,1,5,11,4
15.60280408340434,1,4,12,4
29.586672167283375,1,3,13,4
32.258053946449955,1,2,14,4
38.131300223637574,1,1,15,4
62.0937099730592,1,0,16,4
0.0,16,1,0,5
0.4453321055615155,15,2,0,5
0.5074713480869437,15,1,1,5
0.5214902845705137,14,2,1,5
0.6299884729800166,13,3,1,5
0.6774196015309039,12,4,1,5
0.8046689335478237,11,5,1,5
0.8751343180028606,10,6,1,5
0.9370652209920777,9,7,1,5
0.9572814413008207,8,8,1,5
1.0009295074577351,7,9,1,5
1.6373100674596541,6,10,1,5
1.6568321806474238,5,11,1,5
1.7067280789239068,4,12,1,5
1.7548117689740723,3,13,1,5
1.916654111270336,2,14,1,5
1.9856447991303783,1,15,1,5
2.584192878410019,1,14,2,5
2.9145618333047163,0,15,2,5
2.976309615080062,0,14,3,5
3.803241745387253,0,13,4,5
4.478298265402333,0,12,5,5
4.840653669945427,0,11,6,5
6.490401655948049,0,10,7,5
7.412055763495253,0,9,8,5
7.9556505182281905,0,8,9,5
8.009316070478974,0,7,10,5
8.18029395525799,0,6,11,5
9.209634171759044,0,5,12,5
10.75183222595484,0,4,13,5
11.366919608277263,0,3,14,5
13.72244431543821,0,2,15,5
24.917705373847312,0,1,16,5
26.919834650966003,0,0,17,5
