t,S,I,R,run_id
0.0,49,1,0,1
0.7152412570834413,48,2,0,1
1.2358638120479521,47,3,0,1
1.267335690892899,46,4,0,1
1.7193068690296929,46,3,1,1
2.5623111858729635,46,2,2,1
2.9353656494444054,45,3,2,1
3.4792574657934825,45,2,3,1
3.726257931525114,45,1,4,1
3.883440015300527,44,2,4,1
4.577915065169607,44,1,5,1
7.004053728517231,44,0,6,1
0.0,49,1,0,2
0.7063532685742185,49,0,1,2
0.0,49,1,0,3
0.8942970430496849,48,2,0,3
1.3590862314038406,48,1,1,3
1.5277698480999495,48,0,2,3
0.0,49,1,0,4
0.5311395061139054,49,0,1,4
0.0,49,1,0,5
0.2949100895207442,48,2,0,5
1.1727416692343149,47,3,0,5
1.208047792348757,47,2,1,5
1.8705537688117142,47,1,2,5
2.1581188748677924,47,0,3,5
