network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_737,bbb	,14,0.22278516588171698,0.04086485152274625,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,bgr	,14,0.22364446017298115,0.03263752329541803,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,gpn	,5,0.08137614621198795,0.003120300751879699,5,21,131,0.6238095238095238,0.11029411764705888
Network_737,grb	,12,0.20781554361331414,0.017541829515513724,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,grg	,13,0.23589960090422218,0.00942798429640535,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,grr	,14,0.24154654342021883,0.022980615875352713,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,rnb	,12,0.20185222758704224,0.024108625292835816,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,rng	,15,0.25532609714821164,0.023590473853631742,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,bgn	,8,0.15195028025888985,0.0027573303889093363,8,21,131,0.6238095238095238,0.11029411764705888
Network_737,bng	,13,0.22283048629244914,0.014895440816493445,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,gbb	,15,0.2504316667682364,0.03016727424622161,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,ggg	,16,0.26151260682363187,0.04373471557682084,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,nrb	,15,0.2584217651623042,0.01874540664014348,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,oon	,17,0.283094125960455,0.03421964000911369,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,brr	,12,0.20726047914048293,0.013469527548474917,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,rbr	,9,0.14729536009148333,0.015501632870053924,8,21,131,0.6238095238095238,0.11029411764705888
Network_737,rgn	,8,0.12963153858867454,0.0063871800713905975,8,21,131,0.6238095238095238,0.11029411764705888
Network_737,rrr	,11,0.20612828904759178,0.005710546763178342,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,brn	,13,0.21882751879229656,0.0193278651173388,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,nbg	,17,0.2845672225643346,0.03173412844465476,10,21,131,0.6238095238095238,0.11029411764705888
Network_737,ryn	,9,0.16440852393719216,0.00486658078763342,9,21,131,0.6238095238095238,0.11029411764705888
