network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,TubPeriod,strength,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
Network_330,28.0,4,0.05425687907989234,0.0,4,30,161,0.3701149425287356,0.1680140117411561,T1_1,0.863281105,0.555276431,1,T,F,T1,7.247999999999999,16
Network_330,6.0,8,0.13214581593987526,5.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.639478037,0.533346471,1,T,M,T1,7.138,24
Network_330,8.0,13,0.21405952982455362,49.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.923259825,0.499136319,1,T,M,T1,7.0329999999999995,44
Network_330,11.0,12,0.1895789989488351,5.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.4053648830000003,0.42713727700000004,1,T,M,T1,7.296,32
Network_330,10.0,15,0.2383123517665652,33.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,3.203808608,0.36492784,1,T,M,T1,6.874,38
Network_330,13.0,11,0.16474424563462492,33.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.5469336190000003,0.360676664,1,T,M,T1,6.019,24
Network_330,15.0,17,0.2788188890252862,29.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,3.485719057,0.38585324200000004,1,T,M,T1,6.6129999999999995,40
Network_330,2.0,18,0.26479516453194707,13.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,3.359527108,0.312487772,1,T,M,T1,6.968,37
Network_330,1.0,9,0.16125871317150306,1.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.687755492,0.510178661,1,T,M,T1,6.55,23
Network_330,29.0,8,0.12641768426657812,12.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.743310069,0.445759866,1,T,F,T1,6.422000000000001,21
Network_330,4.0,3,0.0634254622472353,0.0,3,30,161,0.3701149425287356,0.1680140117411561,T1_1,0.45282975799999997,0.321582486,1,T,M,T1,6.337999999999999,36
Network_330,30.0,15,0.2213280347453865,21.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.927561372,0.33871557700000005,1,T,F,T1,7.462999999999999,27
Network_330,27.0,10,0.17968930284838056,31.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.390127589,0.5470620420000001,1,T,F,T1,7.058,43
Network_330,26.0,10,0.15519538963314966,21.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.170446417,0.43557879999999993,1,T,F,T1,6.642,29
Network_330,5.0,8,0.11530435408604767,1.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.546449741,0.444655046,1,T,M,T1,6.563,29
Network_330,9.0,16,0.2434248151744151,52.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,3.4521447939999996,0.383047764,1,T,M,T1,6.471,41
Network_330,24.0,12,0.198831957732632,21.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.7613124360000003,0.442976996,1,T,F,T1,7.385,38
Network_330,25.0,9,0.1570679640335171,3.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.941504704,0.49027689700000004,1,T,F,T1,6.921,29
Network_330,7.0,12,0.18012670045553447,32.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.73810094,0.241029395,1,T,M,T1,6.606,44
Network_330,22.0,13,0.21004201702620126,21.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.70446017,0.400249459,1,T,F,T1,6.468999999999999,23
Network_330,21.0,8,0.13544334470596325,16.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.714191363,0.30361908,1,T,F,T1,6.254,28
Network_330,23.0,7,0.12235711186741186,20.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.7771178730000001,0.479320326,1,T,F,T1,6.906000000000001,30
Network_330,3.0,10,0.1487266460245343,12.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.123608539,0.248091168,1,T,M,T1,7.48,46
Network_330,20.0,17,0.26820627802378927,34.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,3.3436322119999997,0.385733774,1,T,F,T1,6.665,31
Network_330,12.0,10,0.1620187615019714,0.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.193862621,0.46605636899999997,1,T,M,T1,6.636,45
Network_330,19.0,10,0.17528275217833578,0.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.712155207,0.529962412,1,T,F,T1,5.48,23
Network_330,18.0,11,0.19800200220319306,4.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.172942248,0.507182099,1,T,F,T1,7.056,35
Network_330,14.0,5,0.09970687486324764,0.0,5,30,161,0.3701149425287356,0.1680140117411561,T1_1,0.9580534279999999,0.907802132,1,T,M,T1,7.393,32
Network_330,16.0,8,0.14138789201068527,6.0,7,30,161,0.3701149425287356,0.1680140117411561,T1_1,1.580884265,0.349264271,1,T,F,T1,6.975,28
Network_330,17.0,13,0.2188007120823862,11.0,8,30,161,0.3701149425287356,0.1680140117411561,T1_1,2.613599374,0.41088093700000006,1,T,F,T1,6.311,33
