t,S,I,R,run_id
0.0,15,1,0,1
0.8663522457371972,14,2,0,1
0.9014382006042954,13,3,0,1
1.1789454792945064,12,4,0,1
1.2407062074389872,12,3,1,1
2.0177920884092533,11,4,1,1
2.127363907407228,10,5,1,1
2.1487450145165257,9,6,1,1
2.2044365422581684,9,5,2,1
2.4907321154273827,8,6,2,1
2.767519779874488,7,7,2,1
2.8127058480516514,7,6,3,1
3.0334958288062697,6,7,3,1
3.1926741442420936,6,6,4,1
3.371975889736498,5,7,4,1
3.7013118967336274,5,6,5,1
4.068712938087088,4,7,5,1
4.1321427459274656,3,8,5,1
4.214935116518951,3,7,6,1
4.227162851412563,2,8,6,1
4.511166242724316,2,7,7,1
4.515723175535913,1,8,7,1
4.62618357220836,1,7,8,1
4.85750925821481,1,6,9,1
5.146832707545125,1,5,10,1
5.731537962520768,1,4,11,1
5.9459587158944345,1,3,12,1
6.235345999808511,1,2,13,1
6.5693973587492565,1,1,14,1
13.954024326873487,1,0,15,1
0.0,15,1,0,2
0.3276898847286852,14,2,0,2
0.4064653634840242,13,3,0,2
0.475597558595589,12,4,0,2
0.5583695856789326,11,5,0,2
0.6802467770304983,10,6,0,2
0.839711610096581,10,5,1,2
0.8414482660830953,9,6,1,2
1.0966882006758913,8,7,1,2
1.1467543316549547,8,6,2,2
1.2152628984885911,7,7,2,2
1.3928090784143712,6,8,2,2
1.551930001466812,6,7,3,2
1.5945854729289273,6,6,4,2
2.143792145990724,5,7,4,2
2.2551661315140437,4,8,4,2
2.303354413378243,3,9,4,2
2.3639936224051086,3,8,5,2
2.7511381018095142,3,7,6,2
2.9911029512493363,3,6,7,2
3.3313787119708156,3,5,8,2
3.7316081658364926,3,4,9,2
4.541964271246592,3,3,10,2
4.768695868288909,3,2,11,2
4.862351964840885,3,1,12,2
6.326858090002575,3,0,13,2
0.0,15,1,0,3
0.6659864678701851,15,0,1,3
0.0,15,1,0,4
0.03868635471940377,15,0,1,4
0.0,15,1,0,5
1.3792233489584653,15,0,1,5
