t,S,I,R,run_id
0.0,16,1,0,1
0.7083927666509475,16,0,1,1
0.0,16,1,0,2
0.5394357687010833,15,2,0,2
0.6109173608151749,14,3,0,2
0.697999233648563,13,4,0,2
0.7384934288502338,12,5,0,2
0.8681136019340311,11,6,0,2
0.8739117848050071,10,7,0,2
0.9343996522197279,10,6,1,2
0.9380808099591024,9,7,1,2
1.043699308746844,9,6,2,2
1.0505496091108852,8,7,2,2
1.0725059804525303,8,6,3,2
1.1626152861070924,7,7,3,2
1.198646069514003,6,8,3,2
1.7614038027707695,6,7,4,2
2.339998684548319,6,6,5,2
2.6100647243656305,5,7,5,2
2.709116021242867,5,6,6,2
2.8662308309620825,5,5,7,2
3.261598129592507,5,4,8,2
4.972727144759198,5,3,9,2
5.945354131111619,5,2,10,2
7.160936124999268,5,1,11,2
7.253795439460634,5,0,12,2
0.0,16,1,0,3
0.15453141045517194,15,2,0,3
0.2128165270152133,15,1,1,3
0.6110417534935779,14,2,1,3
0.8051776493044226,14,1,2,3
1.1440107457586364,14,0,3,3
0.0,16,1,0,4
0.07956824581619888,16,0,1,4
0.0,16,1,0,5
0.6898492095500551,15,2,0,5
0.9196569934396123,14,3,0,5
0.9197116593606725,13,4,0,5
0.9893894338324796,13,3,1,5
1.0332711544142408,12,4,1,5
1.5780395858547223,11,5,1,5
1.8917037428781907,11,4,2,5
2.2681046826787994,10,5,2,5
2.3114489161928256,9,6,2,5
2.3550290761580785,8,7,2,5
2.3775766729738157,7,8,2,5
2.5069340046861774,6,9,2,5
2.555995256180415,5,10,2,5
2.5698406034021546,5,9,3,5
2.7431876938151167,5,8,4,5
2.8745931192725456,4,9,4,5
2.9608029031708503,3,10,4,5
2.964539867955024,3,9,5,5
3.1817140278915015,3,8,6,5
3.2097345676649507,3,7,7,5
3.2748792005740106,3,6,8,5
3.3445484718704233,3,5,9,5
3.5992019058216944,3,4,10,5
3.806911625416574,3,3,11,5
4.409828748788723,3,2,12,5
4.455855835867063,3,1,13,5
7.909905055695157,3,0,14,5
