network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Birth Year,Sex,Rank (Nov 2006-Jun 2007),Rank (Jul 2007-Jun 2008),Rank (Nov 2008-Jun 2009)
Network_362,Pr,27,0.1889822365046136,0.0,27,28,378,1.0,0.0,2002.0,female,6.0,4.0,7.0
Network_362,Tt,27,0.1889822365046136,0.0,27,28,378,1.0,0.0,2006.0,female, , ,17.0
Network_362,Li,27,0.18898223650461352,0.0,27,28,378,1.0,0.0,2003.0,female,4.0,7.0,6.0
Network_362,Ti,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,2001.0,male,3.0, , 
Network_362,Ro,27,0.18898223650461357,0.0,27,28,378,1.0,0.0,1995.0,male,1.0,1.0,1.0
Network_362,Nt,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,1996.0,female,8.0,14.0,13.0
Network_362,"Ta
",27,0.18898223650461363,0.0,27,28,378,1.0,0.0,,,,,
Network_362,We,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,1988.0,female,14.0,20.0, 
Network_362,Yo,27,0.18898223650461354,0.0,27,28,378,1.0,0.0,2004.0,female,15.0,23.0,21.0
Network_362,Bo,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,2002.0,male,9.0,15.0, 
Network_362,Fa,27,0.1889822365046137,0.0,27,28,378,1.0,0.0,2005.0,female,7.0,11.0,12.0
Network_362,Ha,27,0.18898223650461354,0.0,27,28,378,1.0,0.0,2004.0,male,16.0,13.0, 
Network_362,Dr,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,2004.0,male,18.0,18.0,19.0
Network_362,Ki,27,0.1889822365046136,0.0,27,28,378,1.0,0.0,2006.0,male, , ,16.0
Network_362,Me,27,0.18898223650461357,0.0,27,28,378,1.0,0.0,2002.0,male,12.0,10.0,10.0
Network_362,Ka,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,2001.0,male,13.0,17.0,15.0
Network_362,Ok,27,0.18898223650461354,0.0,27,28,378,1.0,0.0,2005.0,male, ,9.0,5.0
Network_362,Mo,27,0.18898223650461354,0.0,27,28,378,1.0,0.0,1996.0,female,2.0,2.0,2.0
Network_362,Kw,27,0.18898223650461357,0.0,27,28,378,1.0,0.0,2005.0,male, ,8.0,3.0
Network_362,Sa,27,0.18898223650461357,0.0,27,28,378,1.0,0.0,2001.0,female,5.0,5.0,9.0
Network_362,Zi,27,0.18898223650461365,0.0,27,28,378,1.0,0.0,2003.0,male,19.0,21.0, 
Network_362,Em,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,1996.0,female,17.0,22.0,20.0
Network_362,Ch,27,0.18898223650461354,0.0,27,28,378,1.0,0.0,2005.0,male, ,24.0, 
Network_362,Ve,27,0.18898223650461354,0.0,27,28,378,1.0,0.0,2004.0,female,10.0,3.0,8.0
Network_362,Ja,27,0.1889822365046136,0.0,27,28,378,1.0,0.0,2003.0,male,11.0,6.0,4.0
Network_362,Vz,27,0.1889822365046136,0.0,27,28,378,1.0,0.0,2006.0,male, , ,18.0
Network_362,Ep,27,0.18898223650461365,0.0,27,28,378,1.0,0.0,1988.0,female, ,12.0,11.0
Network_362,Gi,27,0.18898223650461363,0.0,27,28,378,1.0,0.0,2005.0,female, ,16.0,14.0
