t,S,I,R,run_id
0.0,34,1,0,1
0.5536741692291929,34,0,1,1
0.0,34,1,0,2
0.03441595639275034,33,2,0,2
0.03891145159100282,32,3,0,2
0.07465691771078725,31,4,0,2
0.09907905186361107,30,5,0,2
0.10522519274195946,29,6,0,2
0.10556749529256243,28,7,0,2
0.12384199315450459,27,8,0,2
0.14527719167236858,26,9,0,2
0.15189434029265944,25,10,0,2
0.1523129262098789,24,11,0,2
0.15285984572497988,23,12,0,2
0.15469139228334366,22,13,0,2
0.1620808246277345,21,14,0,2
0.16325006061406233,20,15,0,2
0.16538765096995098,19,16,0,2
0.1700147033905704,19,15,1,2
0.17381611323066726,18,16,1,2
0.17704479053467367,17,17,1,2
0.1773066096490569,16,18,1,2
0.17957477454392312,15,19,1,2
0.18281677059514947,14,20,1,2
0.18321702591345454,13,21,1,2
0.19470775741298058,12,22,1,2
0.19727321284912866,11,23,1,2
0.21460758236957836,10,24,1,2
0.21546653530507742,9,25,1,2
0.21605027360508813,8,26,1,2
0.22692924220494431,8,25,2,2
0.22841403277018615,7,26,2,2
0.23207047733218203,6,27,2,2
0.23526599124290565,5,28,2,2
0.2429993730485306,4,29,2,2
0.24862866754505364,4,28,3,2
0.278966014082348,3,29,3,2
0.2833439848127058,2,30,3,2
0.2876697314246525,1,31,3,2
0.3276079177837166,1,30,4,2
0.3676436290125407,1,29,5,2
0.3683574282689228,1,28,6,2
0.48875092599538483,1,27,7,2
0.5610487276620845,1,26,8,2
0.5803731159016644,1,25,9,2
0.5862805733743824,1,24,10,2
0.6586398053104732,1,23,11,2
0.7919998573187669,1,22,12,2
0.8632366196980844,1,21,13,2
0.8894063081755199,1,20,14,2
0.8918900864899606,1,19,15,2
0.9250747916403779,1,18,16,2
0.9504128229099387,1,17,17,2
0.9603041397341227,1,16,18,2
0.9681989998022196,1,15,19,2
1.0611712109700344,1,14,20,2
1.1149596693541477,1,13,21,2
1.1848593619755634,1,12,22,2
1.5324578040066303,1,11,23,2
1.6470659894720843,1,10,24,2
1.7125192246057626,1,9,25,2
1.9157987600309028,1,8,26,2
2.0123222665877893,0,9,26,2
2.0438066077026886,0,8,27,2
2.0925921851169433,0,7,28,2
2.187025639632036,0,6,29,2
2.246596160319966,0,5,30,2
2.3813909341234063,0,4,31,2
2.662849345384248,0,3,32,2
3.488931526116003,0,2,33,2
3.652490982849006,0,1,34,2
6.636365585879897,0,0,35,2
0.0,34,1,0,3
0.027993775862276728,33,2,0,3
0.04202599148736054,32,3,0,3
0.11064200390671515,31,4,0,3
0.113901475764423,30,5,0,3
0.11988757828796748,29,6,0,3
0.14472680814318226,28,7,0,3
0.14979417705251527,27,8,0,3
0.15880253835889957,26,9,0,3
0.15978483243755945,25,10,0,3
0.16039144270552627,24,11,0,3
0.16840897213337075,23,12,0,3
0.17575575732229284,22,13,0,3
0.19114626778111354,21,14,0,3
0.19168025390777016,20,15,0,3
0.1945563545517761,19,16,0,3
0.19491036161722675,18,17,0,3
0.19982169383083329,17,18,0,3
0.19983972415045598,16,19,0,3
0.2018749199547333,15,20,0,3
0.21547921919485608,14,21,0,3
0.22287199998368265,13,22,0,3
0.23025842441341002,13,21,1,3
0.23891484447797845,12,22,1,3
0.24128740426470519,11,23,1,3
0.24199958584845233,10,24,1,3
0.2475964374242652,9,25,1,3
0.24975144765391935,8,26,1,3
0.2507717678949114,7,27,1,3
0.30648079750808144,6,28,1,3
0.3101377605609,5,29,1,3
0.3187627057633742,4,30,1,3
0.32262533034576435,3,31,1,3
0.3242901304369555,2,32,1,3
0.32467785347245065,2,31,2,3
0.32706825600606376,2,30,3,3
0.3361441795461331,1,31,3,3
0.3658027007935596,1,30,4,3
0.37714602943158987,1,29,5,3
0.42810286824479493,1,28,6,3
0.46512838490898206,1,27,7,3
0.46813950268552235,1,26,8,3
0.4959131886945094,1,25,9,3
0.5376194267578702,1,24,10,3
0.6731594287154682,1,23,11,3
0.7305493584022302,1,22,12,3
0.7889223154341846,1,21,13,3
0.8380016979310783,1,20,14,3
0.8761424204597412,1,19,15,3
1.0351405999346799,1,18,16,3
1.0476255082410781,1,17,17,3
1.0652583082518865,1,16,18,3
1.1124271675961155,1,15,19,3
1.1311232362660812,1,14,20,3
1.1749726204476083,1,13,21,3
1.1780865787218537,1,12,22,3
1.3071477984195774,0,13,22,3
1.3670909192381162,0,12,23,3
1.4117440840942723,0,11,24,3
1.4671868606120402,0,10,25,3
1.6059127615063962,0,9,26,3
1.7534453639121697,0,8,27,3
1.8228346480687105,0,7,28,3
1.9309630188518223,0,6,29,3
1.9736227995909432,0,5,30,3
2.4204046010983067,0,4,31,3
2.5797993494836216,0,3,32,3
2.8399058450166716,0,2,33,3
2.875225600459882,0,1,34,3
3.075580739399529,0,0,35,3
0.0,34,1,0,4
0.000573557123984489,33,2,0,4
0.020572671441955778,32,3,0,4
0.029170654565911565,31,4,0,4
0.06780980821460125,30,5,0,4
0.06813816592030565,29,6,0,4
0.0729778831862646,28,7,0,4
0.07338952780124752,27,8,0,4
0.08092745915169203,26,9,0,4
0.09219492664032256,25,10,0,4
0.10591485159384714,24,11,0,4
0.10657592487779381,23,12,0,4
0.11267951136664014,22,13,0,4
0.11584674776239322,21,14,0,4
0.11904384250184437,20,15,0,4
0.11917986307624615,19,16,0,4
0.12896145656547686,18,17,0,4
0.1326007806085337,18,16,1,4
0.14470674336097988,17,17,1,4
0.14652291252596125,16,18,1,4
0.14768739235350253,15,19,1,4
0.1554685605199543,14,20,1,4
0.16148803443971307,13,21,1,4
0.1630966416808425,12,22,1,4
0.1666310709434558,12,21,2,4
0.1727438403538412,11,22,2,4
0.17836798744390905,10,23,2,4
0.20941595033874316,9,24,2,4
0.21056990217683386,8,25,2,4
0.21970122943742898,7,26,2,4
0.22492182213817005,6,27,2,4
0.22532276412548824,5,28,2,4
0.250540842996657,4,29,2,4
0.2566241705066601,3,30,2,4
0.26454044467054877,2,31,2,4
0.2763907650191381,1,32,2,4
0.28245848723197864,1,31,3,4
0.2851329260563503,1,30,4,4
0.28572716594475234,0,31,4,4
0.3487854949500523,0,30,5,4
0.436677564881242,0,29,6,4
0.46040949592083724,0,28,7,4
0.5524230518070117,0,27,8,4
0.6265496080877317,0,26,9,4
0.7220319255406288,0,25,10,4
0.8177311535078362,0,24,11,4
0.8192569141057064,0,23,12,4
0.820563812721941,0,22,13,4
0.8410365190249545,0,21,14,4
0.9098819987757862,0,20,15,4
1.008495471662859,0,19,16,4
1.0484496273226087,0,18,17,4
1.0511198617028523,0,17,18,4
1.0909909572345258,0,16,19,4
1.1238711392299825,0,15,20,4
1.1322407675747324,0,14,21,4
1.176711991851866,0,13,22,4
1.2886020113510859,0,12,23,4
1.344147113284343,0,11,24,4
1.3507335654633212,0,10,25,4
1.5293273652504804,0,9,26,4
1.6596614505549117,0,8,27,4
1.933739828500177,0,7,28,4
2.025119710244072,0,6,29,4
2.451985476537555,0,5,30,4
2.562813073015045,0,4,31,4
2.901341965756167,0,3,32,4
4.003072824943528,0,2,33,4
4.037902755515152,0,1,34,4
5.954450334355257,0,0,35,4
0.0,34,1,0,5
0.0011004083909024144,33,2,0,5
0.03086381449863446,32,3,0,5
0.03287423669029033,31,4,0,5
0.03514356409171052,30,5,0,5
0.03708496396833462,29,6,0,5
0.0392176753476131,28,7,0,5
0.05164693093704757,27,8,0,5
0.05299210379102541,26,9,0,5
0.05872045064918948,25,10,0,5
0.060607049959371634,24,11,0,5
0.06128673569967385,23,12,0,5
0.07250643543057433,22,13,0,5
0.07439641330371767,21,14,0,5
0.08053248242544184,20,15,0,5
0.08371036686406694,19,16,0,5
0.08491110617445337,18,17,0,5
0.08665133725955725,17,18,0,5
0.09101631459910539,16,19,0,5
0.1009417818104616,15,20,0,5
0.10754418684135615,14,21,0,5
0.1111478223836422,13,22,0,5
0.11269181015121277,12,23,0,5
0.1127360446661055,11,24,0,5
0.11509965641689102,10,25,0,5
0.11875441598831682,9,26,0,5
0.12989037000121056,8,27,0,5
0.13083372753021114,7,28,0,5
0.13114982697659075,6,29,0,5
0.13790010329249325,5,30,0,5
0.15695530891346166,4,31,0,5
0.21497599381506835,3,32,0,5
0.21839180148806728,2,33,0,5
