time,infector,infectee,run_id
0.0,,Ant29,1
0.04342959608165849,Ant29,Ant70,1
0.055597789490822655,Ant70,Ant331,1
0.06530902436492192,Ant331,Ant96,1
0.06561590773234512,Ant96,Ant650,1
0.07557848846574723,Ant650,Ant646,1
0.07919624531307563,Ant646,Ant170,1
0.1187109108190762,Ant650,Ant97,1
0.13220996657867745,Ant650,Ant482,1
0.15830388340635945,Ant97,Ant198,1
0.16002729720764408,Ant198,Ant6,1
0.16200734200961703,Ant6,Ant673,1
0.16413275354903786,Ant170,Ant147,1
0.17004761941078464,Ant650,Ant80,1
0.17836123540123,Ant673,Ant232,1
0.18263914460075378,Ant70,Ant387,1
0.18792966093854496,Ant673,Ant2,1
0.19600318274558898,Ant387,Ant593,1
0.19801887060192705,Ant80,Ant391,1
0.20271421561802522,Ant650,Ant100,1
0.2030246647686341,Ant387,Ant534,1
0.20367736394676728,Ant170,Ant62,1
0.20841858646883907,Ant2,Ant51,1
0.21080402944413484,Ant391,Ant68,1
0.219625090801225,Ant534,Ant176,1
0.22184317219942348,Ant68,Ant159,1
0.22444054238492647,Ant232,Ant82,1
0.238541927248184,Ant82,Ant635,1
0.24071580365890882,Ant100,Ant215,1
0.24719241821131582,Ant482,Ant115,1
0.24914799855761932,Ant232,Ant158,1
0.2493571445861353,Ant82,Ant318,1
0.25106959189350425,Ant159,Ant255,1
0.2523259763669972,Ant51,Ant91,1
0.25468974268211453,Ant80,Ant263,1
0.2553056393519442,Ant318,Ant301,1
0.2570296414558437,Ant650,Ant242,1
0.2591690330617011,Ant646,Ant638,1
0.2598352891245144,Ant91,Ant334,1
0.26608912673770574,Ant391,Ant126,1
0.27312104451700864,Ant301,Ant592,1
0.27892754111197837,Ant650,Ant564,1
0.2796953371576289,Ant82,Ant237,1
0.2799027510236795,Ant650,Ant144,1
0.28016861686055217,Ant96,Ant127,1
0.2808180447624386,Ant159,Ant140,1
0.28474346478318013,Ant592,Ant190,1
0.285790980530995,Ant482,Ant35,1
0.28645503749739115,Ant82,Ant49,1
0.287050715284344,Ant482,Ant209,1
0.28898199076789527,Ant126,Ant305,1
0.2896938870925095,Ant255,Ant186,1
0.29206491458323197,Ant215,Ant27,1
0.2940118729282257,Ant331,Ant113,1
0.29467716899496754,Ant126,Ant20,1
0.29639023464904285,Ant387,Ant118,1
0.29986916780511225,Ant334,Ant264,1
0.30058317102704496,Ant62,Ant74,1
0.3028402671317442,Ant147,Ant576,1
0.302936809059053,Ant391,Ant131,1
0.30353475230420884,Ant118,Ant509,1
0.3050893203116286,Ant635,Ant600,1
0.305589071890021,Ant74,Ant540,1
0.3063630305768289,Ant318,Ant332,1
0.30836347160096905,Ant215,Ant149,1
0.3085249718075988,Ant593,Ant929,1
0.3115153468064257,Ant91,Ant66,1
0.31865336792583376,Ant82,Ant252,1
0.3232644927285364,Ant332,Ant257,1
0.3242204039841526,Ant301,Ant124,1
0.32573629385806235,Ant68,Ant353,1
0.325788542804475,Ant20,Ant308,1
0.32655305005620905,Ant115,Ant380,1
0.32680553020738434,Ant305,Ant610,1
0.3304308989186719,Ant68,Ant9,1
0.3309309746729937,Ant610,Ant838,1
0.3319440567459765,Ant237,Ant26,1
0.33400477307940707,Ant838,Ant313,1
0.3354086275783591,Ant97,Ant324,1
0.3355422494399054,Ant147,Ant954,1
0.3369782562382038,Ant158,Ant552,1
0.3371976583038723,Ant131,Ant433,1
0.33968204556885273,Ant126,Ant109,1
0.3399976168420537,Ant140,Ant604,1
0.34024066605322156,Ant482,Ant647,1
0.3403113828337547,Ant149,Ant530,1
0.34119091650080546,Ant257,Ant48,1
0.3417466895525161,Ant252,Ant98,1
0.34202688793478153,Ant100,Ant175,1
0.3424349576210109,Ant74,Ant599,1
0.342660583204078,Ant113,Ant507,1
0.3447345094816646,Ant158,Ant299,1
0.34484969671667265,Ant70,Ant397,1
0.35063540113140684,Ant482,Ant72,1
0.3536065719218073,Ant82,Ant492,1
0.3555211525813936,Ant534,Ant207,1
0.35642309757058127,Ant540,Ant38,1
0.35981276112866345,Ant27,Ant54,1
0.36189697746607397,Ant318,Ant560,1
0.3622970766621044,Ant242,Ant614,1
0.3635434968351726,Ant62,Ant52,1
0.3668000880503372,Ant635,Ant0,1
0.3674174353988366,Ant72,Ant14,1
0.3742559164754842,Ant540,Ant261,1
0.37668675720897404,Ant74,Ant620,1
0.3789146840402256,Ant38,Ant219,1
0.3862128305618555,Ant647,Ant42,1
0.3871504445123612,Ant255,Ant376,1
0.38870936898517927,Ant219,Ant395,1
0.39182939759620483,Ant614,Ant245,1
0.39398713831169535,Ant397,Ant43,1
0.3943275073260628,Ant232,Ant102,1
0.39795009716118857,Ant207,Ant135,1
0.3992206156422766,Ant20,Ant356,1
0.4032108681512926,Ant68,Ant60,1
0.4041683988705007,Ant38,Ant1,1
0.4056098763439332,Ant245,Ant139,1
0.40564674976759857,Ant929,Ant137,1
0.40574360285866234,Ant540,Ant161,1
0.405752565178551,Ant68,Ant196,1
0.4109938233805479,Ant98,Ant30,1
0.4138251430025308,Ant356,Ant19,1
0.41666666209478853,Ant305,Ant57,1
