network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant229,123,0.1057535952751087,0.003972486792888452,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,229.0,177.553,162.0,0.0,C,N,C,C,257.63599999999997,1.54545,1.63636,309.09091,262.63636,225.81817999999998,2.455
Network_98,Ant576,89,0.07809198503720773,0.0011727850613648821,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,576.0,126.384,14.0,0.0,N,N,N,N,953.0,5.63636,4.90909,595.81818,94.636364,38.909091,10.45
Network_98,Ant115,120,0.10305537913952292,0.0036256715670195984,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,115.0,168.18099999999998,40.0,0.0,N,N,N,N,598.364,1.81818,6.909089999999999,563.54545,210.18182000000002,104.63636,25.73
Network_98,Ant44,72,0.05974543523157955,0.0011328809645990412,63,141,6731,0.6819655521783181,0.27677337351008513,21.0,44.0,137.317,40.0,0.0,F,F, , ,2.72727,3.09091,0.0,54.090908999999996,135.0,254.36364,0.09091
Network_98,Ant48,118,0.09916110751933958,0.005030065265545062,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,48.0,123.016,64.0,25.0,F,F,F,F,27.4545,38.6364,1.54545,88.090909,173.36364,455.0,1.182
Network_98,Ant580,67,0.05701233604621992,0.0005838484005390927,64,141,6731,0.6819655521783181,0.27677337351008513,21.0,580.0,142.004,14.0,0.0,N,N,N,N,1175.09,0.0909091,0.909091,484.18182,51.090909,21.181818,7.545
Network_98,Ant398,81,0.0703630283235925,0.0009943903782796916,69,141,6731,0.6819655521783181,0.27677337351008513,21.0,398.0,146.328,40.0,0.0,N,N,N,N,170.455,0.272727,2.63636,504.81818,100.45455,29.636364,10.0
Network_98,Ant663,122,0.10450463700810277,0.004006020214884603,70,141,6731,0.6819655521783181,0.27677337351008513,,,,,,,,,,,,,,,,
Network_98,Ant740,124,0.1066902929777493,0.003999603118670454,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,740.0,227.748,176.0,0.0,C,C,C, ,30.2727,4.90909,2.72727,221.63636,275.45455,324.90909,3.818
Network_98,Ant954,117,0.10115857309408839,0.003318241808374062,70,141,6731,0.6819655521783181,0.27677337351008513,,,,,,,,,,,,,,,,
Network_98,Ant260,82,0.06878370629899466,0.0016589725882310525,67,141,6731,0.6819655521783181,0.27677337351008513,21.0,260.0,148.933,99.0,42.0,F,F,F,F,28.9091,49.8182,3.18182,90.636364,189.45455,577.18182,1.455
Network_98,Ant264,66,0.05698451714713329,0.0003783334574915166,64,141,6731,0.6819655521783181,0.27677337351008513,21.0,264.0,133.36,14.0,0.0,N,N,N,N,427.091,0.636364,1.09091,500.81818,73.727273,21.545455,7.636
Network_98,Ant159,93,0.0806946464657751,0.0017974708800710072,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,159.0,196.84799999999998,50.0,1.0,N,N,N,C,21.7273,0.636364,1.72727,413.54545,136.18182,48.363636,52.09
Network_98,Ant158,116,0.10107100743897066,0.0028851698873010863,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,158.0,201.69299999999998,40.0,0.0,N,N,N,N,215.364,0.454545,0.545455,473.72727000000003,235.45455,147.45455,11.73
Network_98,Ant220,105,0.09094614048867689,0.0025611221723784573,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,220.0,149.40200000000002,14.0,0.0,C,N,N,N,104.455,1.45455,0.272727,207.36364,184.0,173.18182,0.9091
Network_98,Ant391,36,0.027062926433291043,4.6941192498517164e-05,35,141,6731,0.6819655521783181,0.27677337351008513,21.0,391.0,133.154,57.0,27.0,F,F, , ,43.8182,11.7273,0.0,44.454545,148.36364,479.36364000000003,0.09091
Network_98,Ant509,73,0.05880936893734038,0.0013012041228922953,63,141,6731,0.6819655521783181,0.27677337351008513,21.0,509.0,161.075,5.0,73.0,F,F,F, ,1.27273,17.0,0.0,19.363636,51.272727,523.0,0.1818
Network_98,Ant9,110,0.09666652680967175,0.0025305593352861473,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,9.0,145.362,40.0,0.0,N,N,C,F,161.455,0.0,0.727273,363.63636,202.72727,94.090909,3.455
Network_98,Ant395,98,0.08256049578834118,0.0036053008507181917,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,395.0,135.148,71.0,73.0,F,F,F, ,46.4545,117.0,1.54545,83.272727,152.63636,419.36364,0.5455
Network_98,Ant394,117,0.10118504432724004,0.0034950573352448056,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,394.0,203.679,169.0,0.0,C,C,N, ,49.1818,1.63636,19.7273,219.45455,205.90909,127.09091000000001,7.727
Network_98,Ant4,68,0.05730641176812265,0.0010952269586458252,61,141,6731,0.6819655521783181,0.27677337351008513,21.0,4.0,116.28399999999999,40.0,9.0,F,F,F,F,10.4545,7.81818,0.0,54.81818199999999,167.09091,222.54545,0.1818
Network_98,Ant7,41,0.030159149848406102,0.00010846002034837152,39,141,6731,0.6819655521783181,0.27677337351008513,21.0,7.0,202.55599999999998,14.0,13.0,F,F,F, ,1.72727,11.7273,0.0909091,27.636364,49.545455,785.09091,0.0
Network_98,Ant6,93,0.07806074404382629,0.0025686246067880615,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,6.0,132.608,120.0,0.0,F,F,F,F,7.72727,2.45455,1.36364,56.090908999999996,148.0,307.0,0.09091
Network_98,Ant1,104,0.09149015588279581,0.0022533518463116247,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,1.0,152.882,64.0,0.0,C,C,F,F,55.5455,0.454545,0.545455,197.63636,262.18182,266.36364,2.182
