t,S,I,R,run_id
0.0,133,1,0,1
3.3269186574469654,132,2,0,1
3.6101335615745773,131,3,0,1
3.6540637653679044,131,2,1,1
4.144030390216893,130,3,1,1
4.172826166973625,129,4,1,1
4.309502234554977,129,3,2,1
4.4282705532783355,128,4,2,1
4.920061179012989,128,3,3,1
4.963506376963049,128,2,4,1
5.176344208384434,127,3,4,1
5.312532158161465,126,4,4,1
5.7209759491088725,125,5,4,1
6.0915311954235465,124,6,4,1
6.3144034081373865,124,5,5,1
6.320440294897188,124,4,6,1
6.566647649936248,123,5,6,1
6.701078086209988,122,6,6,1
6.761516676049062,121,7,6,1
6.904270200818876,120,8,6,1
7.298038038013056,120,7,7,1
7.556789750212572,120,6,8,1
7.617841339786555,119,7,8,1
7.6675831322884695,119,6,9,1
7.987568220966218,119,5,10,1
8.17708845454181,119,4,11,1
8.290971406133298,119,3,12,1
8.523082627053643,119,2,13,1
9.772694082729378,119,1,14,1
12.756321665669656,119,0,15,1
0.0,133,1,0,2
1.2881048503529053,133,0,1,2
0.0,133,1,0,3
1.1498395042667964,132,2,0,3
1.8049929925634587,131,3,0,3
2.0747996439921073,130,4,0,3
2.2210299788537675,130,3,1,3
2.4360916967911233,129,4,1,3
2.600954814086766,129,3,2,3
2.681374841025368,128,4,2,3
2.911903253506825,127,5,2,3
2.9523180909713087,127,4,3,3
3.9748147936190947,126,5,3,3
4.372425445426112,125,6,3,3
4.377323817073771,125,5,4,3
4.625257649309668,124,6,4,3
4.696390860822679,124,5,5,3
4.775891514524366,124,4,6,3
4.844196904266626,124,3,7,3
5.487965362980227,123,4,7,3
5.602455181369243,123,3,8,3
5.97513000821073,122,4,8,3
6.042202876627647,122,3,9,3
6.668946860236563,122,2,10,3
7.064943359295117,121,3,10,3
7.307623999921408,121,2,11,3
7.642351845854891,120,3,11,3
7.717624667482595,120,2,12,3
7.911717409677953,120,1,13,3
9.180911003306816,119,2,13,3
9.23903658850618,119,1,14,3
11.526019515548509,119,0,15,3
0.0,133,1,0,4
3.7860038426434146,133,0,1,4
0.0,133,1,0,5
0.2473205018828364,133,0,1,5
