network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Sex
Network_665,1,13,0.2653523137218882,0.024030781184627346,11,27,111,0.3162393162393162,0.2768038308578849,male
Network_665,2,13,0.280045736239241,0.0031333452871914413,11,27,111,0.3162393162393162,0.2768038308578849,male
Network_665,3,13,0.280045736239241,0.0031333452871914413,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,4,13,0.2661917012087694,0.017254079254079256,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,5,3,0.06486584836683179,0.0,3,27,111,0.3162393162393162,0.2768038308578849,male
Network_665,6,12,0.26312884155256633,0.0015886677425138967,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,7,12,0.2600723568026949,0.002876935030781184,11,27,111,0.3162393162393162,0.2768038308578849,
Network_665,8,13,0.26535231372188844,0.024030781184627346,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,9,13,0.280045736239241,0.0031333452871914413,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,10,13,0.26642587285738917,0.10144073874843107,11,27,111,0.3162393162393162,0.2768038308578849,
Network_665,11,13,0.28004573623924106,0.0031333452871914413,11,27,111,0.3162393162393162,0.2768038308578849,
Network_665,12,13,0.28004573623924106,0.0031333452871914413,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,13,14,0.24892084323631547,0.13557790927021696,11,27,111,0.3162393162393162,0.2768038308578849,male
Network_665,14,11,0.22474600056338423,0.08036489151873767,10,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,15,12,0.2600723568026951,0.0028769350307811846,11,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,16,7,0.0438020460146779,0.21290693921463152,3,27,111,0.3162393162393162,0.2768038308578849,
Network_665,17,5,0.028303945910012455,0.05215384615384616,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,18,2,0.005869290860500671,0.0,2,27,111,0.3162393162393162,0.2768038308578849,
Network_665,19,3,0.0042587042822893615,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,20,3,0.0042587042822893615,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,21,3,0.004258704282289306,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,22,3,0.024565126207960714,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,23,3,0.024565126207960686,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,24,3,1.387778780781446e-16,0.0,3,27,111,0.3162393162393162,0.2768038308578849,male
Network_665,25,3,2.775557561562892e-17,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
Network_665,26,3,1.1102230246251568e-16,0.0,3,27,111,0.3162393162393162,0.2768038308578849,
Network_665,27,3,9.714451465470121e-17,0.0,3,27,111,0.3162393162393162,0.2768038308578849,female
