network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,weight,svl
Network_1022,BGS-10,3,9.088134705613162e-18,0.0,3,1604,1645,0.001279552211175119,0.977416780234524,F,66.5,45.0
Network_1022,BGS-1000,2,-2.983064278518511e-17,0.0,2,1604,1645,0.001279552211175119,0.977416780234524,F,4.966666667,19.2
Network_1022,BGS-1001,5,-1.0985948390236111e-16,0.0,5,1604,1645,0.001279552211175119,0.977416780234524,F,4.65,19.55
Network_1022,BGS-1002,1,1.551507896920791e-18,0.0,1,1604,1645,0.001279552211175119,0.977416780234524,M,5.7,20.5
Network_1022,BGS-1003,1,2.796803410786531e-18,0.0,1,1604,1645,0.001279552211175119,0.977416780234524,M,7.4,21.05
Network_1022,BGS-1004,5,-2.6778942196425863e-17,4.9844120301899606e-05,3,1604,1645,0.001279552211175119,0.977416780234524,M,8.0,37.55
Network_1022,BGS-1005,2,-4.693561420587044e-18,0.0,2,1604,1645,0.001279552211175119,0.977416780234524,F,5.6,20.0
Network_1022,BGS-1006,2,-5.270958409859504e-18,0.0,2,1604,1645,0.001279552211175119,0.977416780234524,M,6.85,21.7
Network_1022,BGS-1007,2,4.856360168670693e-17,2.8037317669818527e-05,2,1604,1645,0.001279552211175119,0.977416780234524,M,10.2,24.46666667
Network_1022,BGS-1008,4,-5.197328891019796e-17,0.0,4,1604,1645,0.001279552211175119,0.977416780234524,F,4.8,20.5
Network_1022,BGS-1009,5,-4.879354629479448e-17,2.5700874530666984e-05,4,1604,1645,0.001279552211175119,0.977416780234524,F,26.375,30.325
Network_1022,BGS-1010,7,-6.400780898248741e-17,0.00014719591776654728,4,1604,1645,0.001279552211175119,0.977416780234524,F,7.9,22.33333333
Network_1022,BGS-1011,5,-4.696724721220682e-17,2.5700874530666984e-05,4,1604,1645,0.001279552211175119,0.977416780234524,M,8.05,22.5
Network_1022,BGS-1012,3,-3.3889715947170223e-18,0.0,3,1604,1645,0.001279552211175119,0.977416780234524,F,5.7,21.0
Network_1022,BGS-1013,3,-6.056021982144004e-19,0.0,3,1604,1645,0.001279552211175119,0.977416780234524,M,5.7,40.5
