network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,length_mm,latency_sec,distance_swam_m
Network_988,131,5,0.17829760369052147,0.0,5,48,120,0.10638297872340426,0.7649016964110992,24,66,42.60137112
Network_988,117,5,0.17829760369052156,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,99,35.51786217
Network_988,112,5,0.17829760369052156,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,52,26.49125046
Network_988,97,5,0.17829760369052144,0.0,5,48,120,0.10638297872340426,0.7649016964110992,25,421,44.05668095
Network_988,126,5,0.17829760369052147,0.0,5,48,120,0.10638297872340426,0.7649016964110992,24,207,43.83520316
Network_988,104,5,0.17829760369052153,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,68,43.40597442
Network_988,109,5,-0.20628768661305083,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,213,38.19263637
Network_988,143,5,-0.2062876866130508,0.0,5,48,120,0.10638297872340426,0.7649016964110992,30,288,95.22941311
Network_988,137,5,-0.20628768661305083,0.0,5,48,120,0.10638297872340426,0.7649016964110992,26,43,36.05059465
Network_988,116,5,-0.20628768661305077,0.0,5,48,120,0.10638297872340426,0.7649016964110992,24,60,62.25801164
Network_988,123,5,-0.20628768661305083,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,59,65.78836065
Network_988,130,5,-0.20628768661305077,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,75,63.23414541
Network_988,136,5,-0.14150441640466302,0.0,5,48,120,0.10638297872340426,0.7649016964110992,24,58,37.41471949
Network_988,101,5,-0.14150441640466305,0.0,5,48,120,0.10638297872340426,0.7649016964110992,25,105,52.08718098
Network_988,127,5,-0.14150441640466307,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,25,43.42982583
Network_988,142,5,-0.14150441640466302,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,96,36.54834437
Network_988,121,5,-0.14150441640466302,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,166,19.26220022
Network_988,108,5,-0.14150441640466307,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,59,28.13253747
Network_988,138,5,0.23533520576163514,0.0,5,48,120,0.10638297872340426,0.7649016964110992,28,1800,38.26093011
Network_988,140,5,0.23533520576163505,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,32,58.16344185
Network_988,120,5,0.23533520576163502,0.0,5,48,120,0.10638297872340426,0.7649016964110992,25,183,47.07737802
Network_988,106,5,0.23533520576163508,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,138,21.17368858
Network_988,110,5,0.23533520576163497,0.0,5,48,120,0.10638297872340426,0.7649016964110992,19,36,21.09533
Network_988,99,5,0.23533520576163505,0.0,5,48,120,0.10638297872340426,0.7649016964110992,25,332,29.48066713
Network_988,111,5,-0.019193591440276696,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,105,46.94041404
Network_988,103,5,-0.019193591440276655,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,84,38.86777424
Network_988,118,5,-0.019193591440276683,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,23,53.71463895
Network_988,132,5,-0.01919359144027667,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,133,43.90275503
Network_988,102,5,-0.019193591440276696,0.0,5,48,120,0.10638297872340426,0.7649016964110992,26,175,38.02053922
Network_988,122,5,-0.01919359144027669,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,94,28.61048042
Network_988,125,5,-0.0037821620286255255,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,162,33.29079419
Network_988,113,5,-0.0037821620286254774,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,364,30.79262897
Network_988,144,5,-0.0037821620286254674,0.0,5,48,120,0.10638297872340426,0.7649016964110992,27,70,83.92110943
Network_988,134,5,-0.0037821620286255103,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,171,66.55614964
Network_988,129,5,-0.003782162028625452,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,21,45.13661138
Network_988,115,5,-0.003782162028625491,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,38,64.10418693
Network_988,139,5,-0.025621125432714068,0.0,5,48,120,0.10638297872340426,0.7649016964110992,23,143,150.5590923
Network_988,128,5,-0.02562112543271409,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,50,33.09688127
Network_988,107,5,-0.02562112543271409,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,51,44.6431372
Network_988,124,5,-0.025621125432714085,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,71,35.81423103
Network_988,133,5,-0.025621125432714064,0.0,5,48,120,0.10638297872340426,0.7649016964110992,19,54,42.74522406
Network_988,100,5,-0.025621125432714043,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,530,37.6659361
Network_988,141,5,0.12600286438569103,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,57,46.34774847
Network_988,114,5,0.12600286438569105,0.0,5,48,120,0.10638297872340426,0.7649016964110992,28,58,58.23572763
Network_988,105,5,0.12600286438569108,0.0,5,48,120,0.10638297872340426,0.7649016964110992,21,46,25.61452115
Network_988,119,5,0.126002864385691,0.0,5,48,120,0.10638297872340426,0.7649016964110992,22,66,72.58614424
Network_988,135,5,0.12600286438569103,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,112,21.6657287
Network_988,98,5,0.12600286438569097,0.0,5,48,120,0.10638297872340426,0.7649016964110992,20,117,36.43122
