network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,TubPeriod,strength,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
Network_331,3.0,11,0.15703034512726874,18.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.447359245,0.42342992,1,T,M,T2,7.015,44
Network_331,4.0,9,0.12354357138705811,1.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.72082893,0.34086291,1,T,M,T2,7.441,42
Network_331,2.0,14,0.19955419368466643,42.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.6918533310000003,0.440706172,1,T,M,T2,6.276,36
Network_331,1.0,11,0.1450701267454149,3.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.9535155690000001,0.345259666,1,T,M,T2,7.19,37
Network_331,8.0,14,0.20581490561569485,1.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.803458908,0.49363150200000006,1,T,M,T2,7.244,42
Network_331,7.0,13,0.18873134831565366,14.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.62922104,0.540733031,1,T,M,T2,6.974,40
Network_331,6.0,10,0.15865357971045724,6.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.08868378,0.5939638389999999,1,T,M,T2,7.111000000000001,39
Network_331,5.0,11,0.1579987717631799,8.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.0623198080000003,0.465168509,1,T,M,T2,6.83,38
Network_331,13.0,22,0.3094466187653386,111.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,4.939790005,0.436949976,1,T,M,T2,6.832999999999999,43
Network_331,11.0,11,0.17527555991848173,0.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.043828316,0.599562086,1,T,M,T2,5.916,40
Network_331,12.0,9,0.12338295694758925,17.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.9771372980000002,0.512892997,1,T,M,T2,6.858,34
Network_331,10.0,16,0.2331567982254939,4.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,3.025887265,0.47974529899999996,1,T,M,T2,6.381,29
Network_331,9.0,11,0.1791608312450959,0.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.940987745,0.582497969,1,T,M,T2,6.669,36
Network_331,15.0,14,0.20915888397069937,59.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,3.266623734,0.532697648,1,T,M,T2,5.999,37
Network_331,14.0,16,0.24316721721194945,9.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,3.317058354,0.536861119,1,T,M,T2,7.392,43
Network_331,19.0,19,0.2774619178705305,119.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,4.6681953819999995,0.5227015660000001,1,T,F,T2,5.898,37
Network_331,18.0,14,0.21921911598885205,34.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,3.234288148,0.489077262,1,T,F,T2,7.081,35
Network_331,16.0,11,0.16303631043170408,0.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.233895162,0.5435652089999999,1,T,F,T2,6.693,23
Network_331,17.0,11,0.1775018210609248,0.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.794412215,0.646665824,1,T,F,T2,6.0329999999999995,33
Network_331,22.0,8,0.11894381542604089,15.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.7022460680000002,0.610197576,1,T,F,T2,6.7589999999999995,21
Network_331,23.0,7,0.09242757924873195,0.0,7,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.239463151,0.28474689,1,T,F,T2,6.992000000000001,22
Network_331,20.0,4,0.054362327945099556,8.0,4,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.008066039,0.854213181,1,T,F,T2,7.001,24
Network_331,21.0,10,0.14359734202025629,3.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.908711967,0.551368029,1,T,F,T2,7.352,28
Network_331,27.0,10,0.14218824473720987,6.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.957851425,0.38837358200000005,1,T,F,T2,6.984,22
Network_331,26.0,10,0.16924573994218117,3.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.987130389,0.635906735,1,T,F,T2,6.093999999999999,16
Network_331,28.0,12,0.1828160864722287,21.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.621694127,0.534695558,1,T,F,T2,5.9910000000000005,28
Network_331,24.0,8,0.13358861425082225,2.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,1.3900978590000002,0.555202486,1,T,F,T2,7.062,19
Network_331,25.0,12,0.16234560150138008,5.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.310087492,0.473561579,1,T,F,T2,6.537000000000001,26
Network_331,29.0,15,0.21861648420052726,14.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,3.223327396,0.441401185,1,T,F,T2,6.572,26
Network_331,30.0,13,0.19074201771817356,27.0,8,30,178,0.4091954022988506,0.1649963815721521,T2_1,2.67880529,0.41563288,1,T,F,T2,6.372999999999999,29
