t,S,I,R,run_id
0.0,51,1,0,1
0.3314427496543903,51,0,1,1
0.0,51,1,0,2
0.16130140078472988,51,0,1,2
0.0,51,1,0,3
0.5970259207823067,50,2,0,3
1.0400260034774087,49,3,0,3
1.0487362597303664,49,2,1,3
1.6333987651551953,48,3,1,3
1.6972475387948724,47,4,1,3
1.9930356865954986,46,5,1,3
2.1059183768175376,45,6,1,3
2.1920831707667108,45,5,2,3
2.2340240826134874,45,4,3,3
2.309126134260489,44,5,3,3
2.6650178695254683,43,6,3,3
2.783058406001179,42,7,3,3
2.946914488152019,41,8,3,3
2.990926645739128,40,9,3,3
3.065863330576938,40,8,4,3
3.071892564202823,39,9,4,3
3.0877651050674144,38,10,4,3
3.354189413841848,37,11,4,3
3.4117591456967604,36,12,4,3
3.49415603864917,35,13,4,3
3.528224875900948,34,14,4,3
3.5518466451041406,34,13,5,3
3.613277081408574,34,12,6,3
3.6865137308453795,34,11,7,3
3.766759538244949,33,12,7,3
3.7697670141655113,33,11,8,3
3.8122467800040103,33,10,9,3
3.9144206962236936,33,9,10,3
4.072155967703523,32,10,10,3
4.1445077066225835,32,9,11,3
4.210056289729767,32,8,12,3
4.341857425175813,32,7,13,3
4.481567976657874,32,6,14,3
4.726507864984102,32,5,15,3
4.728233862851231,31,6,15,3
4.765063198722978,30,7,15,3
4.835489375720565,29,8,15,3
4.857367863486224,28,9,15,3
5.014382559163865,28,8,16,3
5.100073098909991,27,9,16,3
5.119767466292271,26,10,16,3
5.256656476803308,25,11,16,3
5.270498321472584,25,10,17,3
5.3037182994116785,25,9,18,3
5.424293212471267,24,10,18,3
5.456658467159802,24,9,19,3
5.587093511506081,23,10,19,3
5.588071907626178,23,9,20,3
5.609499435097519,22,10,20,3
5.616016932101084,22,9,21,3
5.642967200832922,21,10,21,3
5.673287156524875,21,9,22,3
5.884117242811255,21,8,23,3
5.9072542584995125,21,7,24,3
6.000983338031515,20,8,24,3
6.197697971986701,19,9,24,3
6.380299714748356,19,8,25,3
6.413014292081922,18,9,25,3
7.134408440786821,18,8,26,3
7.157941791993899,17,9,26,3
7.165613166609132,16,10,26,3
7.354649666774651,16,9,27,3
7.545815796829167,16,8,28,3
8.02033607286133,16,7,29,3
8.065520974897382,16,6,30,3
8.988641063345243,16,5,31,3
9.418475011573397,16,4,32,3
10.463927587648293,16,3,33,3
11.005378889038846,16,2,34,3
12.48708031476191,16,1,35,3
12.839482343760288,16,0,36,3
0.0,51,1,0,4
0.26304026200675484,50,2,0,4
0.6047441691489184,50,1,1,4
1.4313422599504106,50,0,2,4
0.0,51,1,0,5
0.6719336550115466,50,2,0,5
0.920186691053506,49,3,0,5
0.9313226615105745,48,4,0,5
1.030983950341785,47,5,0,5
1.1150768582892678,46,6,0,5
1.161236322215975,45,7,0,5
1.3118906676752289,45,6,1,5
1.3414691442271758,44,7,1,5
1.3586972519972567,43,8,1,5
1.3791519799544747,43,7,2,5
1.483769108351015,43,6,3,5
1.4889783227614704,42,7,3,5
1.6097028305762078,42,6,4,5
1.6209854482410342,41,7,4,5
1.9472734023376284,41,6,5,5
2.072913087898624,41,5,6,5
2.83062642420332,41,4,7,5
3.0160170750111024,41,3,8,5
4.101925723999107,41,2,9,5
4.5511118860940165,41,1,10,5
6.134548400248459,41,0,11,5
