network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_341,1S,3,0.2178220842825816,0.07312925170068027,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,1R,1,6.02606698472026e-17,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,35C,3,0.0808261669177526,0.0429421768707483,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,3R,1,0.020569770676155136,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,29C,1,0.0418828413512267,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,1C,3,0.14061802267474294,0.06986961451247166,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,5N,2,0.23064810490312768,0.0,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,3C,6,0.03492098627413705,0.2933673469387755,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,9F,2,0.112494573914036,0.1364795918367347,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,3F,1,0.014279045452628349,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,5C,1,0.010968484332259557,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,1N,1,1.9307448712489938e-17,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,7W,2,0.13806403221636307,0.03741496598639456,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,14R,2,0.00950263886240134,0.03741496598639456,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,9C,2,0.009502638862401274,0.03741496598639456,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,24N,1,3.61838039180261e-17,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,10F,1,0.015084714662438013,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,16C,1,0.0024183641223123366,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,14F,1,0.002418364122312259,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,20C,4,0.043099194416476964,0.15518707482993196,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,12S,1,0.03513646124287655,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,10R,3,0.14270920756172098,0.25439342403628123,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,30C,3,0.15524390170032895,0.051587301587301564,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,22R,2,0.05364179106039839,0.011054421768707483,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,16R,3,0.19672200763331982,0.029478458049886625,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,2S,9,0.5073677158306009,0.31193310657596374,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,5169,3,0.0814423364045933,0.0405328798185941,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,WT048,4,0.16457303191854342,0.10147392290249431,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,11R,3,0.10695296219871585,0.053713151927437634,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,18N,1,0.02072658208420891,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,36C,1,0.01427904545262835,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,6C/S350,6,0.398933210886782,0.19841269841269843,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,10N,1,0.014279045452628408,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,GL,5,0.05610760223584758,0.2691326530612245,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,4C,6,0.3976962088266474,0.2922335600907029,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,13C,1,0.0024183641223122264,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,4R/38C,2,0.05927337180410308,0.03741496598639456,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,6F,1,0.0024183641223123283,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,17F,2,0.05553435277194553,0.006235827664399093,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,8F,1,0.010968484332259536,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,13N,4,0.15867218006792827,0.03188775510204082,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,17R,1,0.041882841351226704,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,21F,1,0.10152608958177649,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,6R,2,0.07340119628023363,0.002551020408163265,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,11S,1,-6.679864764285633e-17,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,25C,2,0.14780217587351813,0.01403061224489796,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,31C,3,0.1900728962387495,0.050170068027210885,2,50,58,0.0473469387755102,0.5967598097502973
Network_341,16F,1,0.1291220153213512,0.0,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,19F,2,0.009502638862401238,0.03741496598639456,1,50,58,0.0473469387755102,0.5967598097502973
Network_341,X579,2,0.00950263886240128,0.03741496598639456,1,50,58,0.0473469387755102,0.5967598097502973
