network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_735,bnn	,9,0.1873505401259962,0.011253760763564687,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nbb	,16,0.3117064180852568,0.04587094096898019,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nnb	,11,0.22384507493642145,0.017862330117232077,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nrg	,5,0.1066576860533483,0.0018155410312273058,5,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nrr	,16,0.3031478119851113,0.06529463637306776,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,bnr	,10,0.2049903045700718,0.013092644465193485,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nbn	,10,0.20924529710499806,0.011715426911505344,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,gnb	,11,0.2249654436633397,0.01687156344019089,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,ngb	,10,0.21147926307627396,0.009837638759207387,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,ngg	,9,0.17307657478345634,0.02092281356987239,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,ngn	,10,0.218360115947562,0.006253242037555763,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,ngr	,8,0.16231684894094253,0.009575682124701732,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nng	,13,0.25973107963695435,0.029372860255213195,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nrn	,12,0.24402929366306728,0.020430023861396408,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,rnr	,12,0.25042283736436693,0.01672632015769271,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,gnn	,15,0.28598255521408256,0.054458450046685355,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nnr	,9,0.1946297183795404,0.007161012553169417,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,gnr	,8,0.16690822036201278,0.008750907770515614,8,19,105,0.6140350877192983,-0.02303575528007347
Network_735,nbr	,16,0.30329792069172984,0.06410675381263618,8,19,105,0.6140350877192983,-0.02303575528007347
