network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Group,Age,No. of courting associations,No. of courting males (old adult),No. of courting males (young adult)
Network_675,Lm1,2,-6.661338147750939e-16,0.07272727272727272,1,12,13,0.19696969696969696,,MALE,LIG,old adult, , , 
Network_675,Lf1,1,-2.7755575615628914e-16,0.0,1,12,13,0.19696969696969696,,FEMALE,LIG,young adult,12,45,13
Network_675,Lf2,3,-1.0685896612017132e-15,0.11818181818181818,2,12,13,0.19696969696969696,,FEMALE,LIG,young adult,13,45,15
Network_675,Lm2,2,-8.881784197001252e-16,0.02727272727272727,2,12,13,0.19696969696969696,,MALE,LIG,young adult, , , 
Network_675,Lf3,2,-7.077671781985373e-16,0.00909090909090909,2,12,13,0.19696969696969696,,FEMALE,LIG,young adult,8,31,8
Network_675,Lm3,2,-9.43689570931383e-16,0.02727272727272727,2,12,13,0.19696969696969696,,MALE,LIG,young adult, , , 
Network_675,Bm1,3,0.4544013490418752,0.07878787878787878,2,12,13,0.19696969696969696,,MALE,BS,old adult, , , 
Network_675,Bf1,1,0.18000813885871292,0.0,1,12,13,0.19696969696969696,,FEMALE,BS,young adult,6,19,7
Network_675,Bf2,3,0.48352718121353944,0.045454545454545456,2,12,13,0.19696969696969696,,FEMALE,BS,young adult,9,27,14
Network_675,Bf3,3,0.4835271812135395,0.045454545454545456,2,12,13,0.19696969696969696,,FEMALE,BS,young adult,5,10,1
Network_675,Bm2,2,0.38309229566053943,0.00606060606060606,2,12,13,0.19696969696969696,,MALE,BS,young adult, , , 
Network_675,Bm3,2,0.3830922956605395,0.00606060606060606,2,12,13,0.19696969696969696,,MALE,BS,young adult, , , 
