network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,TubPeriod,strength,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
Network_324,20.0,6,0.13057544320776668,12.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.3558640469999999,0.589187176,1,C,F,C2,6.317,26
Network_324,13.0,10,0.19948270894135223,12.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.12133856,0.33788837899999996,1,C,M,C2,6.492999999999999,35
Network_324,25.0,11,0.2170537134631507,35.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.455447183,0.482607667,1,C,F,C2,7.43,38
Network_324,6.0,5,0.11034608387559439,2.0,5,27,117,0.3333333333333333,0.1963728465813417,C2_1,0.916149295,0.44002941700000003,1,C,M,C2,6.257999999999999,23
Network_324,19.0,8,0.18123878743796584,35.75,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.938226271,0.357298105,1,C,F,C2,7.406000000000001,11
Network_324,18.0,10,0.23127344195916763,7.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.031713305,0.45179962100000004,1,C,F,C2,6.92,36
Network_324,5.0,9,0.16087874270415004,19.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.875087186,0.222424541,1,C,M,C2,6.67,24
Network_324,9.0,13,0.2635194928870827,30.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.8825980510000004,0.431965706,1,C,M,C2,6.806,42
Network_324,21.0,10,0.218789469483155,11.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.137162472,0.462075051,1,C,F,C2,6.062,33
Network_324,8.0,7,0.14900938371345934,10.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.693194435,0.471599535,1,C,M,C2,7.029,19
Network_324,7.0,17,0.3481133093281867,18.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,3.265988193,0.379493815,1,C,M,C2,7.035,29
Network_324,2.0,14,0.2777303911903759,58.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,3.341215361,0.314424262,1,C,M,C2,6.327999999999999,32
Network_324,1.0,5,0.09160656172518239,6.0,5,27,117,0.3333333333333333,0.1963728465813417,C2_1,0.968109413,0.485229409,1,C,M,C2,5.811,24
Network_324,16.0,7,0.17453337915380385,21.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.6881931940000001,0.614774531,1,C,F,C2,6.266,24
Network_324,4.0,5,0.107200634110675,13.0,5,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.193994932,0.09327756300000001,1,C,M,C2,6.8660000000000005,35
Network_324,3.0,10,0.20882461781659634,3.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.81748455,0.42628799100000003,1,C,M,C2,6.609,29
Network_324,15.0,9,0.21730574150651707,4.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.713449437,0.447978024,1,C,M,C2,7.104,38
Network_324,27.0,13,0.2885905783540897,25.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.5824768259999997,0.447559125,1,C,F,C2,7.215,19
Network_324,11.0,11,0.2159268939601319,26.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,2.430672302,0.304917148,1,C,M,C2,6.732,25
Network_324,23.0,9,0.19843844760601534,14.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.931830704,0.393895415,1,C,F,C2,6.545,19
Network_324,22.0,6,0.14553130363533429,11.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.484431756,0.6124153720000001,1,C,F,C2,6.21,20
Network_324,10.0,4,0.07486262122315251,0.0,4,27,117,0.3333333333333333,0.1963728465813417,C2_1,0.616133411,0.333333333,1,C,M,C2,7.216,37
Network_324,26.0,8,0.13852546865479876,21.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.723071518,0.2004115,1,C,F,C2,6.808,24
Network_324,14.0,7,0.13900420105485967,0.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.1258978000000002,0.38167572200000005,1,C,M,C2,6.976,25
Network_324,24.0,9,0.16470351541555875,10.0,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.86462671,0.31815602600000004,1,C,F,C2,7.0,26
Network_324,12.0,6,0.12257036529003368,11.25,6,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.3980056630000002,0.466377616,1,C,M,C2,6.7989999999999995,28
Network_324,17.0,5,0.12613945851447714,0.0,5,27,117,0.3333333333333333,0.1963728465813417,C2_1,1.152788369,0.735333482,1,C,F,C2,6.949,17
