network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,TubPeriod,strength,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
Network_328,15.0,4,0.07355594727968238,0.0,4,30,138,0.31724137931034485,0.28195923404318146,C4_1,0.800550165,0.47743521,1,C,M,C4,7.301,30
Network_328,14.0,9,0.11615097341186538,1.0,5,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.950777991,0.137709453,1,C,M,C4,6.92,43
Network_328,10.0,12,0.2031447272003888,21.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.423291238,0.296442688,1,C,M,C4,7.2379999999999995,47
Network_328,13.0,9,0.15933302490096457,3.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.802006178,0.499535399,1,C,M,C4,6.035,19
Network_328,11.0,7,0.13096358742096956,8.0,6,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.636411993,0.714579082,1,C,M,C4,6.167999999999999,27
Network_328,12.0,10,0.13717728073670252,57.0,6,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.322458663,0.212949219,1,C,M,C4,6.627999999999999,31
Network_328,6.0,11,0.23247847165873775,24.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.459588959,0.553365331,1,C,M,C4,6.167000000000001,29
Network_328,5.0,11,0.21473475270369097,24.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.04373423,0.43136040000000003,1,C,M,C4,7.178,43
Network_328,9.0,8,0.15153233209562672,2.0,6,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.726992654,0.665516026,1,C,M,C4,6.535,29
Network_328,7.0,12,0.22785576860074525,30.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.3933495,0.345313848,1,C,M,C4,6.656000000000001,36
Network_328,8.0,11,0.1897131196456869,68.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.52402742,0.38873508700000003,1,C,M,C4,7.0,41
Network_328,2.0,10,0.21757517889202257,27.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.908919936,0.613004015,1,C,M,C4,5.438,44
Network_328,1.0,11,0.21542019359538137,0.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.098207425,0.363755441,1,C,M,C4,7.126,34
Network_328,3.0,13,0.2718401574401176,11.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,3.118163197,0.545660689,1,C,M,C4,7.337000000000001,46
Network_328,4.0,16,0.25762951582763277,35.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,3.115088115,0.262142177,1,C,M,C4,6.862,42
Network_328,30.0,4,0.07080040946977889,0.0,4,30,138,0.31724137931034485,0.28195923404318146,C4_1,0.7524925709999999,0.340538636,1,C,F,C4,6.736000000000001,23
Network_328,29.0,7,0.12231742639381275,4.0,6,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.44139191,0.537047438,1,C,F,C4,7.031000000000001,20
Network_328,25.0,4,0.07112460356456267,9.0,4,30,138,0.31724137931034485,0.28195923404318146,C4_1,0.927478725,0.166032083,1,C,F,C4,7.171,14
Network_328,24.0,8,0.1542783187603847,4.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.584931509,0.429023583,1,C,F,C4,6.574,13
Network_328,28.0,4,0.06546978519767375,0.0,4,30,138,0.31724137931034485,0.28195923404318146,C4_1,0.705917556,0.0,1,C,F,C4,5.831,17
Network_328,27.0,9,0.1737743753563818,11.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.912223075,0.42501695100000003,1,C,F,C4,6.4479999999999995,24
Network_328,26.0,15,0.272871295883705,16.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.982128569,0.399895901,1,C,F,C4,7.013999999999999,36
Network_328,20.0,14,0.2672498585376538,82.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,3.107613515,0.426365636,1,C,F,C4,6.962999999999999,30
Network_328,23.0,6,0.10477312253155303,23.0,5,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.3996644630000001,0.310063795,1,C,F,C4,6.961,21
Network_328,22.0,8,0.12219829283702971,44.0,6,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.200092432,0.253112061,1,C,F,C4,7.747999999999999,42
Network_328,21.0,12,0.2555931882850626,13.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.884209442,0.5749680110000001,1,C,F,C4,7.542999999999999,34
Network_328,17.0,5,0.10730598849710955,4.0,5,30,138,0.31724137931034485,0.28195923404318146,C4_1,1.2184546109999999,0.28742043100000003,1,C,F,C4,6.432,21
Network_328,16.0,11,0.23640957186948225,6.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.345603568,0.628643292,1,C,F,C4,6.0920000000000005,26
Network_328,19.0,11,0.20032042102264067,60.0,7,30,138,0.31724137931034485,0.28195923404318146,C4_1,2.8176426560000003,0.43292428200000005,1,C,F,C4,6.915,36
Network_328,18.0,4,0.07390046834085698,4.0,4,30,138,0.31724137931034485,0.28195923404318146,C4_1,0.8537499270000001,0.666666667,1,C,F,C4,6.774,10
