network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_588,067034003,3,0.33021838482827814,0.13186813186813187,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,066810338,2,0.17302876964615424,0.0,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,067010808,3,0.21263749931626336,0.06593406593406594,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,066869526,2,0.2882342388779908,0.0,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,062260610,1,-5.551115123125783e-17,0.0,1,15,18,0.17142857142857143,0.3914930555555556
Network_588,067287606,2,0.1096134651232364,0.03296703296703297,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,052837101,1,0.16826443238710415,0.0,1,15,18,0.17142857142857143,0.3914930555555556
Network_588,053609768,6,0.5376985618316419,0.4175824175824176,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,067042091,4,0.3833703385690319,0.19780219780219782,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,067125028,1,0.1682644323871042,0.0,1,15,18,0.17142857142857143,0.3914930555555556
Network_588,054088364,1,0.0,0.0,1,15,18,0.17142857142857143,0.3914930555555556
Network_588,066859340,4,0.37989450281463943,0.2197802197802198,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,062331632,2,0.17302876964615432,0.0,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,068803808,2,0.13763856151252674,0.06593406593406594,2,15,18,0.17142857142857143,0.3914930555555556
Network_588,053031587,2,0.18651141672838456,0.0,2,15,18,0.17142857142857143,0.3914930555555556
