network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,fur_mark,sex,stage_current_year,Node_All days_detected,btw_spat,btw_soc
Network_744,R478,14,0.10298778981055888,0.038919278733632004,8,60,340,0.192090395480226,0.4165276867668827,battery,F,P,13,52,133
Network_744,R469,11,0.06403104796541657,0.0064797981847649535,8,60,340,0.192090395480226,0.4165276867668827,Aquaman,F,P,14,18,22
Network_744,R091_R582,4,0.022539669403373413,0.001652187185501037,4,60,340,0.192090395480226,0.4165276867668827,Capital_Z,F,A,43,102,6
Network_744,R456,14,0.10019251997710522,0.010365726524473207,8,60,340,0.192090395480226,0.4165276867668827,does_not_equal,F,P,23,48,35
Network_744,R306,14,0.10910509657501344,0.02351442060023134,8,60,340,0.192090395480226,0.4165276867668827,eyeball,F,A,14,30,80
Network_744,R453,12,0.09122606519321,0.007568665265158165,8,60,340,0.192090395480226,0.4165276867668827,Flash,F,P,11,10,26
Network_744,R440,15,0.10380935085333029,0.01939001945491532,8,60,340,0.192090395480226,0.4165276867668827,lambda,F,P,11,13,66
Network_744,R496,10,0.06947201076869358,0.012820470537554628,8,60,340,0.192090395480226,0.4165276867668827,shock,M,P,43,84,44
Network_744,R429,14,0.11178220834756569,0.016866632643064094,8,60,340,0.192090395480226,0.4165276867668827,snail,M,P,8,20,58
Network_744,R252_L158,5,0.03028600175693473,0.0002023859571000363,5,60,340,0.192090395480226,0.4165276867668827,taurus,F,A,11,25,1
Network_744,R447,12,0.07211963753415133,0.047882784644034275,8,60,340,0.192090395480226,0.4165276867668827,windy_road,M,P,16,5,164
Network_744,R438,18,0.14221565650290433,0.025636013844973996,8,60,340,0.192090395480226,0.4165276867668827,wine_glass,F,P,36,90,88
Network_744,R331,4,0.03835603258983765,0.0,4,60,340,0.192090395480226,0.4165276867668827,flag,M,A,8,3,0
Network_744,R150_L230,11,0.07971407050917025,0.00986084970937007,7,60,340,0.192090395480226,0.4165276867668827,line_over_batgirl,F,A,15,34,34
Network_744,R499,26,0.2486321901849818,0.11057263509992722,9,60,340,0.192090395480226,0.4165276867668827,sailor_moon,M,A,4,1,378
Network_744,R176_L222,12,0.13685435670401183,0.018752943955640266,8,60,340,0.192090395480226,0.4165276867668827,soda,F,A,6,118,64
Network_744,R080_L289,21,0.208885323830487,0.06400827117242028,9,60,340,0.192090395480226,0.4165276867668827,umbrella,F,A,52,152,219
Network_744,R465,11,0.10544523582927906,0.006121713854988425,8,60,340,0.192090395480226,0.4165276867668827,bucket,M,P,2,0,21
Network_744,R316,22,0.17840241548815858,0.10029821701422176,8,60,340,0.192090395480226,0.4165276867668827,bowtie,F,A,5,5,343
Network_744,R256,12,0.1310211274577858,0.023606903724666454,8,60,340,0.192090395480226,0.4165276867668827,bunny,F,A,1,0,81
Network_744,R446,9,0.08087723007090007,0.038973677386786205,6,60,340,0.192090395480226,0.4165276867668827,Cu_copper,M,P,2,0,133
Network_744,R441,11,0.09079996529079246,0.02052491598021001,7,60,340,0.192090395480226,0.4165276867668827,DG,M,P,1,0,70
Network_744,R519,6,0.05067418815931491,0.0020948013313338235,6,60,340,0.192090395480226,0.4165276867668827,division_sign,F,P,1,0,7
Network_744,R444,24,0.26335147113173873,0.0848898176789462,9,60,340,0.192090395480226,0.4165276867668827,football_concussion,M,P,2,4,290
Network_744,R454,16,0.1752281216753906,0.01840123232817894,9,60,340,0.192090395480226,0.4165276867668827,JS,M,P,1,0,63
Network_744,R247_R539_L433,9,0.07131525832921386,0.007713394025428686,7,60,340,0.192090395480226,0.4165276867668827,Mills,M,A,1,0,26
Network_744,R392_L428,14,0.1650450987036785,0.021417619365284867,9,60,340,0.192090395480226,0.4165276867668827,minus_sign,M,A,10,4,73
Network_744,R213_L226,7,0.05890255595600664,0.00776353948365663,6,60,340,0.192090395480226,0.4165276867668827,pine,F,A,5,5,27
Network_744,R472,20,0.20904628298762337,0.030824441863286374,9,60,340,0.192090395480226,0.4165276867668827,pp,M,P,2,1,105
Network_744,R307,10,0.07999951686575517,0.009973375440368066,7,60,340,0.192090395480226,0.4165276867668827,road,F,A,4,2,34
Network_744,R483,1,0.011952352472769386,0.0,1,60,340,0.192090395480226,0.4165276867668827,square_w_line_in_it,F,P,2,0,0
Network_744,R457,16,0.19011724230314342,0.021341948347667627,9,60,340,0.192090395480226,0.4165276867668827,target,M,P,5,1,73
Network_744,R368,5,0.029411602625260852,0.013601492879177071,4,60,340,0.192090395480226,0.4165276867668827,broccoli,F,A,1,0,47
Network_744,R477,6,0.03046397750218995,0.03873163466108768,4,60,340,0.192090395480226,0.4165276867668827,leo,F,P,3,10,133
Network_744,R296,9,0.06959816879109147,0.014210190100407378,7,60,340,0.192090395480226,0.4165276867668827,pi,F,A,57,284,49
Network_744,R489,3,0.009429957517224084,0.0,3,60,340,0.192090395480226,0.4165276867668827,registered_trademark,F,P,4,2,0
Network_744,R484,14,0.17116020397090642,0.015003517626172098,9,60,340,0.192090395480226,0.4165276867668827,cookie,F,P,2,0,51
Network_744,R075_L114_L277,5,0.04386034235397534,0.0025278805520288195,5,60,340,0.192090395480226,0.4165276867668827,ghost,F,A,13,23,9
Network_744,R291,16,0.17938267678441544,0.027002578304778143,9,60,340,0.192090395480226,0.4165276867668827,hand,F,A,11,11,92
Network_744,R459_R553,20,0.23685143268641104,0.020532462981129377,9,60,340,0.192090395480226,0.4165276867668827,three_open_circles,M,P,4,1,70
Network_744,R435,9,0.07409048614670126,0.003900390710160815,7,60,340,0.192090395480226,0.4165276867668827,double_trouble,M,P,12,7,13
Network_744,R463,10,0.10697708555801909,0.003432682424072198,7,60,340,0.192090395480226,0.4165276867668827,Capital_S,F,P,49,211,12
Network_744,R309,7,0.0631682404894174,0.0008881299451399496,7,60,340,0.192090395480226,0.4165276867668827,leaning_tower,F,A,54,220,3
Network_744,R475,22,0.2115322945511497,0.05291365813501612,9,60,340,0.192090395480226,0.4165276867668827,open_circle,F,P,51,199,181
Network_744,R432,8,0.07723054304041474,0.018788554849511786,7,60,340,0.192090395480226,0.4165276867668827,Q_tip,M,P,45,82,64
Network_744,R455,14,0.13491991107601836,0.01909631357515991,7,60,340,0.192090395480226,0.4165276867668827,smiley,F,P,42,144,65
Network_744,R462_R577,23,0.25712644996141026,0.06316416345053485,9,60,340,0.192090395480226,0.4165276867668827,volcano,M,P,6,11,216
Network_744,R450,9,0.07190594126858156,0.010368968968311484,7,60,340,0.192090395480226,0.4165276867668827,panda,F,P,5,0,35
Network_744,R464,14,0.18215382124721316,0.005115129967260185,9,60,340,0.192090395480226,0.4165276867668827,Li_lithium,F,P,6,1,18
Network_744,R321_R576,8,0.09485822316575213,0.003956038492225645,7,60,340,0.192090395480226,0.4165276867668827,percent_sign,F,A,2,0,14
Network_744,R474,12,0.1664959300984495,0.0013725649459844927,9,60,340,0.192090395480226,0.4165276867668827,tilda_over_t,F,P,1,0,5
Network_744,R064_L068,3,0.02929440193954072,0.003118202824306725,3,60,340,0.192090395480226,0.4165276867668827,easter_egg,F,A,7,10,11
Network_744,R466,13,0.175035775117249,0.002192417679548853,9,60,340,0.192090395480226,0.4165276867668827,dilemma,M,P,1,1,8
Network_744,R449,17,0.20557537645832202,0.025400746205655852,9,60,340,0.192090395480226,0.4165276867668827,post,F,P,3,0,87
Network_744,R431,13,0.1708622074203698,0.011648251017468423,9,60,340,0.192090395480226,0.4165276867668827,santa_hat,M,P,10,13,40
Network_744,R473,3,0.02799758591397299,0.0,3,60,340,0.192090395480226,0.4165276867668827,opera,M,P,9,9,0
Network_744,R437,5,0.07707854058413591,0.0003031128465982349,5,60,340,0.192090395480226,0.4165276867668827,LA,F,P,4,1,1
Network_744,R297,5,0.03766561398646374,0.0026148538723199093,5,60,340,0.192090395480226,0.4165276867668827,jelly_fish,F,A,3,13,9
Network_744,R520_L575,1,0.0020409824375548077,0.0,1,60,340,0.192090395480226,0.4165276867668827,u_turn,F,P,5,4,0
Network_744,R393,1,0.004831769377437363,0.0,1,60,340,0.192090395480226,0.4165276867668827,tweezers,F,A,18,39,0
