time,infector,infectee
0.0,,Ant209
0.03235275204480501,Ant209,Ant614
0.04262670713081241,Ant209,Ant124
0.042944428282933385,Ant209,Ant50
0.04659821450404805,Ant209,Ant127
0.06267317221789838,Ant127,Ant38
0.08788586621064547,Ant127,Ant243
0.08981816913375829,Ant50,Ant501
0.0924375480183795,Ant501,Ant158
0.0995616218256873,Ant158,Ant347
0.11184203979509053,Ant501,Ant599
0.11291205252780845,Ant209,Ant109
0.1163436086000368,Ant614,Ant156
0.12019874488643091,Ant109,Ant191
0.12222476754766795,Ant124,Ant43
0.12352987982597266,Ant127,Ant159
0.1329516538671872,Ant124,Ant238
0.13441164720761667,Ant43,Ant64
0.1384492528626679,Ant238,Ant176
0.1393715994946063,Ant38,Ant257
0.14797980048809878,Ant176,Ant195
0.15818603516382726,Ant347,Ant342
0.1589677388191424,Ant159,Ant44
0.159586155069406,Ant50,Ant437
0.16361652434424687,Ant437,Ant263
0.16682436717055532,Ant501,Ant255
0.16784206912176233,Ant255,Ant91
0.17898779252553815,Ant109,Ant552
0.18062308067741956,Ant243,Ant540
0.1840388813755796,Ant50,Ant42
0.18753454585039095,Ant501,Ant232
0.1903977225742687,Ant64,Ant394
0.19152906149643797,Ant599,Ant380
0.19687829725249395,Ant64,Ant202
0.2062190866713869,Ant176,Ant475
0.20712967700929577,Ant191,Ant142
0.2100221847387017,Ant38,Ant564
0.21097066683030696,Ant127,Ant353
0.2162050461805796,Ant394,Ant311
0.21678268764114628,Ant158,Ant29
0.2218517604407538,Ant353,Ant252
0.2229616155475063,Ant127,Ant621
0.22527997067312724,Ant44,Ant395
0.22629266324639935,Ant158,Ant13
0.23029161100227233,Ant238,Ant324
0.23071004545346765,Ant44,Ant148
0.2314999709872355,Ant243,Ant98
0.23601222224135668,Ant311,Ant137
0.23755355412875165,Ant29,Ant198
0.2389275639040539,Ant353,Ant186
0.23963872829879088,Ant209,Ant289
0.2403365088214965,Ant142,Ant73
0.25000583885910943,Ant91,Ant9
0.25518971593749273,Ant324,Ant113
0.2564592351027827,Ant540,Ant52
0.2567938307444555,Ant255,Ant169
0.26111425400097843,Ant98,Ant482
0.26254828040760925,Ant176,Ant100
0.26719135099201285,Ant311,Ant149
0.2673569793663133,Ant64,Ant178
0.27048234163472956,Ant564,Ant387
0.2755353970107682,Ant564,Ant7
0.27597442380492443,Ant178,Ant55
0.2767170550515322,Ant178,Ant97
0.2852622723419199,Ant178,Ant268
0.28562168346562744,Ant113,Ant153
0.28667915509617375,Ant252,Ant390
0.2877792806986865,Ant156,Ant0
0.2878005565808898,Ant353,Ant27
0.28893682222860534,Ant394,Ant560
0.29159029682296783,Ant44,Ant215
0.29216985777219107,Ant178,Ant173
0.29314745808631104,Ant552,Ant593
0.29630766793166985,Ant176,Ant32
0.2995554023587922,Ant387,Ant14
0.3036870333413733,Ant153,Ant76
0.3045523741739715,Ant353,Ant538
0.3087259167598446,Ant255,Ant19
0.312429080461841,Ant176,Ant308
0.3129368040245021,Ant202,Ant23
0.3138271989846551,Ant153,Ant458
0.3178588890680408,Ant191,Ant196
0.32041312172517866,Ant52,Ant242
0.32156982289682995,Ant593,Ant298
0.32810280394274316,Ant14,Ant117
0.3304883009720984,Ant202,Ant527
0.34021955087523953,Ant198,Ant492
0.3503055516033435,Ant501,Ant217
0.35276316779649586,Ant560,Ant518
0.3538492875804473,Ant395,Ant620
0.35538842678792093,Ant564,Ant131
0.3630873860424677,Ant117,Ant139
0.3644903311286912,Ant232,Ant60
0.37245542032240314,Ant27,Ant462
0.37940429111176854,Ant238,Ant4
0.38141965972115394,Ant255,Ant318
0.39550836086797747,Ant243,Ant115
0.4028891614652478,Ant599,Ant356
0.4032558431235431,Ant137,Ant63
0.4084665328449194,Ant55,Ant218
0.4180350677879286,Ant395,Ant260
0.4202787059933188,Ant156,Ant190
0.4265126883171479,Ant0,Ant140
0.4332116224648952,Ant52,Ant507
0.4405774771351048,Ant599,Ant26
0.4463431506442179,Ant347,Ant294
0.44712883272231485,Ant97,Ant219
0.4631894027681335,Ant202,Ant332
0.4879972642885686,Ant153,Ant207
0.49220168343463566,Ant191,Ant530
0.5050668506845774,Ant63,Ant400
0.5521415703809303,Ant332,Ant6
0.6430607580291997,Ant332,Ant30
