t,S,I,R,run_id
0.0,14,1,0,1
0.7288212061388097,13,2,0,1
1.1199178887087418,12,3,0,1
1.1937584062657742,11,4,0,1
1.3807032498621297,10,5,0,1
1.8065014526436602,9,6,0,1
1.993162856523971,8,7,0,1
2.3270979911121303,7,8,0,1
2.3639409086847083,6,9,0,1
2.6493264636968052,5,10,0,1
2.7142394145663897,4,11,0,1
2.765479229642534,3,12,0,1
2.910659001888154,2,13,0,1
3.2303606165922325,2,12,1,1
3.3706460821978035,2,11,2,1
3.6344601685317386,1,12,2,1
4.058880447997444,0,13,2,1
4.449039610808787,0,12,3,1
5.064866546143081,0,11,4,1
5.577891362520516,0,10,5,1
6.419556692555315,0,9,6,1
7.537091633256152,0,8,7,1
8.920748041924847,0,7,8,1
9.352939742188715,0,6,9,1
10.051276368993971,0,5,10,1
10.286688612360358,0,4,11,1
10.77489783173334,0,3,12,1
11.414745259061247,0,2,13,1
12.728820095950423,0,1,14,1
13.011042524252465,0,0,15,1
0.0,14,1,0,2
1.6743518858927713,13,2,0,2
3.4023328705034315,12,3,0,2
3.771623438217278,12,2,1,2
4.204434841265672,11,3,1,2
5.52326863997749,10,4,1,2
6.621425766302211,9,5,1,2
6.714278102262837,8,6,1,2
6.942641356593212,7,7,1,2
7.030257084779823,6,8,1,2
7.311519435394729,5,9,1,2
7.83386557160086,5,8,2,2
8.296345733024893,4,9,2,2
8.362299097217866,4,8,3,2
8.753830591717142,3,9,3,2
9.169414091490241,2,10,3,2
9.827184711139166,1,11,3,2
10.63695057104017,1,10,4,2
11.680100211442173,0,11,4,2
12.148310743141893,0,10,5,2
13.933133738589714,0,9,6,2
14.210197244382792,0,8,7,2
15.982739559259487,0,7,8,2
17.004087117263346,0,6,9,2
19.08061953379977,0,5,10,2
19.235983012143123,0,4,11,2
21.096126693546566,0,3,12,2
21.396771339397027,0,2,13,2
23.232606637355822,0,1,14,2
24.613650016026778,0,0,15,2
