t,S,I,R,run_id
0.0,14,1,0,1
0.22019340442453741,13,2,0,1
0.2806384455755548,12,3,0,1
0.5166049948516441,11,4,0,1
0.5811948047492721,10,5,0,1
0.602095378972646,9,6,0,1
0.7289384188154194,8,7,0,1
0.7551433927452841,7,8,0,1
0.7781520537624405,6,9,0,1
0.7882371580458355,5,10,0,1
0.8006027323386485,5,9,1,1
0.8511210929750532,4,10,1,1
0.9256048433387831,3,11,1,1
0.927774070021019,2,12,1,1
1.1546278636408798,1,13,1,1
1.173750601786945,1,12,2,1
1.1860908225161244,0,13,2,1
1.2772383362345527,0,12,3,1
1.5313925327265754,0,11,4,1
1.7033674415276543,0,10,5,1
1.7934556760458857,0,9,6,1
1.814700000255982,0,8,7,1
2.2079838030664987,0,7,8,1
2.2996183905204743,0,6,9,1
2.793879693445313,0,5,10,1
3.6474070996126455,0,4,11,1
4.765142738883304,0,3,12,1
4.808159544430752,0,2,13,1
4.878032646854614,0,1,14,1
7.732156498120285,0,0,15,1
0.0,14,1,0,2
0.011861561143523396,13,2,0,2
0.2563843873241324,12,3,0,2
0.30596924520401675,11,4,0,2
0.31838971373946884,10,5,0,2
0.35232645907733223,10,4,1,2
0.38673355379495816,9,5,1,2
0.47623375887525216,8,6,1,2
0.5016569243695307,8,5,2,2
0.5566295899528899,7,6,2,2
0.586111081103241,7,5,3,2
0.6061474803446786,6,6,3,2
0.7576804948317948,5,7,3,2
0.776648541506751,4,8,3,2
0.7782412446108027,3,9,3,2
0.8886175779367019,2,10,3,2
1.1030932588105347,2,9,4,2
1.2334642717269362,2,8,5,2
1.2604536397784116,2,7,6,2
1.3570812954554703,2,6,7,2
1.408745634838277,1,7,7,2
1.7037263726782175,1,6,8,2
2.5039697807575774,1,5,9,2
3.100841889527526,1,4,10,2
3.352224749363674,1,3,11,2
5.102660840644527,1,2,12,2
6.353615203650903,1,1,13,2
7.840079973366398,1,0,14,2
