t,S,I,R,run_id
0.0,14,1,0,1
0.19795862756880517,13,2,0,1
0.205888740831033,12,3,0,1
0.32300518082327734,11,4,0,1
0.33642501059497326,10,5,0,1
0.35862310484329857,9,6,0,1
0.38644185852425184,8,7,0,1
0.3970858783243904,7,8,0,1
0.4617697187739992,6,9,0,1
0.48831543958413254,5,10,0,1
0.49886773682327945,4,11,0,1
0.528237515203474,3,12,0,1
0.6326134034508571,2,13,0,1
0.6846145383680613,1,14,0,1
0.7409254037344073,1,13,1,1
0.7769198895837655,0,14,1,1
1.236593838433868,0,13,2,1
1.2810329931433073,0,12,3,1
3.795448060832977,0,11,4,1
4.616722820561456,0,10,5,1
4.853373973355995,0,9,6,1
5.774930161358212,0,8,7,1
6.078187128349934,0,7,8,1
6.272404220391682,0,6,9,1
7.61258173835698,0,5,10,1
8.210763277210962,0,4,11,1
9.243531022836212,0,3,12,1
19.417018033516783,0,2,13,1
23.668237035959258,0,1,14,1
30.106017052467898,0,0,15,1
0.0,14,1,0,2
0.011698025747770943,13,2,0,2
0.049580889691848117,12,3,0,2
0.14581183927424102,11,4,0,2
0.1883715128001172,10,5,0,2
0.24878745727222748,9,6,0,2
0.26954592386002696,8,7,0,2
0.3115696598386378,7,8,0,2
0.334806972862827,6,9,0,2
0.3789300569171204,5,10,0,2
0.3970472509529303,4,11,0,2
0.42021503504178853,3,12,0,2
0.49613739252573674,2,13,0,2
0.6089640651144943,1,14,0,2
1.2299030251559888,1,13,1,2
1.2781853747179241,1,12,2,2
1.5060510686712782,0,13,2,2
2.5892363048564615,0,12,3,2
2.831907847771666,0,11,4,2
2.876406730155392,0,10,5,2
5.024141042274862,0,9,6,2
6.68338779384589,0,8,7,2
8.475243845622584,0,7,8,2
9.71343415172597,0,6,9,2
17.037460602702957,0,5,10,2
18.474593338555703,0,4,11,2
21.663746711929733,0,3,12,2
26.1727764633182,0,2,13,2
27.194898204447824,0,1,14,2
46.2659907858512,0,0,15,2
